Tender ID,Success,Folder Location,New Folder Location
GEM_2024_B_5201714,True,\\Digitaldreams\tender auto\GEM_2024_B_5201714,\\Digitaldreams\tender auto\Rejected Tenders\GEM_2024_B_5201714
GEM_2024_B_5290806,True,\\Digitaldreams\tender auto\GEM_2024_B_5290806,\\Digitaldreams\tender auto\Rejected Tenders\GEM_2024_B_5290806
2024_HAUDD_254496_8,True,\\Digitaldreams\tender auto\2024_HAUDD_254496_8,\\Digitaldreams\tender auto\Rejected Tenders\2024_HAUDD_254496_8
2024_RJPOL_410655_4,True,\\Digitaldreams\tender auto\2024_RJPOL_410655_4,\\Digitaldreams\tender auto\Rejected Tenders\2024_RJPOL_410655_4
2024_PRD_413231_1,True,\\Digitaldreams\tender auto\2024_PRD_413231_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_PRD_413231_1
2024_DMG_413275_1,True,\\Digitaldreams\tender auto\2024_DMG_413275_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_DMG_413275_1
2024_PRD_413509_1,True,\\Digitaldreams\tender auto\2024_PRD_413509_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_PRD_413509_1
2024_DLB_413384_1,True,\\Digitaldreams\tender auto\2024_DLB_413384_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_DLB_413384_1
2024_MAWS_473934_1,True,\\Digitaldreams\tender auto\2024_MAWS_473934_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_MAWS_473934_1
2024_AGUJD_412950_2,True,\\Digitaldreams\tender auto\2024_AGUJD_412950_2,\\Digitaldreams\tender auto\Rejected Tenders\2024_AGUJD_412950_2
2024_DLB_412924_1,True,\\Digitaldreams\tender auto\2024_DLB_412924_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_DLB_412924_1
2024_DTP_473308_1,True,\\Digitaldreams\tender auto\2024_DTP_473308_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_DTP_473308_1
2024_MAWS_473260_1,True,\\Digitaldreams\tender auto\2024_MAWS_473260_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_MAWS_473260_1
2024_MAWS_473272_1,True,\\Digitaldreams\tender auto\2024_MAWS_473272_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_MAWS_473272_1
2024_PRD_413031_1,True,\\Digitaldreams\tender auto\2024_PRD_413031_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_PRD_413031_1
2024_WRDAS_412877_3,True,\\Digitaldreams\tender auto\2024_WRDAS_412877_3,\\Digitaldreams\tender auto\Rejected Tenders\2024_WRDAS_412877_3
2024_RCDF_412273_1,True,\\Digitaldreams\tender auto\2024_RCDF_412273_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_RCDF_412273_1
2024_JDAJP_411508_1,True,\\Digitaldreams\tender auto\2024_JDAJP_411508_1,\\Digitaldreams\tender auto\Rejected Tenders\2024_JDAJP_411508_1
