,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
0,GEM/2025/B/6389076,Drone or Unmanned Aerial Vehic...,1,2025-07-08 10:42,2025-07-10 11:00,Ministry of Defence Department of Military Affairs,"Drone or Unmanned Aerial Vehicle with Customized Payload (Defence Forces - Navy, Army and Air Force"
1,GEM/2025/B/6389002,Drone Simulator with Remote Co...,1,2025-07-03 11:14,2025-07-10 11:00,Ministry of Defence Department of Military Affairs,Drone Simulator with Remote Controller and Licensed Software
2,GEM/2025/B/6423048,"Software Simulator for Drone,S...",37,2025-07-07 10:57,2025-07-10 11:00,Ministry of Defence Department of Defence,"Software Simulator for Drone,Soldering Machine,Battery Lipo,Lipo Charger Dual,Computer Table,Monito"
3,GEM/2025/B/6360854,Practice Drone for training of...,272,2025-06-19 12:56,2025-07-10 13:00,Ministry of Defence Department of Military Affairs,"Practice Drone for training of Drone warfare,Steel stand for mile Stone,Table mat,Table mat with lo"
4,GEM/2025/B/6427977,FPV SWARM DRONE SYSTEM (SET OF...,1,2025-07-08 12:25,2025-07-10 13:00,Ministry of Defence Department of Military Affairs,FPV SWARM DRONE SYSTEM (SET OF FOUR)
6,GEM/2025/B/6209149,PAYLOAD DROPPING DRONE,10,2025-07-09 14:00,2025-07-10 14:00,Ministry of Defence Department of Military Affairs,PAYLOAD DROPPING DRONE
7,GEM/2025/B/6419858,"Drone Surveillance,Drone Contr...",6,2025-07-05 13:11,2025-07-10 14:00,Ministry of Defence Department of Military Affairs,"Drone Surveillance,Drone Controller,Spare Battery,Carry Bag,Memory Card"
8,GEM/2025/B/6322797,Drone Flying Training Module,1,2025-06-19 14:06,2025-07-10 15:00,Ministry of Defence Department of Military Affairs,Drone Flying Training Module
10,GEM/2025/B/6364082,Drone,1,2025-06-19 19:27,2025-07-10 20:00,Ministry of Defence Department of Military Affairs,Drone
14,GEM/2025/B/6344281,DRONE,1,2025-06-20 09:59,2025-07-11 10:00,Ministry of Defence Department of Defence Production,DRONE
15,GEM/2025/B/6365014,DRONE,1,2025-06-20 10:17,2025-07-11 11:00,Ministry of Defence Department of Military Affairs,DRONE
16,GEM/2025/B/6324131,Training Drone without camera ...,143,2025-06-20 10:01,2025-07-11 11:00,Ministry of Defence Department of Military Affairs,"Training Drone without camera with master slave configuration small class 2 kgs to 25 kgs,Spare Bat"
17,GEM/2025/B/6422756,TRAINING DRONE,1,2025-07-07 10:03,2025-07-11 11:00,Ministry of Defence Department of Military Affairs,TRAINING DRONE
18,GEM/2025/B/6207717,"Hula Hoops,Octagon Obstacle,Po...",1588,2025-06-20 11:38,2025-07-11 12:00,Ministry of Defence Department of Military Affairs,"Hula Hoops,Octagon Obstacle,Pool Noodles,5 x 5 Gate,7 x 6 Topless Ladder,Hurdle,Drone Camera with a"
19,GEM/2025/B/6366101,BLDC Motor for Drone,1,2025-06-20 13:26,2025-07-11 14:00,Ministry of Defence Department of Military Affairs,BLDC Motor for Drone
21,GEM/2024/B/5356646,Upgradation or Replacement of ...,7,2025-07-06 14:00,2025-07-11 14:00,Ministry of Defence Department of Military Affairs,Upgradation or Replacement of Existing Drone Spoofers with Detection Capability Part 2
22,GEM/2025/B/6315801,Anti-Drone Gun,5,2025-06-20 14:35,2025-07-11 15:00,Ministry of Defence Department of Military Affairs,Anti-Drone Gun
23,GEM/2025/B/6366460,Drone Sensor Integration,1,2025-06-20 14:06,2025-07-11 15:00,Ministry of Defence Department of Military Affairs,Drone Sensor Integration
24,GEM/2025/B/6416061,REPAIR AND MAINT FOR DRONE WIT...,5,2025-07-04 21:07,2025-07-11 15:00,Ministry of Defence Department of Military Affairs,REPAIR AND MAINT FOR DRONE WITH DAY AND NI PAYLOAD
25,GEM/2025/B/6418045,7 Inch FPV Drone,1,2025-07-10 15:00,2025-07-11 15:00,Ministry of Defence Department of Military Affairs,7 Inch FPV Drone
26,GEM/2025/B/6335067,Drone with GPS,5,2025-07-10 17:00,2025-07-11 17:00,Ministry of Defence Department of Defence Research & Development,Drone with GPS
27,GEM/2025/B/6432643,"Mod of Cope Cage,Mod of Caster...",33,2025-07-09 12:19,2025-07-11 18:00,Ministry of Defence Department of Military Affairs,"Mod of Cope Cage,Mod of Caster Wheel for Gun,Mod of Drone Box and Bty Ch Sys,4K FPV HD Camera folda"
28,GEM/2025/B/6364180,FPV SWARM DRONE SYSTEM,1,2025-06-20 18:46,2025-07-11 19:00,Ministry of Defence Department of Military Affairs,FPV SWARM DRONE SYSTEM
