,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
0,GEM/2025/B/6463917,Video Conferencing Camera / We...,24,2025-07-18 13:18,2025-08-08 11:00,Science and Technology (Information Technology) Department Madhya Pradesh,"Video Conferencing Camera / Web Camera (V2),Television (TV) (V2),All in One PC (V2),Online UPS (V2)"
1,GEM/2025/B/6352552,"Camera for CCTV System (V3),Vi...",9,2025-07-18 13:30,2025-08-08 11:00,Ministry of Defence Department of Military Affairs,"Camera for CCTV System (V3),Video Recorder for CCTV System (V2)"
2,GEM/2025/B/6502913,"4MP Bullet Camera,2MP IP Dome ...",540,2025-07-28 16:56,2025-08-08 11:00,Ministry of Defence Department of Military Affairs,"4MP Bullet Camera,2MP IP Dome Camera,NVR 8 Channel,HDD 2TB Surveillance,8 Port PoE Switch,6 Core Fi"
3,GEM/2025/B/6336046,"SONIPAT,BALLABHGARH,JHATIKARA,...",29,2025-06-26 11:41,2025-08-08 11:00,Ministry of Power POWER GRID Corporation OF INDIA Limited,"SONIPAT,BALLABHGARH,JHATIKARA,CHITTORGARH,ROORKEE,SONIPAT,JHATIKARA,CHITTORGARH"
4,GEM/2025/B/6502865,"Power Cable 2 Core,Tool Box,Cr...",1021,2025-07-29 10:35,2025-08-08 11:00,Ministry of Defence Department of Military Affairs,"Power Cable 2 Core,Tool Box,Cramping Tool,HDMI Cable 5 Mtr,D Link Media Converter Double Ch,D Link "
5,GEM/2025/B/6329737,Supply and Delivery of GPS Ena...,53,2025-06-17 17:55,2025-08-08 11:00,Ministry of Power POWER GRID Corporation OF INDIA Limited,Supply and Delivery of GPS Enabled High Zoom Digital camera
6,GEM/2025/B/6298097,Sim Based Solar Powered Camera...,64,2025-06-21 20:12,2025-08-08 11:00,Ministry of Defence Department of Military Affairs,"Sim Based Solar Powered Camera,SD Card,Desktop Computer,Sim Card and Recharge,LED TV,New Accessorie"
7,GEM/2025/B/6434428,"Interactive Panels with CPU,Vi...",30,2025-08-07 11:00,2025-08-08 11:00,Ministry of Electronics and Information Technology Department of Electronics and Information Technology,"Interactive Panels with CPU,Video Conferencing Camera / Web Camera (V2),Speakerphone"
8,GEM/2025/B/6507812,"Camera for CCTV System (V3),Vi...",6243,2025-07-29 11:47,2025-08-08 12:00,General Administration Department Gujarat,"Camera for CCTV System (V3),Video Recorder for CCTV System (V2),Fibre Cable  for Networking,Fiber O"
9,GEM/2025/B/6540337,Body Worn Camera System,10,2025-08-06 11:12,2025-08-08 12:00,Ministry of Defence Department of Military Affairs,Body Worn Camera System
10,GEM/2025/B/6457894,Video Conferencing Camera / We...,20,2025-07-25 11:04,2025-08-08 12:00,Ministry of Education Department of Higher Education,Video Conferencing Camera / Web Camera (V2)
11,GEM/2025/B/6376749,"NVR 4 CH CP CAMERA,CCTV CAMERA...",90,2025-06-24 14:16,2025-08-08 12:00,Ministry of Defence Department of Military Affairs,"NVR 4 CH CP CAMERA,CCTV CAMERA,CP PLUS 4 PORT POE SWITCH,TP LINK WIFI EXTENDER,DLINK CAT 6 305 MTR,"
12,GEM/2025/B/6001248,Custom Bid for Services - PROC...,1,2025-08-07 12:00,2025-08-08 12:00,Ministry of Defence Department of Military Affairs,Custom Bid for Services - PROCUREMENT AND INSTALLATION OF 27 IN NUMBERS OF CCTV CAMERAS
13,GEM/2025/B/6447554,"Camera for CCTV System (V3),Vi...",4,2025-07-18 10:21,2025-08-08 13:00,Ministry of Defence Department of Military Affairs,"Camera for CCTV System (V3),Video Recorder for CCTV System (V2),Surveillance Hard disk,Television ("
14,GEM/2025/B/6408905,Video Conferencing Camera / We...,16,2025-07-18 12:37,2025-08-08 13:00,Science and Technology (Information Technology) Department Madhya Pradesh,"Video Conferencing Camera / Web Camera (V2),Television (TV) (V2),Online UPS (V2),All in One PC (V2)"
15,GEM/2025/B/6480544,"CAMERA PTZ, EO/IR, MARINE GRAD...",1,2025-07-22 12:06,2025-08-08 13:00,"Ministry of Ports, Shipping and Waterways Department of Public Enterprises","CAMERA PTZ, EO/IR, MARINE GRADE, IP N/W"
16,GEM/2025/B/6508290,"Camera for CCTV System (V3),Vi...",3071,2025-07-29 12:44,2025-08-08 13:00,General Administration Department Gujarat,"Camera for CCTV System (V3),Video Recorder for CCTV System (V2),Fibre Cable  for Networking,Fiber O"
17,GEM/2025/B/6498313,CP Plus IP Cameras 2 MP Full H...,7580,2025-07-26 13:11,2025-08-08 13:00,Ministry of Defence Department of Military Affairs,"CP Plus IP Cameras 2 MP Full HD plus Night Vision,Media Converter,Box Steel,Fiber Cable 04 Core,NVR"
18,GEM/2025/B/6540761,"Dashboard Camera (V2),Dashboar...",20,2025-08-06 12:14,2025-08-08 13:00,Ministry of Defence Department of Military Affairs,"Dashboard Camera (V2),Dashboard Camera (V2)"
19,GEM/2025/B/6334079,"Camera for CCTV System (V3),Vi...",34,2025-08-07 13:00,2025-08-08 13:00,Panchayats and Rural Housing Department Gujarat,"Camera for CCTV System (V3),Video Recorder for CCTV System (V2),Surveillance Hard disk"
21,GEM/2025/B/6490441,"Study Light,Big room HEATER,wa...",443,2025-07-24 13:18,2025-08-08 14:00,Irrigation Department Haryana,"Study Light,Big room HEATER,water purifier of 8 Ltr tank,Gas Stove,Big bucket 15 Ltr,Bathroom stool"
22,GEM/2025/B/6347287,"LED Display System,Video Confe...",2,2025-07-18 13:44,2025-08-08 14:00,Ministry of Defence Department of Military Affairs,"LED Display System,Video Conferencing Camera / Web Camera (V2)"
23,GEM/2025/B/6458060,5 MP AUTO FOCUS CAMERA FOR MAC...,8,2025-07-17 17:18,2025-08-08 14:00,PMO Department of Atomic Energy,5 MP AUTO FOCUS CAMERA FOR MACHINE VISION APPLICATIONS
24,GEM/2025/B/6503650,Camera for CCTV System (V3),176,2025-07-29 13:32,2025-08-08 14:00,Rural Development Department Gujarat,Camera for CCTV System (V3)
25,GEM/2025/B/6503403,Camera for CCTV System (V3),160,2025-07-29 13:20,2025-08-08 14:00,Rural Development Department Gujarat,Camera for CCTV System (V3)
26,GEM/2025/B/6484025,Content Creation Team to inclu...,5,2025-07-29 13:54,2025-08-08 14:00,Ministry of Defence Department of Military Affairs,Content Creation Team to include videographers and photographers and Drone Operators and Editors an
27,GEM/2025/B/6474068,Al Base medium range security ...,7,2025-07-29 11:50,2025-08-08 14:00,Ministry of Defence Department of Military Affairs,"Al Base medium range security survelliance system,Loud Haulers,Boom Barriers,Installation oblique c"
28,GEM/2025/B/6351016,"PTZ Camera,Solar Powered 4 MP ...",298,2025-07-19 09:04,2025-08-08 14:00,Ministry of Defence Department of Military Affairs,"PTZ Camera,Solar Powered 4 MP 4G PTZ Camera,IR IP Camera,Media Convertor,Pigtail,12V 2A Adapter,12V"
29,GEM/2025/B/6440562,Thermal insulation sandwich pa...,7990,2025-08-07 14:00,2025-08-08 14:00,Ministry of Defence Department of Military Affairs,"Thermal insulation sandwich partition,Supply and fixing of fine fissured regular mineral fiber boar"
30,GEM/2025/B/6186775,Camera for CCTV System (V3),12,2025-04-30 16:02,2025-08-08 14:00,Panchayats and Rural Housing Department Gujarat,Camera for CCTV System (V3)
31,GEM/2025/B/6430019,Custom Bid for Services - Main...,1,2025-07-18 10:32,2025-08-08 15:00,Ministry of Coal NLC India Limited,Custom Bid for Services - Maintenance of Wireless data communication network and CCTV / surveillanc
32,GEM/2025/B/6470059,"Camera for CCTV System (V3),Ca...",110,2025-07-18 18:31,2025-08-08 15:00,School Education Department Madhya Pradesh,"Camera for CCTV System (V3),Camera for CCTV System (V3),Video Recorder for CCTV System (V2),Compute"
33,GEM/2025/B/6466760,High End Thermo-vision camera,2,2025-07-18 10:38,2025-08-08 15:00,Ministry of Power POWER GRID Corporation OF INDIA Limited,High End Thermo-vision camera
35,GEM/2025/B/6493291,Camera & Sensors for Drone,1,2025-07-24 18:45,2025-08-08 15:00,Ministry of Defence Department of Military Affairs,Camera & Sensors for Drone
36,GEM/2025/B/6443937,"5MP Fixed Lens Dome camera,16 ...",524,2025-08-07 15:00,2025-08-08 15:00,Ministry of Defence Department of Defence,"5MP Fixed Lens Dome camera,16 channel NVR,Poe switch,U rack,Display monitor,CAT 6 cable,Back Box an"
37,GEM/2025/B/6434965,"86 inch Panel,Digital Podium I...",44,2025-07-29 10:23,2025-08-08 16:00,Ministry of Defence Department of Military Affairs,"86 inch Panel,Digital Podium Interactive,15.6 Inch Full HD Condenser,20 x 4K PTZ Camera With Video "
38,GEM/2025/B/6363740,"Interactive Panel,UPS 2KVA wit...",112,2025-07-09 18:32,2025-08-08 17:00,Ministry of Finance Department of Economic Affairs,"Interactive Panel,UPS 2KVA with batteries,Desktop All in one,Multifunction Printer,Non PTZ Camera,S"
39,GEM/2025/B/6354356,"Bullet Camera 5 MP,Outdoor cam...",2816,2025-08-07 17:00,2025-08-08 17:00,Ministry of Electronics and Information Technology Department of Electronics and Information Technology,"Bullet Camera 5 MP,Outdoor camera 5 MP,UPS 1 KVA,12 TB HDD Storage,12 U Rack,1G SFP Modules,65 Inch"
40,GEM/2025/B/6461769,Thermal imager/camera with 120...,1,2025-07-18 11:24,2025-08-08 18:00,Ministry of Education Department of Higher Education,Thermal imager/camera with 1200 degree centigrade
41,GEM/2025/B/6467182,High-end Petrological Polarizi...,1,2025-07-18 17:23,2025-08-08 18:00,Ministry of Mines NA,High-end Petrological Polarizing Microscope with camera
42,GEM/2025/B/6475627,Camera for CCTV System (V3),26,2025-07-28 13:07,2025-08-08 18:00,Panchayats and Rural Housing Department Gujarat,Camera for CCTV System (V3)
43,GEM/2025/B/6461795,"Speakerphone,Video Conferencin...",3,2025-07-22 14:19,2025-08-08 18:00,Ministry of Education Department of Higher Education,"Speakerphone,Video Conferencing Camera / Web Camera (V2),Professional Large Format Display"
44,GEM/2025/B/6493015,"Interactive Panels with CPU,El...",18,2025-07-25 14:36,2025-08-08 18:00,Technical Education Department Uttar Pradesh,"Interactive Panels with CPU,Electronic Lectern,Video Conferencing Camera / Web Camera (V2)"
45,GEM/2025/B/6476297,"Mini PTZ Camera,PTZ Camera,IP ...",3320,2025-07-26 14:15,2025-08-08 18:00,Ministry of Defence Department of Military Affairs,"Mini PTZ Camera,PTZ Camera,IP Bullet Camera IR 50 Mtrs,NVR 16 Channel with,Fiber 12 core,Network Ra"
46,GEM/2025/B/6410991,"Hard Disk Surveillance 4TB,Out...",964,2025-08-07 18:00,2025-08-08 18:00,Ministry of Defence Department of Military Affairs,"Hard Disk Surveillance 4TB,Outdoor Rack,16 Channel NVR Double SATA 4K,PTZ Camera 5MP 36X Zoom,OFC C"
47,GEM/2025/B/6470250,"Plastic bax for first aid kit,...",106,2025-07-18 19:12,2025-08-08 19:00,Ministry of Defence Department of Military Affairs,"Plastic bax for first aid kit,Axiostat,Charging jack for camera,Steel tiffin with 5 cantainer,Autom"
48,GEM/2025/B/6510837,"Camera for CCTV System (V3),Vi...",312,2025-07-29 18:48,2025-08-08 19:00,Health and Family Welfare Department Chhattisgarh,"Camera for CCTV System (V3),Video Recorder for CCTV System (V2),Layer 2 Access Switch (V2),Networki"
49,GEM/2025/B/6470472,"Car camera with gps tracker,Ad...",53,2025-07-18 19:37,2025-08-08 20:00,Ministry of Defence Department of Military Affairs,"Car camera with gps tracker,Adaptor for car camera,Data cable 2 mtr for camera,Socket 5 amp,Wire 0."
50,GEM/2025/B/6510883,GoPro Camera,2,2025-07-29 19:47,2025-08-08 20:00,Ministry of Defence Department of Military Affairs,GoPro Camera
51,GEM/2025/B/6503233,CCTV Camera for security and s...,28,2025-07-29 19:05,2025-08-08 20:00,Ministry of Defence Department of Military Affairs,"CCTV Camera for security and safety of office complex,DVR for CCTV Camera of office complex,SMPS fo"
52,GEM/2025/B/6538514,Repair and Overhauling Service...,1,2025-08-05 19:03,2025-08-08 20:00,Ministry of Home Affairs Central Armed Police Forces,Repair and Overhauling Service - Camera for CCTV System (V2); CP PLUS; Yes; Buyer Premises
53,GEM/2025/B/6209579,"Video Active LED Data Wall,Int...",14,2025-08-07 20:00,2025-08-08 20:00,Ministry of Defence Department of Military Affairs,"Video Active LED Data Wall,Interactive Panel Display,Video Conf Camera,Chairman Unit,Delegate Unit,"
54,GEM/2025/B/6476907,"Charger,Battery,Frame,Flight C...",22,2025-08-05 14:00,2025-08-08 20:00,Ministry of Defence Department of Military Affairs,"Charger,Battery,Frame,Flight Controller,Camera,VTX,VTX Antenna,Receiver,ESC,Motors,Propeller,GPS,Tr"
55,GEM/2025/B/6511174,"PTZ Camera,POE switch GIGA 8 2...",62,2025-07-29 20:55,2025-08-08 21:00,Ministry of Defence Department of Military Affairs,"PTZ Camera,POE switch GIGA 8 2,Electrical Accessories,Installation,Configuration"
56,GEM/2025/B/6303106,105 Inch TV Screen with access...,106,2025-08-07 21:00,2025-08-08 21:00,Ministry of Defence Department of Military Affairs,"105 Inch TV Screen with accessories,LED TV 40 Inch wide Screen,VC Camera with 360 deg Auto focus,VC"
57,GEM/2025/B/6489705,REVERSE CAMERA COMPLETE,19,2025-07-25 08:33,2025-08-09 09:00,Ministry of Defence Department of Military Affairs,REVERSE CAMERA COMPLETE
58,GEM/2025/B/6484171,"AIR FRAME,CAMERA PAY LOAD,DOOA...",6,2025-07-22 22:54,2025-08-09 09:00,Ministry of Defence Department of Military Affairs,"AIR FRAME,CAMERA PAY LOAD,DOOAF SOFTWARE,BATTERY,GCS STATION"
59,GEM/2025/B/6495501,Quadcopter with Day and Night ...,1,2025-07-25 12:30,2025-08-09 09:00,Ministry of Defence Department of Military Affairs,Quadcopter with Day and Night Camera (TI) Endurance-40 Mins
60,GEM/2025/B/6495501,Quadcopter with Day and Night ...,1,2025-07-25 12:30,2025-08-09 09:00,Ministry of Defence Department of Military Affairs,Quadcopter with Day and Night Camera (TI) Endurance-40 Mins
61,GEM/2025/B/6381661,"Frame,Motor,Propellers,Gimbals...",10,2025-06-25 11:31,2025-08-09 09:00,Ministry of Defence Department of Military Affairs,"Frame,Motor,Propellers,Gimbals and camera,Communication System"
62,GEM/2025/B/6511781,NANO DRONE 720P- HD CAMERA,1,2025-07-30 09:55,2025-08-09 10:00,Ministry of Defence Department of Military Affairs,NANO DRONE 720P- HD CAMERA
63,GEM/2025/B/6510917,"Camera for CCTV System (V3),Vi...",2031,2025-07-30 09:32,2025-08-09 10:00,Panchayats and Rural Housing Department Gujarat,"Camera for CCTV System (V3),Video Recorder for CCTV System (V2),Fibre Cable  for Networking,Fiber O"
64,GEM/2025/B/6510841,"Camera for CCTV System (V3),Vi...",3071,2025-07-30 09:30,2025-08-09 10:00,Panchayats and Rural Housing Department Gujarat,"Camera for CCTV System (V3),Video Recorder for CCTV System (V2),Fibre Cable  for Networking,Fiber O"
65,GEM/2025/B/6426498,INTEGRATED ELECTRONIC SURVEILL...,1,2025-07-19 09:12,2025-08-09 10:00,Ministry of Defence Department of Military Affairs,INTEGRATED ELECTRONIC SURVEILLANCE GRID SOLUTION TO INCLUDE DAY & NIGHT INFRARED ALL WEATHER CAMERA
66,GEM/2025/B/6354555,"Camera for CCTV System (V3),Vi...",13,2025-07-18 11:11,2025-08-09 11:00,Ministry of Power POWER GRID Corporation OF INDIA Limited,"Camera for CCTV System (V3),Video Recorder for CCTV System (V2)"
67,GEM/2025/B/6460940,"Desktop Computer,PTZ Camera,Po...",2462,2025-07-19 19:41,2025-08-09 11:00,Ministry of Defence Department of Military Affairs,"Desktop Computer,PTZ Camera,Poles 10 feet,Wires and Other accessories,Installation charge"
68,GEM/2025/B/6486724,"Camera for CCTV System (V3),Vi...",26,2025-07-30 10:36,2025-08-09 11:00,Panchayats and Rural Housing Department Gujarat,"Camera for CCTV System (V3),Video Recorder for CCTV System (V2)"
69,GEM/2025/B/6465762,"Camera for CCTV System (V3),Vi...",8,2025-07-30 10:59,2025-08-09 11:00,Panchayats and Rural Housing Department Gujarat,"Camera for CCTV System (V3),Video Recorder for CCTV System (V2)"
70,GEM/2025/B/6470319,Indoor Active Led Wall Display...,15,2025-07-18 19:20,2025-08-09 12:00,Ministry of Agriculture and Farmers Welfare Department of Animal HusbandryDairying and Fisheries,"Indoor Active Led Wall Display,LED Controller,65 Display Panel,10KVA UPS,PTZ Camera,Speakerphone,98"
