,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
158,GEM/2024/B/5750709,"Telephone Line Tester,Side Cut...",84,2024-12-25 17:38,2025-01-16 18:00,Ministry of Defence Department of Military Affairs,"Telephone Line Tester,Side Cutter,LAN Tester,Isopropyl,Splice Closure"
253,GEM/2024/B/5629147,NAS storage system (NAS diskle...,1,2024-11-20 16:49,2025-01-17 09:00,Ministry of Health and Family Welfare Department of Health Research,"NAS storage system (NAS diskless intel atom C3338, dual core processor, 2 GB DDR RAM, 2X1G LAN port"
316,GEM/2024/B/5672652,"UHF RFID Reader,RFID Labeler,S...",11,2024-12-17 10:40,2025-01-17 11:00,Ministry of Defence Department of Military Affairs,"UHF RFID Reader,RFID Labeler,Software and Hardware,Adapter,UPS 2 KVA with Battaries,Patch Cable,LAN"
361,GEM/2024/B/5672652,"UHF RFID Reader,RFID Labeler,S...",11,2024-12-17 10:40,2025-01-17 11:00,Ministry of Defence Department of Military Affairs,"UHF RFID Reader,RFID Labeler,Software and Hardware,Adapter,UPS 2 KVA with Battaries,Patch Cable,LAN"
428,GEM/2025/B/5786893,Annual Maintenance Contract fo...,17,2025-01-06 17:08,2025-01-17 14:00,Ministry of Defence Department of Defence Production,Annual Maintenance Contract for Networking Devices (Version 2) - AMC OF LAN; AS PER SCOPE OF WORK
447,GEM/2025/B/5786893,Annual Maintenance Contract fo...,17,2025-01-06 17:08,2025-01-17 14:00,Ministry of Defence Department of Defence Production,Annual Maintenance Contract for Networking Devices (Version 2) - AMC OF LAN; AS PER SCOPE OF WORK
462,GEM/2025/B/5822924,"LAN Extender,Multimedia Projec...",29,2025-01-15 14:45,2025-01-17 15:00,Ministry of Defence Department of Military Affairs,"LAN Extender,Multimedia Projector (MMP),Online UPS (V2),Line Interactive UPS with AVR (V2),All in O"
618,GEM/2025/B/5822924,"LAN Extender,Multimedia Projec...",29,2025-01-15 14:45,2025-01-17 15:00,Ministry of Defence Department of Military Affairs,"LAN Extender,Multimedia Projector (MMP),Online UPS (V2),Line Interactive UPS with AVR (V2),All in O"
642,GEM/2025/B/5787065,"DEKSTOPS-ITEM SL NO 1,LAN SWIT...",32,2025-01-06 17:19,2025-01-17 16:00,Ministry of Steel NMDC Limited,"DEKSTOPS-ITEM SL NO 1,LAN SWITCH ITEM SL NO 2"
1198,GEM/2024/B/5765893,"Access Switch,Transceiver 10G ...",4322,2024-12-30 18:42,2025-01-20 11:00,Ministry of Power POWER FINANCE Corporation Limited,"Access Switch,Transceiver 10G MM,Indoor AP Type 1,Indoor AP Type 2,Wireless LAN Controller,Network "
1206,GEM/2024/B/5765893,"Access Switch,Transceiver 10G ...",4322,2024-12-30 18:42,2025-01-20 11:00,Ministry of Power POWER FINANCE Corporation Limited,"Access Switch,Transceiver 10G MM,Indoor AP Type 1,Indoor AP Type 2,Wireless LAN Controller,Network "
