,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
0,GEM/2025/B/5847202,Surveillance Ball,2,2025-02-03 16:47,2025-04-14 09:00,Home Department Odisha,Surveillance Ball
1,GEM/2025/B/6077127,AMC of Integrated Security and...,1,2025-03-21 14:33,2025-04-14 09:00,Home Department Kerala,"AMC of Integrated Security and Surveillance System - Traffic Monitoring; Comprehensive; Hardware, S"
3,GEM/2025/B/6030663,Surveillance Hard disk,140,2025-03-11 17:03,2025-04-14 11:00,Ministry of Home Affairs Central Armed Police Forces,Surveillance Hard disk
5,GEM/2025/B/6082420,AMC of Integrated Security and...,1,2025-03-24 12:48,2025-04-14 15:00,"Shipping & Ports Department, Andaman & Nicobar","AMC of Integrated Security and Surveillance System - Monitor Operations; Comprehensive; Hardware, S"
6,GEM/2025/B/6082205,AMC of Integrated Security and...,1,2025-03-24 16:10,2025-04-14 15:00,"Shipping & Ports Department, Andaman & Nicobar","AMC of Integrated Security and Surveillance System - Monitor Operations; Comprehensive; Hardware, S"
7,GEM/2025/B/6082121,AMC of Integrated Security and...,1,2025-03-24 11:55,2025-04-14 15:00,"Shipping & Ports Department, Andaman & Nicobar","AMC of Integrated Security and Surveillance System - Monitor Operations; Comprehensive; Hardware, S"
8,GEM/2025/B/6081991,AMC of Integrated Security and...,1,2025-03-24 11:35,2025-04-14 15:00,"Shipping & Ports Department, Andaman & Nicobar","AMC of Integrated Security and Surveillance System - Monitor Operations; Comprehensive; Hardware, S"
9,GEM/2025/B/5781621,AMC of Integrated Security and...,1,2025-04-12 15:00,2025-04-14 15:00,Ministry of Defence Department of Military Affairs,"AMC of Integrated Security and Surveillance System - Remote Video Monitoring, Monitor Operations, E"
10,GEM/2025/B/6083832,AMC of Integrated Security and...,175,2025-03-24 17:07,2025-04-14 16:00,Health & Family Welfare Department Gujarat,"AMC of Integrated Security and Surveillance System - Theft Prevention, Remote Video Monitoring, Fac"
11,GEM/2025/B/5944944,Custom Bid for Services - Comp...,1,2025-03-24 16:25,2025-04-14 17:00,Ministry of Defence Department of Defence Research & Development,Custom Bid for Services - Comprehensive AMC for CCTV Surveillance System  Access Control System for
12,GEM/2025/B/5961194,AMC of Integrated Security and...,1,2025-04-12 17:00,2025-04-14 17:00,Ministry of Defence Department of Military Affairs,"AMC of Integrated Security and Surveillance System - Theft Prevention, Remote Video Monitoring, Fac"
13,GEM/2025/B/5843766,AMC of Integrated Security and...,4,2025-01-20 18:30,2025-04-14 18:00,Ministry of Finance Department of Revenue,AMC of Integrated Security and Surveillance System - CCAMC of 04 high energy cargo container scanne
16,GEM/2025/B/5980280,INTEGRATED SECURITY SURVEILLAN...,1,2025-02-21 11:26,2025-04-15 12:00,"Ministry of Ports, Shipping and Waterways NA","INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Remote Video Monitoring, Facility/Asset Protectio"
17,GEM/2025/B/6063823,Unmanned Aerial Vehicle & Payl...,1,2025-03-17 22:23,2025-04-15 12:00,Home Department Madhya Pradesh,Unmanned Aerial Vehicle & Payload Systems for Surveillance
18,GEM/2025/B/6115594,Custom Bid for Services - Annu...,1,2025-04-05 12:49,2025-04-15 13:00,Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,Custom Bid for Services - Annual Maintenance Contract of Live Web Streaming of CCTV Surveillance Ca
20,GEM/2025/B/6086147,Unmanned Aerial Vehicle & Payl...,1,2025-03-25 14:47,2025-04-15 15:00,Ministry of Defence Department of Military Affairs,Unmanned Aerial Vehicle & Payload Systems for Surveillance
21,GEM/2025/B/6096726,AMC of Integrated Security and...,1,2025-04-05 17:13,2025-04-15 15:00,Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,AMC of Integrated Security and Surveillance System - AMC CAMC of Analog based CCTV Systems; Compreh
22,GEM/2024/B/5484449,Unmanned Aerial Vehicle & Payl...,32,2024-11-05 17:46,2025-04-15 17:00,Ministry of Home Affairs Central Armed Police Forces,Unmanned Aerial Vehicle & Payload Systems for Surveillance
23,GEM/2025/B/6104962,INTEGRATED SECURITY SURVEILLAN...,58,2025-04-02 12:25,2025-04-15 17:00,Urban Development & Housing Department Bihar,"INTEGRATED SECURITY SURVEILLANCE SYSTEM SERVICE - Theft Prevention, Remote Video Monitoring, Facili"
