,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
1,GEM/2025/B/5790494,LAYER 2 ACCESS SWITCH,2,2025-01-21 13:21,2025-02-11 14:00,Ministry of Defence Department of Military Affairs,LAYER 2 ACCESS SWITCH
2,GEM/2025/B/5847442,"DEARATION TANK,MASTER CYLINDER...",21,2025-01-21 13:56,2025-02-11 14:00,Ministry of Defence Department of Military Affairs,"DEARATION TANK,MASTER CYLINDER POWER UNIT,POLE ISOLATOR SWITCH,CLUTCH PLATE,SA OF FLY WHEEL,BRUSH A"
4,GEM/2025/B/5893272,Layer 2 Access Switch (V2),20,2025-01-31 13:04,2025-02-11 14:00,Ministry of Railways Indian Railways,Layer 2 Access Switch (V2)
5,GEM/2024/B/4984004,1.82714110060 33 K. V. SWITCH ...,1,2024-05-28 10:14,2025-02-11 14:00,Ministry of Mines Materials,1.82714110060 33 K. V. SWITCH BOARD
6,GEM/2025/B/5896645,SWITCH ROD ASSLY. (HW-279.50. ...,6,2025-02-01 10:07,2025-02-11 14:00,Ministry of Heavy Industries and Public Enterprises Department of Heavy Industry,SWITCH ROD ASSLY. (HW-279.50. 15) -- AS PER DRG. 21165105005 REV. 00 (HWR. MATL. CODE - W9731165111
7,GEM/2025/B/5898002,IEC61850 Ethernet Switch - 4x1...,7,2025-02-01 13:45,2025-02-11 14:00,Ministry of Heavy Industries and Public Enterprises Department of Heavy Industry,IEC61850 Ethernet Switch - 4x1000-SM+ 16x100TX
8,GEM/2024/B/5679101,2200000564 Supply of 11KV 17 P...,6,2025-01-05 17:04,2025-02-11 15:00,Ministry of Steel NMDC Limited,"2200000564 Supply of 11KV 17 Panel VCB Switch Board,Installation Testing and Commissioning of 11KV "
9,GEM/2025/B/5871528,Piano Type Non Modular Electri...,50,2025-01-27 11:29,2025-02-11 15:00,Ministry of Heavy Industries and Public Enterprises Department of Heavy Industry,Piano Type Non Modular Electrical Switch Socket Combination as per IS 3854 and IS 1293
12,GEM/2025/B/5835149,Switch Mode Power Supply (SMPS...,8,2025-01-21 14:46,2025-02-11 15:00,Department of Space Department of Space,Switch Mode Power Supply (SMPS) as per IS 14886:
13,GEM/2025/B/5847644,"ISOLATOR SWITCH FOR TATA,PINIO...",7,2025-01-21 14:21,2025-02-11 15:00,Ministry of Defence Department of Military Affairs,"ISOLATOR SWITCH FOR TATA,PINION DRIVE FOR ALS,BRUSH CARRIER,ARMATURE,SOLENOID SWITCH 12V FOR SWARAJ"
14,GEM/2025/B/5871528,Piano Type Non Modular Electri...,50,2025-01-27 11:29,2025-02-11 15:00,Ministry of Heavy Industries and Public Enterprises Department of Heavy Industry,Piano Type Non Modular Electrical Switch Socket Combination as per IS 3854 and IS 1293
15,GEM/2024/B/5679101,2200000564 Supply of 11KV 17 P...,6,2025-01-05 17:04,2025-02-11 15:00,Ministry of Steel NMDC Limited,"2200000564 Supply of 11KV 17 Panel VCB Switch Board,Installation Testing and Commissioning of 11KV "
16,GEM/2024/B/5718485,"Server Type 1,Server Type 2,St...",27,2024-12-17 17:54,2025-02-11 15:00,Ministry of Electronics and Information Technology Department of Electronics and Information Technology,"Server Type 1,Server Type 2,Storage Type 1,Storage Type 2,Switch Type 1,Cloud Stack and Catalogue-I"
