,BID NO,Items,Quantity,Start Date,End Date,Department Name And Address,new_itm
0,GEM/2025/B/5779641,Unmanned Aerial Vehicle and Pa...,1,2025-01-07 10:17,2025-01-20 11:00,Ministry of Commerce and Industry Department of Commerce,Unmanned Aerial Vehicle and Payload Systems for Agricultural Spray (V2)
1,GEM/2024/B/5726860,Unmanned Aerial Vehicle & Payl...,2,2024-12-20 17:10,2025-01-20 11:00,Ministry of Power Contracts and Materials,Unmanned Aerial Vehicle & Payload Systems for Surveillance
2,GEM/2025/B/5804006,Unmanned Aerial Vehicle & Payl...,3,2025-01-10 11:37,2025-01-20 12:00,Forest and Environment Department Odisha,Unmanned Aerial Vehicle & Payload Systems for Surveillance
3,GEM/2024/B/5607534,Unmanned Aerial Vehicle & Payl...,1,2025-01-09 18:24,2025-01-20 19:00,Ministry of Defence Department of Military Affairs,Unmanned Aerial Vehicle & Payload Systems for Surveillance
5,GEM/2025/B/5808233,Unmanned Aerial Vehicle & Payl...,2,2025-01-10 19:28,2025-01-20 20:00,Ministry of Defence Department of Military Affairs,Unmanned Aerial Vehicle & Payload Systems for Surveillance
6,GEM/2025/B/5827447,Unmanned Aerial Vehicle (UAV/U...,1,2025-01-16 13:29,2025-01-21 14:00,Ministry of Defence Department of Military Affairs,Unmanned Aerial Vehicle (UAV/UAS) as per MHA QR
7,GEM/2025/B/5781017,Unmanned Aerial Vehicle & Payl...,2,2025-01-07 10:42,2025-01-22 11:00,Home Department Odisha,Unmanned Aerial Vehicle & Payload Systems for Surveillance
8,GEM/2025/B/5831712,Unmanned Aerial Vehicle (UAV/U...,1,2025-01-17 18:38,2025-01-22 12:00,Ministry of Defence Department of Defence,Unmanned Aerial Vehicle (UAV/UAS) as per MHA QR
9,GEM/2025/B/5820872,Unmanned Aerial Vehicle (UAV/U...,1,2025-01-15 10:23,2025-01-22 14:00,Ministry of Defence Department of Military Affairs,Unmanned Aerial Vehicle (UAV/UAS) as per MHA QR
10,GEM/2024/B/5652818,Unmanned Aerial Vehicle & Payl...,2,2025-01-10 12:37,2025-01-22 15:00,Ministry of Science and Technology Department of Science and Technology (DST),Unmanned Aerial Vehicle & Payload Systems for Surveillance
11,GEM/2024/B/5581485,Unmanned Aerial Vehicle & Payl...,4,2024-12-05 12:05,2025-01-22 18:00,Ministry of Defence Department of Military Affairs,Unmanned Aerial Vehicle & Payload Systems for Surveillance
12,GEM/2024/B/5605297,Unmanned Aerial Vehicle and Pa...,1,2024-12-20 17:08,2025-01-23 11:00,Ministry of Defence Department of Military Affairs,Unmanned Aerial Vehicle and Payload Systems for Agricultural Spray (V2)
13,GEM/2024/B/5765598,Unmanned Aerial Vehicle (UAV/U...,3,2025-01-09 15:23,2025-01-23 11:00,Forests and Environment Department Gujarat,Unmanned Aerial Vehicle (UAV/UAS) as per MHA QR
