tender_id,name_of_work,customer,inserted_time,inserted_user_id
GEM_2024_B_4446373,KVM Switch,PMO Department of Atomic Energy,20-01-2024 05:16:46,GEM BOT
GEM_2024_B_4507572,Web Camera,Ministry of Education Department of Higher Education,20-01-2024 05:18:14,GEM BOT
GEM_2024_B_4501184,Switch Fuse Unit,Ministry of Railways Indian Railways,20-01-2024 05:15:38,GEM BOT
GEM_2024_B_4499065,Web Camera,Higher Education Department Kerala,20-01-2024 13:22:17,GEM BOT
GEM_2023_B_4366394,Dashboard Camera,Ministry of Defence Department of Military Affairs,20-01-2024 05:16:58,GEM BOT
GEM_2024_B_4508178,Dashboard Camera,Ministry of Defence Department of Military Affairs,20-01-2024 05:16:52,GEM BOT
GEM_2024_B_4516210,Switch Fuse Unit,Ministry of Railways Indian Railways,21-01-2024 13:21:52,GEM BOT
GEM_2023_B_4354534,Web Camera,Food Civil Supplies and Consumer Affairs Department Gujarat,21-01-2024 13:31:17,GEM BOT
GEM_2024_B_4515621,Telescopic Video Inspection Camera,Police Department Uttarakhand,21-01-2024 13:31:24,GEM BOT
GEM_2024_B_4518041,DIGITAL SLR CAMERA,Ministry of Defence Department of Military Affairs,23-01-2024 05:13:44,GEM BOT
GEM_2024_B_4516251,Dashboard Camera,Ministry of Defence Department of Military Affairs,22-01-2024 05:04:24,GEM BOT
GEM_2024_B_4474632,Switcher,Ministry of Railways Indian Railways,21-01-2024 05:15:14,GEM BOT
GEM_2024_B_4520516,"PTZ DOME CAMERA,FIXED CAMERA SYSTEM",Ministry of Mines Materials,23-01-2024 13:19:33,GEM BOT
GEM_2024_B_4524087,MIRRORLESS CAMERA,Ministry of Defence Department of Military Affairs,24-01-2024 05:20:48,GEM BOT
GEM_2024_B_4463321,Q-SWITCH ASSY,Ministry of Defence Department of Military Affairs,26-01-2024 05:31:20,GEM BOT
GEM_2024_B_4526753,Web Camera,Revenue and Disaster Management Department Haryana,26-01-2024 05:50:11,GEM BOT
GEM_2024_B_4536940,Dashboard Camera,Ministry of Defence Department of Military Affairs,26-01-2024 13:28:45,GEM BOT
GEM_2024_B_4537614,Light Sensor Switch,Urban Development Department Uttar Pradesh,26-01-2024 13:19:48,GEM BOT
GEM_2024_B_4537150,swarm drone,Ministry of Defence Department of Military Affairs,26-01-2024 13:28:20,GEM BOT
GEM_2024_B_4527520,Web Camera,Ministry of Defence Department of Military Affairs,26-01-2024 13:28:51,GEM BOT
2024_ZPHD_652854_11,NEW BUYING OF C.C TV CAMERA AT GP OFFICE,Zilla Parishad||Zilla Parishad||Nadia||KARIMPUR-I||HAREKRISHNAPUR,26-01-2024 02:10:20,WBtenders GOV NICGEP BOT
2024_PWRDW_35522_13,CE/EAP/ARRBP/OCB/Bridges-2/Golaghat/03 Construction of Bridges in Golaghat district i.Br. No.1/1 Garhgaon Langthajan Road ii.Br. No. 2/2 Uriumghat Rajapukhuri Road,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders||Assam State Bridge Infrastructure Program,20-01-2024 02:31:04,Assam GOV NICGEP BOT
2024_DLB_378381_5,"Wire Fencing work in Municipal Land, Properties in Municipal Area Tonk",DLB||Dy.DR-Ajmer||EO-Uniyara,20-01-2024 03:50:52,Eproc Rajasthan GOV BOT
