tender_id,name_of_work,customer,inserted_time,inserted_user_id,verification_1,done
2023_DRDP_113490_11,Construction of Health and Wellness Centre at Village Boparai Kalan Block Chogawan,Department of Rural Development and Panchayats||Panchayati Raj (Engineering Wing)||Division - Amritsar,26-01-2024 08:16:00,PBTenders GOV NICGEP BOT,rejected,
2023_DRDP_114484_3,Supply of skilled labour and material for construction of Panchayat Building at Village Panjgrain Kalan Block Kotkapura Distt. Faridkot (MGNREGA Convergence Work),Department of Rural Development and Panchayats||Panchayati Raj (Engineering Wing)||Division - Moga,26-01-2024 08:11:37,PBTenders GOV NICGEP BOT,rejected,
2023_EB_404466_1,Procurement of Supply and Erection of CCTV Cameras and its accessories,TNEB Limited||TANGEDCO||CE-NCTPS-II - TANGEDCO||SE-Purchase and Administration-NCTPS-II - TANGEDCO,20-01-2024 08:40:30,Tntenders GOV NIC BOT,rejected,
2023_GSCT_35054_1,"SELECTION OF SYSTEM INTEGRATOR FOR INTELLIGENT CITY SURVEILLANCE SYSTEM IN GUWAHATI ON DESIGN, SUPPLY, IMPLEMENTATION AND OPERATION AND MAINTENANCE FOR 5 YEARS BASIS",Guwahati Smart City Ltd.,30-12-2023 02:30:33,Assam GOV NICGEP BOT,approved,Not Submitted
2023_HO_83276_1,"Supply of all types of Electric, Electronic Items, Energy Saving Equipment, Solar System Appliances, CCTV, Central Heating, Cooling System, Public Address System, Smart Classroom Solutions and Vocational, Industrial Training Equipment , AMC etc",HP State Civil Supplies Corporation Limited,30-12-2023 05:30:46,HPtenders GOV NICGEP BOT,approved,Not Submitted
2023_HRY_325473_1,Annual Maintenance for 1 Year of outdoor IP CCTV Surveillance Cameras installed at Various Locations under Municipal Corporation Panchkula.,Haryana Government||Urban Local Bodies||MC Panchkula,03-11-2023 05:41:07,HRYtenders GOV NICGEP BOT,approved,Not Submitted
2023_IIT-M_739753_1,Mounted Thermal Imaging Camera,Indian Institute of Technology Madras||Deputy Registrar (Industrial Consultancy and Sponsored Research),02-01-2024 04:00:46,Eprocure Epublish BOT,approved,Not Submitted
2023_IPGCL_251450_1,Removal of grass vegetation in 400KV switchyard and in bay no 413 415 of DTL yard Main Plant and BOP area at PPS III Bawana,IPGCL-PPCL||CS III,26-01-2024 03:41:18,DelhiTenders GOV NICGEP BOT,rejected,
2023_MDPEY_66258_2,CONSTRUCTION OF RESIDENCE BUILDING FOR POLICE PERSONNEL AT LAXMANJHULA and LANSDOWNE,MD (Drinking Water) Peyjal Nigam GoUK||CE (HQ) - Dehradun||GM (Admin),24-01-2024 09:03:04,UKtenders GOV NICGEP BOT,rejected,
2023_MHFW_66982_1,Procurement of Single Puncture Laparoscope with HD Camera and Single Puncture Laparoscope without Camera for various Govt. Hospital of Uttarakhand,MHFW - DG (Medical Health)||DIRECTOR (Stores)||AD (Stores)||JD (Stores),31-12-2023 09:00:08,UKtenders GOV NICGEP BOT,rejected,Open
2023_MPP_320085_1,Supply Installation Integration Commissioning and Maintenance of Integrated Security Surveillance System along with ANPR in 03 major cities of Madhya Pradesh,MP Police||Telecommunication BHOPAL - MPP,17-12-2023 07:31:50,Mptenders GOV BOT,approved,Not Submitted
2023_MPPGC_315225_1,"Annual work contract for Assistance in routine operation of Switchgear, Switchyard and its associated systems of 2x660 MW, PH-II, SSTPP, MPPGCL, Dongalia",Madhya Pradesh Power Generating Company Limited||Executive Director(Gen.)-Shri Singaji Thermal Power Station-Khandwa - MPPGCL,12-01-2024 07:53:05,Mptenders GOV BOT,rejected,Open
2023_MPPGC_317157_2,Supply Installation and commissioning of Furnace Camera system for continuous monitoring of Flame fireball inside furnace for Unit no5 AT SGTPS MPPGCL BIRSINGHPUR,Madhya Pradesh Power Generating Company Limited||Chief Engineer(Gen.)-Sanjay Gandhi Thermal Power Station-Birsinghpur - MPPGCL,16-01-2024 07:30:07,Mptenders GOV BOT,rejected,Open
2023_MPPGC_317366_1,Annual Work contract for Housekeeping of Control room of Real Time Effluent Quality Monitoring system RTEQMS as well as IP PTZ Camera and other related auxiliaries including cleaning of all Real Time Equipments for smooth operation along with it Brs,Madhya Pradesh Power Generating Company Limited||Chief Engineer(Gen.)-Sanjay Gandhi Thermal Power Station-Birsinghpur - MPPGCL,04-01-2024 07:30:07,Mptenders GOV BOT,rejected,Open
2023_MPPGC_322699_1,"Procurement of C and S make 415V, LV switchgear spares for 210 MW ATPS MPPGCL Chachai..",Madhya Pradesh Power Generating Company Limited||Chief Engineer(Gen.)-Amarkantak Thermal Power Station-Chachai - MPPGCL,23-01-2024 07:52:21,Mptenders GOV BOT,rejected,
2023_NNVAR_874940_17,"250MM DIA NP-3 SEWER LINE LAYING WORK FROM D.59/66-C-10-1 TO D.59/70-A INFRONT LANE OF PAL CHASHMA, SONKAR BASTI, MAHMOORGANJ IN DASHASHWAMEDH WARD",Varanasi Nagar Nigam Varanasi,21-01-2024 05:12:24,Etenders UP NIC BOT,rejected,
2023_NTPC_82035_1,"Supply, Installation and AMC of CCTV System for Plant Security at NTPCKhargone",NTPC Limited||Corporate Centre||USSC||CPG-1,08-12-2023 02:05:17,Eprocurentpc Nic Nicgep BOT,approved,Not Submitted
2023_PDD_241497_2,CREATION OF VARIOUS SUBSTATIONS ALONG WITH HT/LT NETWORK FOR VARIOUS WSS IN SUBDIVISION KOTRANKA UNDER JJM.,DC-PDD||CE-M and RE Wing Jammu||Rajouri||ED-Rajouri,26-01-2024 06:40:05,J&KTenders GOV NICGEP BOT,rejected,
2023_PGIME_784016_1,"Providing intercom and centralized surveillance monitoring system in all lifts installed at various locations, PGIMER, Chandigarh",Postgraduate Institute of Medical and Education and Research Chandigarh||Engineering department - PGIMER Chandigarh||H.E. Electrical - PGIMER Chandigarh||A.E. (Elect.1) - PGIMER Chandigarh,08-12-2023 02:53:24,Centerl GOV BOT,approved,Not Submitted
2023_PWD_251021_2,"Road Restoration work due to Road and Footpath damaged by Delhi Police CCTV Camera, BSES cable laying and other agencies work on the various locations of SER-14 of Division SER-1 during 2023-24",Public Works Department||CE/SE/M4-M41||EE/M412,24-01-2024 03:40:08,DelhiTenders GOV NICGEP BOT,rejected,
2023_UAD_268048_3,Augmentation of Water Supply Works for Newton Chikhli Kalan Under Amrut 2.0 - 3rd Call,Directorate Urban Administration and Development||Join Director-Jabalpur Division - UAD||Chhindwara-Nagar Parishad Newton Chikhli - UAD,20-01-2024 07:33:32,Mptenders GOV BOT,rejected,
2023_UAD_301995_2,"Providing, laying and Jointing of Distribution network of 300 mm K-7 D.I. Pipe Line with labour and material. Site ward 48. File no 159/23x9/1. 2nd Call",Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Gwalior - UAD||Water Supply (PHE) Deptt. - MC Gwalior - UAD,26-01-2024 07:55:20,Mptenders GOV BOT,rejected,
2023_UAD_312499_2,"Supply and installation of LED light and laying of street light cable network at Gourishankar Parisor Katara Ward No.85 Zone No.19, Bhopal. (Second Call)",Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Bhopal - UAD||Lighting Section - MC Bhopal- UAD,07-01-2024 08:06:13,Mptenders GOV BOT,rejected,Open
2023_UAD_320504_1,providing and Installing decorative pole with top lantern LED fitting at sagra mandir road,Directorate Urban Administration and Development||Join Director- Shehdol Division - UAD||Umaria-Nagar Palika Umaria - UAD,24-12-2023 07:39:29,Mptenders GOV BOT,rejected,Open
2023_ZPHD_628842_7,Construction of Grey Water Management System with Cover and Soakpit from Hazari para Krishna Shop Towards Chanchal ghosh Land at Briddhapara Wo,Zilla Parishad||Zilla Parishad||PURBA BARDHAMAN||KALNA- I||ATGHORIA SIMLON,27-01-2024 02:37:04,WBtenders GOV NICGEP BOT,rejected,
2024_APGCL_35655_1,"Supply of Various Consumable Materials for Karbi Langpi Hydro Electric Project (KLHEP), APGCL.",Assam Power Generation Company Limited,24-01-2024 02:30:22,Assam GOV NICGEP BOT,rejected,
