,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2024_DGLL_839212_1,Directorate General of Lighthouses and Lightships||Directorate of Lighthouses and Lightships - Port Blair - DGLL,Rani Lakshmi Bai Shila( invisible bank).,Providing of pontoon with towing vessel for making landing arrangement works for Restoration of Light at Rani Lakshmi Bai Shila( invisible bank).,2024-12-14 09:00,2024-12-21 15:00,50000,,NA,14-12-2024 22:58:36,Centerl GOV BOT
1,2024_MoRTH_839724_1,Ministry of Road Transport and Highways||P5 Delhi / LWE - MoRTH||RO Bhubaneswar - MoRTH||NH Odisha PWD-Kesinga - MoRTH,Boudh,Construction of Four lane Road Over Bridge (ROB No. 399) on New B.G. line from Khurda Road-Bolangir and its approaches at km. 138/435 (Village Kardakotha) of NH-57 in the state of Odisha on EPC Mode,2024-12-13 18:55,2025-01-27 12:00,7356000,2024-12-27 15:00,735600000,14-12-2024 22:58:59,Centerl GOV BOT
2,2024_DDA_839734_1,Delhi Development Authority||CE-South Zone-DDA||EE-SD-3-DDA Seed Bed Park-DDA,"EE, Horticulture Civil Division-IV, Nehru Place ND","Upgradation and Maintenance of Parks at L and DO Land at R.K Puram Sector 6 and12 BSES Office and Mohan Singh Market , L and DO Land R.K Puram Sector 7 SM Temple , L and DO Land R.K Puram Sector 3 , L and DO Land at Anand Niketan , Park and planta",2024-12-13 18:20,2024-12-21 15:00,216669,,10833472,14-12-2024 22:59:32,Centerl GOV BOT
3,2024_WBNPI_839699_1,National Project Implementation Unit - World Bank Tenders||Visvesvaraya National Institute of Technology Nagpur,Mathematics dept,Tender Enquiry for Procurement of LAN Connection and Wi Fi installation at Mathematics dept,2024-12-13 18:00,2024-12-26 15:00,0.00,,95000,14-12-2024 22:59:51,Centerl GOV BOT
4,2024_WBNPI_839699_1,National Project Implementation Unit - World Bank Tenders||Visvesvaraya National Institute of Technology Nagpur,Mathematics dept,Tender Enquiry for Procurement of LAN Connection and Wi Fi installation at Mathematics dept,2024-12-13 18:00,2024-12-26 15:00,0.00,,95000,14-12-2024 23:00:09,Centerl GOV BOT
5,2024_MoS_839675_1,"Ministry of Shipping||Paradip Port Trust||Engineering Department,PPT||Road and Building Division,Engg Dept.,PPT",Paradip,THIRD PARTY INSPECTION AND QUALITY SUPERVISION/ CONTROL/ ASSURANCE FOR THE WORK Construction of 91 qtrs. for port employees and also to facilitate and reserve land for the future expansion of the port in Nuabazar area,2024-12-13 18:00,2024-12-28 18:00,131522,,6576092,14-12-2024 23:00:36,Centerl GOV BOT
6,2024_FCI_839685_1,"Food Corporation of India||Regional Office, Punjab,FCI,MFPD",FSD Nawanshar,"Construction of godown on Food Corporation of India land on Build, Finance and Maintain Basis at FSD Nawanshar under district SBS Nagar (6th Call)",2024-12-13 17:30,2025-01-04 15:00,313600,,0.00,14-12-2024 23:01:03,Centerl GOV BOT
7,2024_IISRT_839687_1,Indian Institute of Science Education and Research - Thiruvananthapuram||Purchase and Stores-IISER - Thiruvananthapuram,Thiruvananthapuram,Modular Lan Rate Contract,2024-12-13 17:00,2025-01-02 15:00,20000,,NA,14-12-2024 23:01:32,Centerl GOV BOT
8,2024_DDA_836155_1,Delhi Development Authority||CE-North Zone-DDA||EE-ND 4-DDA Office Complex-Narela-DDA,Ashok Vihar,Conducting GPS enabled total station survey of various land parcels under the jurisdiction of NMD-3 Division DDA.,2024-12-13 16:00,2024-12-24 15:00,24360,,1218000,14-12-2024 23:02:08,Centerl GOV BOT
9,2024_MoRTH_839488_1,Ministry of Road Transport and Highways||P2 Delhi - MoRTH||RO Lucknow - MoRTH,Barabanki,Consultancy Services for Authoritys Engineer for supervision of Four laning of section of NH727H from Dewa to Fatehpur (km 19 000 to km 39 000) on EPC mode in the State of Uttar Pradesh.,2024-12-13 10:00,2025-01-27 11:00,0.00,2025-01-06 15:00,0.00,14-12-2024 23:02:57,Centerl GOV BOT
10,2024_DDA_839451_1,Delhi Development Authority||CE-Rohini Zone-DDA||EE(RPD-10)-Madhuban Chowk-Sec-14-Rohini-DDA,ROHINI,"Engagement of Consultant for Planning of Outfall Drain Plan for vicinity of Sector -40 including Industrial area (Rani Khrea), Rohini.",2024-12-12 18:00,2025-01-02 15:00,100000,2024-12-20 11:30,NA,14-12-2024 23:04:04,Centerl GOV BOT
11,2024_DU_839157_1,Delhi University||Central Office - DU||Engineering - DU,North Campus,"Repair / renovation work in bungalow no. 24, Cavalry lane ( Vacant) , University of Delhi",2024-12-11 18:00,2024-12-26 13:00,19092,,954600,14-12-2024 23:06:54,Centerl GOV BOT
12,2024_BSF_839100_1,"DG,BSF,MHA||Srinagar FTR(Srinagar),BSF,MHA",BOP Bholaganj,Construction of 01 Nos Surveillance cum OP Shelter ACP Shelter G 2 at BOP Bholaganj in AOR of 110 BN BSF under SHQ BSF JOWAI SH Pvdg IEI fans and service connection and off grid solar plant,2024-12-11 09:00,2024-12-30 11:00,8137,,406867,14-12-2024 23:07:50,Centerl GOV BOT
