,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_BoTC_45938_1,Bodoland Territorial Council||Agriculture-BTC,"O/o the Director of Agriculture, BTC, Kokrajhar","Supply of Potato Seed Tubers against Commercial Cultivation of Potato in assured Irrigation lands, under RKVY-RAFTAAR for the year 2025-26.",2025-07-26 14:00,2025-08-08 14:00,649980,,32499000,29-07-2025 12:20:23,assamtenders_gov_tenders
1,2025_BoTC_45930_1,Bodoland Territorial Council||Urban Development Town and Country Planning-BTC,Tangla,"Construction of ICBP Road with side RCC Drain near Landfill site at Ward No.1, Tangla Town",2025-07-25 16:00,2025-08-05 16:00,81160,,4058000,29-07-2025 12:20:49,assamtenders_gov_tenders
2,2025_PWRDW_45898_19,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders||Assam State Bridge Infrastructure Program,West Karbi Anglong District,CE/EAP/ARRBP/OCB/Bridge1/West Karbi Anglong/07 Construction of Bridge in West Karbi Anglong District (i) Br No. 3/1 on Langhempi to Umpho road,2025-07-25 13:15,2025-08-14 14:00,384500,2025-08-02 11:00,19225000,29-07-2025 12:21:07,assamtenders_gov_tenders
3,2025_PWD_45875_1,Public Works Roads Department,Cachar District.,"1) Imp of R Pratap Lane with RCC Cover dr 190m and RCC G Wall 90m 2) Con of Puspabihar Lane and bye lanes .995 KM with RCC dr cover slab 3) Imp of Sri Durga Sarani at Meherpur Batertal to Majargram Rd from 0M to 463 M, under MMNPPNA for 23-24, Sil MB",2025-07-24 09:00,2025-08-08 15:00,332940,2025-07-30 14:00,16646914,29-07-2025 12:21:53,assamtenders_gov_tenders
4,2025_PWD_45820_49,Public Works Roads Department,Jalukbari,STBR/SOPD-G/Jalukbari-41/80 Constrution of PWD Road to Kuwari gaon Bye Lane-1 Road under SOPD-G for the year 2025-26,2025-07-23 15:00,2025-08-08 14:00,19460,2025-07-30 11:00,973000,29-07-2025 12:22:19,assamtenders_gov_tenders
5,2025_PWD_45820_43,Public Works Roads Department,Jalukbari,STBR/SOPD-G/Jalukbari-26/65 Constrution of Sadilapur Ghoramara Bye Lane including RCC drain under SOPD-G for the year 2025-26,2025-07-23 14:00,2025-08-08 14:00,237440,2025-07-30 11:00,11872000,29-07-2025 12:22:44,assamtenders_gov_tenders
6,2025_PWD_45820_41,Public Works Roads Department,Jalukbari,STBR/SOPD-G/Jalukbari-02/41 Constrution of Bye lane near Garal Daul Mandir of Garal Palasbari Road under SOPD-G for the year 2025-26,2025-07-23 13:00,2025-08-08 14:00,68380,2025-07-30 11:00,3419000,29-07-2025 12:23:01,assamtenders_gov_tenders
7,2025_KAAC_45745_1,Karbi Anglong Autonomous Council||PWD||Addl. Chief Engineer Diphu,Samelangso,Construction of 50 bedded hostel separately for boys and girls at Langhin Manikpue BM High School under the scheme Dharti Aaba Janjatiya Gram Utkarsh Abhiyan,2025-07-21 11:00,2025-08-11 14:00,757500,2025-07-25 12:00,37875000,29-07-2025 12:23:46,assamtenders_gov_tenders
8,2025_KAAC_45675_1,Karbi Anglong Autonomous Council||PWD||Addl. Chief Engineer Diphu,Langsomepi,Construction of 50 bedded hostel separately for boys and girls at Langhin Pamgaon Higher Secondary School under Dharti Aaba Janjatiya Gram Utkarh Abhiyan,2025-07-21 11:00,2025-08-11 14:00,757500,2025-07-25 12:00,37875000,29-07-2025 12:24:15,assamtenders_gov_tenders
9,2025_KAAC_45691_1,Karbi Anglong Autonomous Council||PWD||Addl. Chief Engineer Diphu,Lumbajong,Construction of 50 bedded hostel separately for boys and girls at Langsoliet High School under Dharti Aaba Janjatiya Gram Utkarh Abhiyan,2025-07-21 11:00,2025-08-11 14:00,757500,2025-07-25 12:00,37875000,29-07-2025 12:24:48,assamtenders_gov_tenders
10,2025_KAAC_45750_1,Karbi Anglong Autonomous Council||PWD||Addl. Chief Engineer Diphu,Chinthong,Construction of 50 bedded hostel separately for boys and girls at Amtereng Karbi Langpi ME School under Dharti Aaba Janjatiya Gram Utkarh Abhiyan,2025-07-21 11:00,2025-08-11 14:00,757500,2025-07-25 12:00,37875000,29-07-2025 12:25:07,assamtenders_gov_tenders
11,2025_PHED_45781_1,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,Changsari,"Construction Of Stone Masonry Protection Guard Wall At Water Treatment Plant Of AIIMS Situated At Rangmahal Hill Top, North Guwahati To Prevent Landslide",2025-07-19 16:00,2025-08-11 16:00,181060,2025-07-28 13:00,9053000,29-07-2025 12:25:59,assamtenders_gov_tenders
12,2025_BTC_45709_1,Bodoland Territorial Council-PWD||Director Cum CHD - PWD BTC,Kokrajhar,"Construction of Staff Quarter, View Tower, Guard Room, Internal Roads, Electrical works, Landscaping and Beautification of the premises of EM and MCLA Quarter at Harinaguri, BTC, Kokrajhar. TN_17_01",2025-07-18 10:00,2025-08-08 14:00,3048775,,152438768,29-07-2025 12:26:24,assamtenders_gov_tenders
13,2025_PWBNH_45384_1,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,Karbi Anglong,"Construction of Sainik School at Langvoku, Karbi Anglong",2025-07-07 15:00,2025-08-05 14:00,60077616,2025-07-15 11:30,3003880809,29-07-2025 12:28:07,assamtenders_gov_tenders
14,2025_APGCL_45226_1,Assam Power Generation Company Limited,"Karbi Langpi Hydro Electric Project, Karbi Anglong","Supply, Installation, Testing and Commissioning of New Energy Meters and other associated accessories required for the purpose of Energy Accounting at Karbi Langpi Hydro Electric Project (KLHEP), APGCL.",2025-06-28 10:00,2025-07-31 12:00,15500,,766216,29-07-2025 12:28:44,assamtenders_gov_tenders
