,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_WRDAS_443470_13,WRD - CE AND AS||ACE-UDAIPUR-ZONE||SE-BHILWARA-WR CIRCLE||EE-WR DIVISION I-BHILWARA,BHILWARA,"Restoration of Bhairu Ji Ka Anicut Village - Diyas G.P. - Arwar Tehsil-Phuliya Kalan ,District- Shahpura Under MJSA 2.0",2025-01-17 10:00,2025-01-27 18:00,38355,,1917746,18-01-2025 01:34:16,Eproc Rajasthan GOV BOT
1,2025_WRDAS_443470_7,WRD - CE AND AS||ACE-UDAIPUR-ZONE||SE-BHILWARA-WR CIRCLE||EE-WR DIVISION I-BHILWARA,BHILWARA,Nimabahera Kalan Waste Weir and Sluice Work ps Banera under MJSA 2.0,2025-01-17 10:00,2025-01-27 18:00,78431,,3921563,18-01-2025 01:34:53,Eproc Rajasthan GOV BOT
2,2025_DLB_443226_4,DLB||Dy.DR-Udaipur||EO-Sagwara,SAGWARA,Construction of a shed for parking in municipal land near Spring Dales School,2025-01-16 11:00,2025-02-05 18:00,19860,,993000,18-01-2025 01:36:40,Eproc Rajasthan GOV BOT
3,2025_DLB_443356_6,DLB||Dy.DR-Jodhpur||CEO-Jodhpur,NAGAR NIGAM JODHPUR SOUTH,Bitumen construction road work at bhagat ki kothi slip lane in ward 38 (NCAP),2025-01-15 17:00,2025-01-30 10:30,53240,,2662000,18-01-2025 01:37:17,Eproc Rajasthan GOV BOT
4,2025_MEDIC_443352_1,Medical and Health||Director (F.W.) Medical Health and Family Welfare Services,BHILWARA,MGH Bhilwara Me Mukhya Bhawan Ke Samne Tatha New M.C.H Ke Samip Sthit Vahan Parking Ke Sanchalan Karya Ka Contract,2025-01-15 15:30,2025-01-22 17:00,60000,2025-01-18 12:00,3000000,18-01-2025 01:37:49,Eproc Rajasthan GOV BOT
5,2025_WDSC_443262_1,Deptt. of Watershed Dev. and Soil Conservation||CEO-SLNA Cum Director||PM-WCDC and SE(LR),WORK,ARABLE LAND FORM POND RANI,2025-01-15 10:00,2025-01-26 18:00,157190,,7859498,18-01-2025 01:38:47,Eproc Rajasthan GOV BOT
6,2025_DLB_443114_1,DLB||Dy.DR-Jodhpur||CEO-Jodhpur,nagar nigam jodhpur north,CC Road Construction Work in Lane 8 in Bhurantia Ward no 4,2025-01-13 17:00,2025-01-23 12:30,22500,,1125000,18-01-2025 01:40:15,Eproc Rajasthan GOV BOT
7,2025_CEPWD_443005_2,PWD - CE AND AS||ACE - JODHPUR||SE-ELECT-JODHPUR||EE-I-JODHPUR,Jodhpur,All in all maintenance of CCTV surveillance system installed at District and Session Court (Metro) Jodhpur (Year 2024-25),2025-01-13 09:00,2025-01-18 18:00,10760,2025-01-16 13:00,538000,18-01-2025 01:41:06,Eproc Rajasthan GOV BOT
8,2025_DLB_443015_10,DLB||Dy.DR-Udaipur||EO-Nathdwara,MB Fatehnagar Sanwad,Boundary construction work on municipal land. Near Joyda Bavji.,2025-01-13 09:00,2025-01-22 18:00,49820,,2491000,18-01-2025 01:41:26,Eproc Rajasthan GOV BOT
9,2025_UITUD_442932_2,UIT Udaipur||S.E.||Ex. En. - II,Udaipur,Providing Technical Assistant for Badgaon to Kavita Master Plan 100 ft. Road Site supervision in UDA Dn-IV through agencies. 6307,2025-01-11 18:00,2025-01-22 18:00,23660,,1183000,18-01-2025 01:44:30,Eproc Rajasthan GOV BOT
10,2025_PRD_442752_1,Panchayati Raj Department||Secretary and Commissioner||CEO- JAIPUR||BDO-KOTPUTALI,KUJOTA,CC SADAK NIRMAN KARYA INTERLOCKING SADAK SE PACHBIR JOHAD KI AUR AJITPURAKALAN 200 METER,2025-01-10 18:00,2025-01-20 11:00,20000,,999996,18-01-2025 01:45:53,Eproc Rajasthan GOV BOT
11,2025_DLB_442737_10,DLB||Dy.DR-Bikaner||EO-Sadulshahar,Work,wire fencing work land allotted for garbage processing,2025-01-10 17:15,2025-01-20 11:00,3360,,168000,18-01-2025 01:46:12,Eproc Rajasthan GOV BOT
12,2025_DLB_442737_6,DLB||Dy.DR-Bikaner||EO-Sadulshahar,Work,work of boundary wall of land allotted for garbage proccessing,2025-01-10 17:00,2025-01-20 11:00,49860,,2493000,18-01-2025 01:46:34,Eproc Rajasthan GOV BOT
13,2025_RRVUN_442284_1,RRVUN - CMD||RVUN-CE (CTPP-SC) CHHABRA,"Plant site ,CSCTPP","Supply of Protection Switches and Limit Switches equipped in Different Areas installed in Coal Handling Plant and U#5 and 6 of CSCTPP, Chhabra",2025-01-09 09:00,2025-01-20 13:00,44660,,2232976,18-01-2025 01:47:54,Eproc Rajasthan GOV BOT
14,2025_CEPWD_442406_1,PWD - CE AND AS||ACE - JAIPUR II||SE-RURAL-JPR||DIST-I,Under Jurisdiction of Dn - Jamwa Ramgarh,Construction of Box Culvert at Bhanpura Kalan to gol via Nangal Tulsi das Toda meena tala Jaichandpura Bobari Ch. 11/700 to 11/730,2025-01-09 09:00,2025-01-18 18:00,19500,,975000,18-01-2025 01:48:12,Eproc Rajasthan GOV BOT
15,2025_RRVUN_442284_1,RRVUN - CMD||RVUN-CE (CTPP-SC) CHHABRA,"Plant site ,CSCTPP","Supply of Protection Switches and Limit Switches equipped in Different Areas installed in Coal Handling Plant and U#5 and 6 of CSCTPP, Chhabra",2025-01-09 09:00,2025-01-20 13:00,44660,,2232976,18-01-2025 01:48:37,Eproc Rajasthan GOV BOT
16,2025_RSRDC_442228_1,RSRDCC-GM,Nasirabad Sarwar Kekri Deoli Road,Consultancy for preparation of DPR for Upgradation and Construction work of Nasirabad Sarwar Kekri Deoli Road (SH 26) from 2 Lane to 4 Lane,2025-01-08 18:00,2025-01-20 18:00,384000,,19200000,18-01-2025 01:48:54,Eproc Rajasthan GOV BOT
