,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_NHAI_226369_1,National Highways Authority of India||RO-Vijayawada - NHAI,Rajamahendravaram,Construction of 6 lane LVUP at Nookalamma Arch jn Km 743.090 and Service Roads at Chepuru Jn Km 816.120 and Yerrakoneru jn Km 819.155 ANKP-ANVM section of NH16 as part of Rectification of MORTH identified blackspots on EPC mode in AP,2025-02-11 16:30,2025-03-13 16:30,5500000,,547406621,12-02-2025 08:32:43,Etenders GOV BOT
1,2025_NHAI_226296_1,National Highways Authority of India||RO-Patna - NHAI,"NHAI, RO - Patna",Routine Maintenance and Incident Management of Two laning of Muzaffarpur -Barauni Section of NH - 122 (Old NH -28) from 519.600 to 627.163 in the state of Bihar.,2025-02-11 11:00,2025-03-05 12:00,1500000,,74572857,12-02-2025 08:33:55,Etenders GOV BOT
2,2025_NHAI_226298_1,National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,NHAI HQ,Engagement of user fee collection agency on the basis of competitive bidding through e-tender for Nimbaniya Ki Dhani (bayatu) Fee Plaza at km.300 for two-four Lane with paved shoulder section of NH-112 in the State of Rajasthan,2025-02-11 09:05,2025-02-24 11:00,0.00,,78400000,12-02-2025 08:34:19,Etenders GOV BOT
3,2025_NHAI_226265_1,National Highways Authority of India||RO-Chandigarh - NHAI,PIU Ludhiana,Operation and Maintenance including Routine Maintenance and Incident Management of Six Lane Panipat-Jalandhar Section of NH-1 (New NH-44) from Km 272.000 to Km 387.100 in the State of Punjab,2025-02-10 18:00,2025-03-11 11:00,1386000,,69324748,12-02-2025 08:34:46,Etenders GOV BOT
4,2025_DPHCL_224346_2,Delhi Police Housing Corporation Ltd,"North District,Delhi.","Repair and renovation of Minor Work in Quarter No. 2/2 Court Lane at North District,Delhi.",2025-02-10 11:00,2025-02-16 11:00,14124,,706157,12-02-2025 08:35:37,Etenders GOV BOT
5,2025_AAI_226081_1,Airports Authority of India||Southern Region - AAI||RHQ-SR - AAI||ENGG CIVIL-SR - AAI,Coimbatore International Airport,Construction of Pre-Cast Operational Boundary Wall for the Newly acquired Land at Coimbatore International Airport. SH-Fixing additional Boundary stones and Taking Geo-Coordinates in newly acquired land at Coimbatore Airport,2025-02-07 18:00,2025-03-01 17:30,23790,,793123,12-02-2025 08:36:07,Etenders GOV BOT
6,2025_NHAI_225220_1,National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI HQ,Upgradation Strengthening of 2-4 Lane Carriageway to 4-Lane Divided Carriageway from Ch.161.000 in Jitnagar Village in Nandod Taluka to Ch.179.780 in Bitada-Movi Village in Netrang Taluka (L 18.780 Km) Section of NH-56 in Gujarat on HAM (PKG-IV)(B),2025-01-29 18:50,2025-03-18 11:00,91100000,,9109100000,12-02-2025 08:43:17,Etenders GOV BOT
7,2025_NHAI_225201_1,National Highways Authority of India||RO-Bangalore - NHAI,NHAI-RO-Bangalore,"Construction of a 6 Lane Flyover with approaches and slip road at Ganesh Nagar Cross Km.226.160 between Km 225.800 and Km 226.960 on the 4 lane Bijapur-Hungund section of NH 50 in the state of Karnataka, to be executed on Standalone basis under EPC m",2025-01-29 18:00,2025-02-18 11:00,4821000,,482100000,12-02-2025 08:43:34,Etenders GOV BOT
8,2025_TCIL_224865_1,Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||IT Division - TCIL,New Delhi,Selection of Consortium Partner for Designing Planning Supply Installation Configuration Customization Integration Testing Commissioning and OM OF Central Network Operations Centre CNOC for Amended Bharat Net Program,2025-01-25 12:00,2025-02-12 12:00,1000000,,NA,12-02-2025 08:45:43,Etenders GOV BOT
9,2025_NHAI_224122_1,National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI HQ,Four laning of Kolhapur Sangli section of NH-166 from Sangli Phata (km 0.00) to Chokak (km 7.738) and Chokak (km 145.300) to Ankali (km 171.171) (DL 33.609 km in Maharashtra to be executed on HAM under NH (O).,2025-01-16 17:00,2025-02-13 11:00,75900000,,7587500000,12-02-2025 08:47:33,Etenders GOV BOT
