,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2024_GAIL_214225_1,GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||BRIDGE AND ROOF COMPANY (INDIA) LTD. -PMC,BHU-BANESWAR GA,COMPOSITE WORKS UNDER BHU-BANESWAR GA FOR CITY GAS DISTRIBUTION NETWORK (2 YEARS ARC),2025-01-18 17:35,2025-02-04 14:00,1500000,2025-01-24 15:00,96924809,18-01-2025 20:22:16,Etenders GOV BOT
1,2025_TCIL_224234_1,Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||IT Division - TCIL,Odisha,Selection of Backend Partner for Facility Management Services for Odisha State Wide Area Network,2025-01-17 17:00,2025-01-27 10:00,5000000,,NA,18-01-2025 20:22:50,Etenders GOV BOT
2,2025_BSNL_224135_1,"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. (NWP-CFA), Patna",Bihar,"E-BID for Selection of SIs ,other Companies for Supply, Installation, Commissioning and OM for Bihar State Wide Area Network, Version3.0 on Turnkey Basis at SHQ, DHQ, BHQ, Panchayat ,other offices in Bihar.",2025-01-17 09:00,2025-01-24 16:00,20000000,,2000000000,18-01-2025 20:23:09,Etenders GOV BOT
3,2025_BSNL_224052_1,"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. (NWP-CFA), Patna",Bihar,"E-BID for Selection of SIs, OEMs, other Companies for Supply, Installation, Commissioning and OM for Bihar State Wide Area Network, Version3.0 on Turnkey Basis at SHQ,DHQ,BHQ,Panchay at other offices in Bihar",2025-01-16 09:00,2025-01-24 15:00,20000000,,1750000000,18-01-2025 20:23:28,Etenders GOV BOT
4,2025_TCIL_223895_1,Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||IT Division - TCIL,Gandhinagar,Selection of PreBid Partner for Supply Installation and Commissioning to upgrade backhaul network of GFGNL,2025-01-14 14:00,2025-01-21 12:00,1250000,,NA,18-01-2025 20:23:45,Etenders GOV BOT
5,2025_MNGL_223821_1,Maharashtra Natural Gas Ltd.||Corporate Office Pune||Contracts and Procurement,Multiple GAs of MNGL,"Tender for procurement of Insulating Joints (IJs) for the Steel Pipeline Network in Pune, Nashik, Nanded and Nizamabad GAs of MNGL.",2025-01-13 18:55,2025-01-28 15:00,50000,,NA,18-01-2025 20:24:03,Etenders GOV BOT
6,2025_TCIL_223857_1,Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||MM Division - TCIL,As per EOI,"Selection of Partner for Supply, Installation, Commissioning and OnM of Bihar State Wide Area Network (BSWAN 3.0)",2025-01-13 18:50,2025-01-23 15:00,600000,,NA,18-01-2025 20:24:20,Etenders GOV BOT
7,2025_DVC_223730_1,Damodar Valley Corporation||HQ Kolkata - DVC||C and M,DVC Head Quarter,LEASING OF SPARE DARK FIBRES OF DVC OPGW FIBRE NETWORK FOR COMMERCIAL USE,2025-01-11 10:00,2025-02-11 12:00,704719,2025-01-20 12:00,NA,18-01-2025 20:24:40,Etenders GOV BOT
8,2025_MNGL_223726_1,Maharashtra Natural Gas Ltd.||Corporate Office Pune||Contracts and Procurement,Various GAs of MNGL,"Tender for 02 (Two) year rate contract for procurement of Pressure Regulators for Industrial and Commercial segment of CGD Network of Pune, Nashik, Sindhudurg, Ramanagara, Nanded and Nizamabad GAs of MNGL.",2025-01-10 18:55,2025-01-31 15:00,180000,2025-01-17 11:00,NA,18-01-2025 20:25:03,Etenders GOV BOT
9,2025_BSNL_223446_1,"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Gujarat Telecom Circle||O/o CGMT, Ahmedabad",Work,EOI for deciding implementation partner for SITCOM of Statewide IP Telephony Network with CAMC across Gujarat for the period of 5 plus 2 years,2025-01-09 09:00,2025-01-23 15:00,5288136,2025-01-16 11:30,264406780,18-01-2025 20:25:20,Etenders GOV BOT
