,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2024_MVVNL_982077_1,Madhyanchal Vidyut Vitran Nigam Ltd||C E - LESA||S E (D) - 4,Lucknow,"Increasing Capacity of Distribution Transformer and other electrical work against Business Plan 2025-26 (Package No. 1, 2, 3, 4, 5, 6, 7, 8 /25-26) Under jurisdiction of EDD, Nadarganj, Amousi Zone, Lesa, Lucknow",2024-12-14 18:50,2024-12-19 12:00,25000,,NA,16-12-2024 02:14:58,Etenders UP NIC BOT
1,2024_DOLBU_983580_1,Directorate of Local Bodies UP||Nagar Panchayat Kanth Moradabad,KANTH (MORADABAD),"Construction of Stage, Darshak shed, Hall, C.C. Entrance Road, Pathway Interlocking, Earth filling, Landscaping and High Mast shaft for Dashehra Ground in Man Nagar Kanth (Gata No. 310)",2024-12-14 12:45,2025-01-13 14:00,1188400,2024-12-17 14:00,19768000,16-12-2024 02:15:28,Etenders UP NIC BOT
2,2024_DVVNL_983478_1,Dakshinanchal Vidyut Vitran Nigam Ltd.,EDD-III ALIGARH,Various work of increasing capacity of power transformer related work under Business Plan 2024-25 (Part-2).,2024-12-14 09:00,2024-12-19 12:00,2200,,218500,16-12-2024 02:16:09,Etenders UP NIC BOT
3,2024_SIDC_983040_1,UP STATE INDUSTRIAL DEVELOPMENT CORPORATION||KANPUR||EE KANPUR,"Sarojani Nagar, Lucknow",Providing Street Light of service lane at Industrial Area Sarojani Nagar Extension Lucknow.,2024-12-13 16:00,2024-12-20 17:00,46300,,1961488,16-12-2024 02:19:25,Etenders UP NIC BOT
4,2024_UPIDC_983036_24,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||VII Circle Irrigation Works, Lucknow||Lucknow Division Sharda Canal Lucknow",E-in-c office,"Horticulture and Landscaping of E-in-C Office Courtyard Lawn at E-in-C office, Cantt Road, Lucknow.(Lot No.24)",2024-12-13 12:00,2024-12-20 12:00,3340,,NA,16-12-2024 02:20:17,Etenders UP NIC BOT
5,2024_NNVAR_981714_25,Varanasi Nagar Nigam Varanasi,VARANASI NAGAR NIGAM,WARD NO.59 RAMREPUR ANTARGAT SANJAY NAGAR COLONY ME PINTU SINGH KE MAKAN SE GURGA MANDIR HOTE HUYE LALLAN SINGH KE AAVASH TAK KACCHE RASTE PAR INTORLOCKING LAGANE KA KARYA.,2024-12-12 12:00,2024-12-17 16:00,34700,,346900,16-12-2024 02:23:32,Etenders UP NIC BOT
6,2024_NNVAR_981714_25,Varanasi Nagar Nigam Varanasi,VARANASI NAGAR NIGAM,WARD NO.59 RAMREPUR ANTARGAT SANJAY NAGAR COLONY ME PINTU SINGH KE MAKAN SE GURGA MANDIR HOTE HUYE LALLAN SINGH KE AAVASH TAK KACCHE RASTE PAR INTORLOCKING LAGANE KA KARYA.,2024-12-12 12:00,2024-12-17 16:00,34700,,346900,16-12-2024 02:25:06,Etenders UP NIC BOT
7,2024_NOIDA_981750_1,New Okla Industrial Development Authority,NOIDA,"M/o W/s (Rewinding of V.T. Motor at Network Sector-106 and 110 and Rewinding of V.T Booster Motor, R/o Transformer and Panel at UGR/TWs in Network Sector-106, 110 and Miscellaneous Electricals work) Noida. ( AMC for Two Year).",2024-12-12 09:00,2024-12-24 17:00,83800,,4187592,16-12-2024 02:27:37,Etenders UP NIC BOT
8,2024_NOIDA_981750_1,New Okla Industrial Development Authority,NOIDA,"M/o W/s (Rewinding of V.T. Motor at Network Sector-106 and 110 and Rewinding of V.T Booster Motor, R/o Transformer and Panel at UGR/TWs in Network Sector-106, 110 and Miscellaneous Electricals work) Noida. ( AMC for Two Year).",2024-12-12 09:00,2024-12-24 17:00,83800,,4187592,16-12-2024 02:28:04,Etenders UP NIC BOT
9,2024_CEUAZ_982019_1,"Chief Engineer PWD Azamgarh Zone,Azamgarh||S.E. Balia Circle,PWD, Balia||Provincial Division, PWD, Balia",Ballia,Repair work of culvert located at km 1 of Nipaniya Siwankalan road in Ballia district,2024-12-11 10:00,2024-12-16 12:00,256000,,2560000,16-12-2024 02:30:46,Etenders UP NIC BOT
10,2024_DOLBU_982238_6,Directorate of Local Bodies UP||Nagar Palika Parishad Keeratpur Bijnor,NPP KIRATPUR,Construction of C.C Road Drain Near H/o Shri Farman to H/o Qaiyum (Mriyam School Land mark)Moh-Ansariyan Kiratpur,2024-12-10 18:00,2024-12-18 10:00,16180,,809000,16-12-2024 02:31:35,Etenders UP NIC BOT
11,2024_UPIDC_964728_13,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVIII Circle Irrigation Works, Allahabad",S.E. eighteen circle Irrigation works prayagraj,"Restoration and Demarcation work of canal land from head to km. 18.400 of Allahabad Dy. under the control of irrigation Division-1, Prayagraj in Prayagraj Dist. Lot-04",2024-12-10 18:00,2024-12-16 12:00,644000,,32179000,16-12-2024 02:31:54,Etenders UP NIC BOT
12,2024_DOLBU_981565_1,Directorate of Local Bodies UP||Agra Municipal Corporation,AGRA,"Zone-1 Chhatta Ward number-99 Construction of culvert at Peepal Mandi Kala Mahal, repair work including C.C. flooring and drain construction at Nawab Ka Phatak, Gulab Khana etc. places and link lanes.",2024-12-10 14:00,2024-12-16 12:00,83908,,839075,16-12-2024 02:33:13,Etenders UP NIC BOT
13,2024_DOLBU_981568_1,Directorate of Local Bodies UP||Agra Municipal Corporation,AGRA,Zone-1 Chhatta Ward number-99 Repair work including C.C. flooring and drain construction from Peepal Mandi Daresi Mangode Wale to Krishna Bhojanalaya and link lanes.,2024-12-10 14:00,2024-12-16 12:00,84180,,841791,16-12-2024 02:33:35,Etenders UP NIC BOT
14,2024_SCIDC_982130_1,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Gonda,Office UPSCIDCO GONDA,Construction of Boundary wall at Govt. Girls High School Sehariya Kalan Block-Katra Bazar Distt-Gonda.,2024-12-10 13:00,2024-12-16 12:00,21000,2024-12-13 12:00,NA,16-12-2024 02:34:09,Etenders UP NIC BOT
15,2024_CEALG_982033_1,Chief Engineer Aligarh Zone PWD Aligarh||Superintending Engineer Aligarh Circle PWD Aligarh||Construction Division - 1 PWD Etah,ETAH,Renewal of NidhauliKalan to Dheemar Road in FY 2024-25,2024-12-10 12:00,2024-12-17 12:00,37000,,364000,16-12-2024 02:34:46,Etenders UP NIC BOT
16,2024_CEALG_981172_32,Chief Engineer Aligarh Zone PWD Aligarh||Superintending Engineer Aligarh Circle PWD Aligarh||Provincial Division PWD Hathras,Hathras,Renewal of Madrak Station to Mamotakalan Road,2024-12-10 12:00,2024-12-19 12:00,103000,,1030000,16-12-2024 02:35:35,Etenders UP NIC BOT
17,2024_CEALD_974724_72,Cheif Engineer Allahabad Zone PWD Allahabad||SE ALLAHABAD CIRCLE PWD ALLAHABAD||EE PROVINCIAL DIVISION PWD KAUSHAMBI,Kaushambi,Renewal with General Repair of Chandelan ka purva road KM-02 to Malak Panchbha road,2024-12-10 12:00,2024-12-18 12:00,96000,,960000,16-12-2024 02:36:09,Etenders UP NIC BOT
18,2024_PWDBL_979712_12,Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,Lucknow,"Nehru enclave Gomtinagar colony sthit awas No-R159 type- 5 me ek shatigrast bathroom ka navinikaran, seelan marammat seelan se shatigrast wardrobe ki marammat va Anya awashyak marammati karya",2024-12-10 09:00,2024-12-16 12:00,21100,2024-12-11 12:00,211000,16-12-2024 02:36:47,Etenders UP NIC BOT
19,2024_NNVAR_980830_41,Varanasi Nagar Nigam Varanasi,"NAGAR NIGAM, VARANASI",WARD NO 41 AKATHA ANTARGAT CHAKVAHI TADIYA AVADHPURI COLONY ME LANE N0 03 ME PRAMOD SIGH KE MAKAN SE LATE LALLU RAM AVASH TAK SADAK MARAMMAT PATARI PAR INTERLOCKING V CC BLOCK NALI LAGANE KA KARYA,2024-12-09 17:00,2024-12-20 16:00,93700,,937000,16-12-2024 02:37:51,Etenders UP NIC BOT
20,2024_PVVNV_981743_1,Purvanchal Vidyut Vitran Nigam Limited Varanasi||Chief Engineer (D) PuVVNL Gorakhpur,Area of EUDD-I GKP,Work sanctioned under Additional Business Plan 2024-25,2024-12-09 14:00,2024-12-17 16:00,57000,,NA,16-12-2024 02:39:36,Etenders UP NIC BOT
21,2024_CEJNS_980242_8,Chief Engineer Jhansi Zone PWD Jhansi UP||JHANSI CIRLCE PWD JHANSI||Construction Division PWD Lalitpur,Lalitpur,Renewal work with ordinary repair of Hansarkalan kailguwan road to chunagi mavlen link road in Km. 3,2024-12-09 12:00,2024-12-16 12:00,100000,2024-12-12 12:00,NA,16-12-2024 02:40:04,Etenders UP NIC BOT
22,2024_DOLBU_981587_2,Directorate of Local Bodies UP||Nagar Palika Parishad Bharthana Etawah,Auraiya,constrction work drain and intrlocking form suraj phathak house to lallan house in moh. padeen darwaja north word no 5,2024-12-09 10:00,2024-12-30 14:00,22000,,1074593,16-12-2024 02:41:34,Etenders UP NIC BOT
23,2024_UPPRD_978976_170,Panchayati Raj Department||Zila Panchayat Sitapur,"O/of APAR MUKHYA ADHIKARI, ZILA PANCHYAT, SITAPUR",BLOCK PAHLA ME MAHUVATALI TALAB SE NIRUVA TALAB HOTE HUE KANDUNI RAMPUR KALAN SAMPARK MARG TAK KHARANJA KARYA,2024-12-06 18:55,2024-12-19 12:00,192900,,3857883,16-12-2024 02:43:19,Etenders UP NIC BOT
24,2024_UPPRD_978976_126,Panchayati Raj Department||Zila Panchayat Sitapur,"O/of APAR MUKHYA ADHIKARI, ZILA PANCHYAT, SITAPUR",BLOCK REUSA RAJAPUR KALAN DAMAR ROAD SE KHARANJA TAK KHARANJA KARYA,2024-12-06 18:55,2024-12-19 12:00,89880,,1797519,16-12-2024 02:43:39,Etenders UP NIC BOT
25,2024_UPPRD_978976_79,Panchayati Raj Department||Zila Panchayat Sitapur,"O/of APAR MUKHYA ADHIKARI, ZILA PANCHYAT, SITAPUR",BLOCK LAHARPUR BHELAWA KALAN KE MAZRA BAIJNATHPUR KHARANJE SE IBRAHIMPUR KHARANJE TAK KHARANJA KARYA,2024-12-06 18:55,2024-12-19 12:00,61740,,1234638,16-12-2024 02:43:57,Etenders UP NIC BOT
26,2024_UPPRD_979791_3,Panchayati Raj Department||Zila Panchayat Ballia,BALLIA,Gram sabha doKati mein PWD sampark Marg per Mohammed Dhanu mistri ke ghar ke bagal se hote hue dalan Chhapra jameen badi ki or jaane wale sampark Marg Tak cc,2024-12-06 18:00,2024-12-18 18:00,11864,,593000,16-12-2024 02:44:25,Etenders UP NIC BOT
27,2024_UPPRD_979791_3,Panchayati Raj Department||Zila Panchayat Ballia,BALLIA,Gram sabha doKati mein PWD sampark Marg per Mohammed Dhanu mistri ke ghar ke bagal se hote hue dalan Chhapra jameen badi ki or jaane wale sampark Marg Tak cc,2024-12-06 18:00,2024-12-18 18:00,11864,,593000,16-12-2024 02:44:46,Etenders UP NIC BOT
28,2024_UPPRD_979791_70,Panchayati Raj Department||Zila Panchayat Ballia,BALLIA,Sawru bandh udaipura sampark Marg ke chhutkan se ke dera se Shiv Mandir purani basti sadak per Solan ka karya,2024-12-06 18:00,2024-12-18 18:00,7458,,373000,16-12-2024 02:45:13,Etenders UP NIC BOT
29,2024_DOLBU_980634_1,Directorate of Local Bodies UP||Nagar Palika Parishad Bhadohi Santravidasnagar,WORK,"Setting up of 55 TPD solid waste processing facilities including wet waste processing facility, dry waste processing facility and sanitary landfill for processing inerts along with O and M of the facility for the duration of 11 with Capex financin",2024-12-06 10:00,2024-12-27 14:00,1500000,2024-12-13 16:30,54848000,16-12-2024 02:46:21,Etenders UP NIC BOT
30,2024_DOLBU_980634_1,Directorate of Local Bodies UP||Nagar Palika Parishad Bhadohi Santravidasnagar,WORK,"Setting up of 55 TPD solid waste processing facilities including wet waste processing facility, dry waste processing facility and sanitary landfill for processing inerts along with O and M of the facility for the duration of 11 with Capex financin",2024-12-06 10:00,2024-12-27 14:00,1500000,2024-12-13 16:30,54848000,16-12-2024 02:47:06,Etenders UP NIC BOT
31,2024_UPPRD_978302_203,Panchayati Raj Department||Zila Panchayat Jaunpur,JAUNPUR,BAKSHA GRAM SABHA GADHASENI (SHRI LANKA BADI NISHAD BASTI) ME PICH ROAD SE ASHOK PRAJAPATI KE KHET KE BAGAL SE NISHAD BASTI TAK LEPAN,2024-12-05 17:00,2024-12-16 15:00,38400,,NA,16-12-2024 02:49:00,Etenders UP NIC BOT
32,2024_SCIDC_980280_1,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Lalitpur,MAIRTIKALA,BUNDELKHAND VIKAS NIDHI 2024-25 KE ANTARGAT BLOCK -BIRDHA KE GRAM MERTIKALAN ME RAMAVTAR KE MAKAN SE VINOD PATEL KE MAKAN KI AAGE KI OR SADAK KA NIRMAN KARYA,2024-12-05 12:00,2024-12-16 15:00,19800,,NA,16-12-2024 02:50:09,Etenders UP NIC BOT
33,2024_SCIDC_980280_1,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Lalitpur,MAIRTIKALA,BUNDELKHAND VIKAS NIDHI 2024-25 KE ANTARGAT BLOCK -BIRDHA KE GRAM MERTIKALAN ME RAMAVTAR KE MAKAN SE VINOD PATEL KE MAKAN KI AAGE KI OR SADAK KA NIRMAN KARYA,2024-12-05 12:00,2024-12-16 15:00,19800,,NA,16-12-2024 02:50:28,Etenders UP NIC BOT
34,2024_UPIDC_980204_1,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||NWMPSC, hardoi",Hardoi,Clearance of internal section of Korokalan Drain from km 0.000 to 11.060 (Lot 03),2024-12-05 11:00,2024-12-20 11:00,8360,,418000,16-12-2024 02:51:10,Etenders UP NIC BOT
35,2024_UPPRD_978453_26,Panchayati Raj Department||Zila Panchayat Lalitpur,LALITPUR,GRAM MASAURAKALAN MAUJA KE HIGHWAY SE PANARI MEDE KI OR C.C. ROAD NIRMAN,2024-12-05 10:00,2024-12-16 17:00,59400,,2966000,16-12-2024 02:51:29,Etenders UP NIC BOT
36,2024_UPPRD_979041_17,Panchayati Raj Department||Zila Panchayat Gonda,Gonda,Gram Panchayat Sehariya Kalan mein Colonelganj Katuwa nala Narayanpur marg par Ram Bhulawan ke ghar se Kalhans Purwa ki ore Lepan Karya,2024-12-04 17:00,2024-12-23 13:00,83000,,4131000,16-12-2024 02:52:05,Etenders UP NIC BOT
37,2024_RVUNL_920783_2,UP Rajya Vidyut Utpadan Nigam Ltd||Harduaganj Thermal Power Project- UPRVUNL- Aligarh,SE OMC IV DTPS Kasimpur Aligarh,"Shifting of MCR of 220KV/132KV Switchyard and Substation Automation System (SAS) of 220KV/132KV switchyard of Harduaganj Thermal Power Plant, Kasimpur, Aligarh on turnkey basis",2024-12-04 17:00,2024-12-18 14:00,678000,2024-12-11 15:00,67788836,16-12-2024 02:52:42,Etenders UP NIC BOT
38,2024_LDAUP_979633_1,Lucknow Development Authority,"LDA Gomti Nagar, Lucknow.",G-20 (Bandha Marg) Par Isthapit Path Prakash Vyavastha ke Varshik Anurakshan avam Sanchalan ka Karya.,2024-12-04 12:00,2024-12-16 12:00,108400,,2161740,16-12-2024 02:53:11,Etenders UP NIC BOT
39,2024_DVVNL_979601_1,Dakshinanchal Vidyut Vitran Nigam Ltd.,EE EUDD I II JHS,For the work of fencing earthing and replacement of VCB of distribution transformers in Business Plan 2024 25 under Executive Engineer EUDD I and II Jhansi,2024-12-03 12:00,2024-12-17 12:00,41000,,4100000,16-12-2024 02:54:58,Etenders UP NIC BOT
40,2024_REDUP_979120_14,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MORADABAD CIRCLE||EE BIJNOR,EEREDBIJNOR,-Construction work from Azad s house to Ballan s house in village Chandat Turk.,2024-12-02 15:00,2024-12-18 12:00,39000,2024-12-09 10:00,1918600,16-12-2024 02:56:57,Etenders UP NIC BOT
41,2024_REDUP_979120_14,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MORADABAD CIRCLE||EE BIJNOR,EEREDBIJNOR,-Construction work from Azad s house to Ballan s house in village Chandat Turk.,2024-12-02 15:00,2024-12-18 12:00,39000,2024-12-09 10:00,1918600,16-12-2024 02:57:23,Etenders UP NIC BOT
42,2024_GDAUP_978915_1,Ghaziabad Development Authority,GHAZIABAD,Reconciliation of Records for Payments made by GDA To ADM Land Acquisition AND Irrigation Ghaziabad Period 01.04.2013 to 30.09.2024,2024-12-02 09:00,2024-12-16 17:00,25000,,0.00,16-12-2024 02:58:42,Etenders UP NIC BOT
43,2024_REDUP_978866_4,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,Ayodhy,"Under District Ayodhya, Construction of Interlocking road from the house of Gram Panchayat Devanpara Shobhnath Yadav to Panchayat Bhawan Ram Milan Khet in Block Haringtonganj, Lot No 4",2024-11-30 18:00,2024-12-26 12:00,23700,2024-12-09 11:00,1185000,16-12-2024 02:59:13,Etenders UP NIC BOT
44,2024_DVVNL_971358_2,Dakshinanchal Vidyut Vitran Nigam Ltd.,JHANSI,BUSINESS PLAN YEAR 2024-25 SEMI TURNKEY BASIS WORK UNDER EDD JHANSI,2024-11-21 16:00,2024-12-18 11:00,19080,,1908026,16-12-2024 03:03:10,Etenders UP NIC BOT
45,2024_CEUBZ_973586_7,Chief Engineer Basti Zone PWD Basti||SE Basti Circle PWD Basti||EE Provincial Divison PWD Basti,BASTI,SPECIAL REPAIR OF MAHRAJGANJ DUBAULIYA KM-3 PURAUWA HOTE HUE LANGDI ROAD,2024-11-18 12:00,2024-12-17 12:00,140000,2024-11-20 12:00,1633000,16-12-2024 03:12:12,Etenders UP NIC BOT
46,2024_PVVNV_973464_1,Purvanchal Vidyut Vitran Nigam Limited Varanasi||Chief Engineer (D) PuVVNL Gorakhpur,Under EDSD Khadda and Padrauna,To the work of Installation of additional Transformer on the basis of Semi Turn key in Business Plan year 2024-25 under Electricity Distribution Subdivision Khadda and Padrauna Kushinagar,2024-11-13 09:00,2024-12-19 12:00,21100,,2103900,16-12-2024 03:13:33,Etenders UP NIC BOT
47,2024_CEMRT_970593_1,Cheif Engineer Meerut Zone PWD Meerut||SE BULAND SHAHAR PWD BULANDSHAHAR||EE PROVINCIAL DIVISION PWD BULAND SHAHAR,Bulandshahr,Special repair of DAV Tiraha to Ansari road Chauraha and Service Lane (ODR) link road,2024-11-05 09:00,2024-12-30 12:00,593000,2024-11-06 12:00,7852000,16-12-2024 03:15:23,Etenders UP NIC BOT
