,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_LUNIV_1004332_1,Lucknow University,"Faculty of Engineering and Technology,","Electrical Wiring and Networking work at Faculty of Engineering and Technology, Deptt. of Computer Science Engineering (Computer lab No. 101 and 113).",2025-02-10 09:00,2025-02-26 17:00,127200,,1271416,10-02-2025 12:01:28,Etenders UP NIC BOT
1,2025_NOIDA_1003728_1,New Okla Industrial Development Authority,NOIDA,"M/o Water Supply (Two Years Annual Repairing of V. T. Motor, Starter, Panel, TPMO, Transformer etc. of Network-55, 56, 66, 67, 68, 74, 78, 112, 113, 115, 118, 121 and 122), Noida.",2025-02-07 18:00,2025-02-20 17:00,315700,,15782404,10-02-2025 12:01:52,Etenders UP NIC BOT
2,2025_NOIDA_999778_1,New Okla Industrial Development Authority,Noida,"M/o W/s (S/F of Line Shaft for UGR and TWs at Network Sec- 28, 29, 37 and 99, 100 and Ranney Well 1 and 2), Noida (For Two Year Maintenance)",2025-02-07 15:00,2025-02-20 17:00,254700,,12731271,10-02-2025 12:02:10,Etenders UP NIC BOT
3,2025_NOIDA_1002672_2,New Okla Industrial Development Authority,NOIDA,"M/o W/s (Two Year Repairing of PVC/C.I./D.I./M.S. Water Line, R/o Sluice Valve and Reflex Valve and S/F Flushing Sluice Valve in Network Sector-130, 162 and Village- Gulavali, Mohiyapur, Yakootpur, Nagla Nagli, Nagli Sakhpur, Rohillapur) Noida",2025-02-06 12:02,2025-02-11 17:00,86900,,4341627,10-02-2025 12:02:37,Etenders UP NIC BOT
4,2025_NOIDA_1002642_1,New Okla Industrial Development Authority,NOIDA,"M/o Sewerage (Cleaning and Desilting of Deep Sewer line by Super Sucker Machine in Sewerage Network Sector-104, 106, 110, DSC Road, Gejha Road and Village-Salarpur and Bhangel) Noida",2025-02-05 18:00,2025-02-11 17:00,159200,,7958797,10-02-2025 12:02:58,Etenders UP NIC BOT
5,2025_NOIDA_1002279_1,New Okla Industrial Development Authority,NOIDA,"M/o W/s (Renovation, Repairing, Painting of Boundary Wall, Pump House, Guard Room, D.G. Room, Electrical Room, Cleaning of Jungle and Other Misc. work at WWC Sector-151 and 153 and Tubewells in Network Sector-151 to 154) Noida",2025-02-05 14:00,2025-02-18 17:00,176600,,8828992,10-02-2025 12:03:16,Etenders UP NIC BOT
6,2025_NOIDA_1002123_1,New Okla Industrial Development Authority,Noida,"M/o W/s (Rewinding of VT Motors, TPMO, Transformer, Fuse Set Cable, Lighting and other allied work at Network Sector- 86, 87, 88, 89, 150 and 168), Noida (For Two Year)",2025-02-05 09:00,2025-02-11 17:00,137800,,6886646,10-02-2025 12:03:34,Etenders UP NIC BOT
7,2025_NOIDA_1002225_1,New Okla Industrial Development Authority,NOIDA,"M/o Water Supply (Two Years Annual Cleaning and Repairing of OHT and UGR of Network-105, 108 and Judge Colony, Sector-105), Noida",2025-02-05 09:00,2025-02-18 17:00,78900,,3944645,10-02-2025 12:03:59,Etenders UP NIC BOT
8,2024_UPIDC_978422_4,U P Irrigation Department (Civil)||Additional Chief Executive Officer Ken Betwa Link Canal Construction Jhansi||Ken Betwa Link Canal Construction Circle Mahoba||Ken Betwa Link CC Division-1 Jhansi,Jhansi,"Preparation of Feasible Detailed Project Report (D.P.R.) for Command Area Development by developing pumping system, pipe distribution network and micro-irrigation system of Cluster 3 of Enroute Commands and Cluster 5 and 23 of Additional New Commands",2025-02-04 16:30,2025-02-12 15:00,13000,,632000,10-02-2025 12:04:17,Etenders UP NIC BOT
9,2025_UPPOW_1000940_1,UPTRON Powertronics Limited,Lucknow,"176 Number Nodes Networking and cabling For DR.RMLIMS, Gomti Nagar, Lucknow, UP",2025-01-31 18:45,2025-02-13 15:00,0.00,,3893016,10-02-2025 12:04:36,Etenders UP NIC BOT
10,2025_CEEMP_1000113_1,Chief Engineer Electrical Mechanical PWD Lucknow||44th Circle Electrical Mechanical PWD Varanasi||Electrical Mechanical Division PWD Prayagraj,Prayagraj,"Comprehensive Annual Maintenance and operation of network and EPABX installed at Maha Adhivakta building, Prayagraj. Basement to 5th Floor",2025-01-30 12:04,2025-02-26 12:00,207000,2025-02-10 15:00,2072000,10-02-2025 12:04:54,Etenders UP NIC BOT
11,2025_UPPOW_1000077_1,UPTRON Powertronics Limited,Lucknow,"19 Number Nodes Networking and cabling in Pathology Department at DR. RMLIMS, Gomti Nagar, Lucknow, UP",2025-01-30 12:00,2025-02-19 15:00,0.00,,636733,10-02-2025 12:05:12,Etenders UP NIC BOT
12,2024_UPPCL_984569_2,Uttar Pradesh Power Corporation Ltd.||SE Civil HQ Shakti Bhawan Extension||EE Civil HQ Attached to CE Civil 2||SE Civil HQ||EE Maintenance Unit,LUCKNOW,ELECTRICAL NETWORK AND TELEPHONE WIRING WORK IN ROOM NO 621 AT 6TH FLOOR SHAKTI BHAWAN HEAD QUATER LUCKNOW,2025-01-25 18:00,2025-02-21 14:00,1000,,NA,10-02-2025 12:05:36,Etenders UP NIC BOT
