,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_PWD_98191_9,PWD,Junga,Construction of double lane bridge on Shoghi Mehli Junga Sadhupul road at Rd. 14/700 (SH Preparation of Hydraulic data and geotechnical investigation,2025-01-18 09:00,2025-01-25 16:00,9700,,NA,18-01-2025 09:04:43,HPtenders GOV NICGEP BOT
1,2025_PWD_98191_13,PWD,Shimla,Construction of double lane bridge on Shoghi Mehli Junga Sadhupul road at Rd. 14/700 (SH Prepratiion of Detailed project report of Bridge thereof,2025-01-18 09:00,2025-01-25 16:00,9000,,NA,18-01-2025 09:05:10,HPtenders GOV NICGEP BOT
2,2025_HPIPH_98148_1,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Dharampur Bharari,Irrigation and Public Health,HP",Sidhpur,Water Quality Surveillance and monitoring WQSM for State Level Level Laboratory at Sidhpur in Tehsil Dharampur Distt. Mandi HP. Under Water Quality Providing service of staff through contractor in water testing laboratory at Sidhpur for 1 year,2025-01-16 17:00,2025-01-24 17:00,41090,,2054293,18-01-2025 09:05:41,HPtenders GOV NICGEP BOT
3,2025_UDDHP_98032_1,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Solan - UDDHP,MC Solan,"Providing and fixing of LED lights 18 watt, 35 watt, and 70 watt and other material under MC Solan ward no.1,2,8. SH P and F i.e. G.I. wire, service wire, clamp, bend with all leads and lifts.",2025-01-14 18:30,2025-01-29 17:00,24515,,980614,18-01-2025 09:07:42,HPtenders GOV NICGEP BOT
4,2025_UDDHP_98035_1,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Solan - UDDHP,MC Solan,"Providing and fixing of LED lights 18 watt, 35 watt, and 70 watt and other material under MC Solan ward no.4,10,14. SH P and F i.e. G.I. wire, service wire, clamp, bend with all leads and lifts.",2025-01-14 18:30,2025-01-29 17:00,21378,,855124,18-01-2025 09:07:59,HPtenders GOV NICGEP BOT
5,2025_HPIPH_98022_1,"HP Irrigation and Public Health||WS and S Shimla Circle,Irrigation and Public Health,HP||HC and M Div,Irrigation and Public Health,HP",Nalagarh Valley Solan HP,National Hydrology Project SH Drilling of 2 Two Borewell by Direct Rotary Method for shifting of borewells coming under the alignment of Four Lane road Project from Pinjore to Swarghat at Sandholi and Bagbania under Hydrology Sub Division Nahan,2025-01-14 17:00,2025-02-13 15:00,30000,,1469821,18-01-2025 09:08:29,HPtenders GOV NICGEP BOT
6,2025_HPIPH_98022_1,"HP Irrigation and Public Health||WS and S Shimla Circle,Irrigation and Public Health,HP||HC and M Div,Irrigation and Public Health,HP",Nalagarh Valley Solan HP,National Hydrology Project SH Drilling of 2 Two Borewell by Direct Rotary Method for shifting of borewells coming under the alignment of Four Lane road Project from Pinjore to Swarghat at Sandholi and Bagbania under Hydrology Sub Division Nahan,2025-01-14 17:00,2025-02-13 15:00,30000,,1469821,18-01-2025 09:08:47,HPtenders GOV NICGEP BOT
7,2025_PWD_97963_1,PWD,Kasauli,CO link road Shilora Khurad to Shillu Kalan to Mohal Naryal in Km. 0/00 to 7/800 (SH CO R/Wall at Rds 5/345 to 5/372 and B/Wall at Rds 5/395 to 5/417 for improvement of passing palces etc) Deposit Work,,2025-01-18 16:00,500,,1922699,18-01-2025 09:09:31,HPtenders GOV NICGEP BOT
8,2025_PWD_97900_1,PWD,Nalagarh,Jokhari kalan to Swarghat road in km 0/0 to 2/00 (SH C/O 1 Nos. 900mm dia NP-2 HPC at RD 0/405) under MNP,2025-01-11 12:00,2025-01-18 10:00,6200,,305344,18-01-2025 09:10:50,HPtenders GOV NICGEP BOT
9,2025_HPIPH_97757_1,"HP Irrigation and Public Health||Bilaspur Circle,Irrigation and Public Health,HP",Sub Division Bilaspur and Swarghat,Water quality monitoring and surveillance Monitoring and surveillance programme in Tehsil Sadar District Bilaspur (SH Providing manpower for chemical and bacteriological testing in water testing Laboratories of JSV Division Bilaspur Lab Bilaspur and,2025-01-09 11:00,2025-01-20 11:00,14850,,742500,18-01-2025 09:11:56,HPtenders GOV NICGEP BOT
