,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_HRY_428225_1,Haryana Government||Engineer- in- Chief PHED Panchkula||Rewari Circle||Rewari PHED No. 1,Rewari,DPLAN DNIT for replacement of sewerline and construction of sewer manhole chambers in Banjarwara Mohalla,2025-02-07 17:00,2025-02-15 17:00,6780,,339028,09-02-2025 09:57:16,HRYtenders GOV NICGEP BOT
1,2025_HRY_428225_1,Haryana Government||Engineer- in- Chief PHED Panchkula||Rewari Circle||Rewari PHED No. 1,Rewari,DPLAN DNIT for replacement of sewerline and construction of sewer manhole chambers in Banjarwara Mohalla,2025-02-07 17:00,2025-02-15 17:00,6780,,339028,09-02-2025 09:58:29,HRYtenders GOV NICGEP BOT
2,2025_HRY_428220_1,Haryana Government||Engineer- in- Chief PHED Panchkula||Rewari Circle||Rewari PHED No. 1,Rewari,DPLAN DNIT for replacement of sewerline and construction of manhole chambers,2025-02-07 17:00,2025-02-15 17:00,7753,,387665,09-02-2025 09:58:46,HRYtenders GOV NICGEP BOT
3,2025_HRY_428091_1,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Panchkula||SDO Panchayati Raj Pinjore,Kalka Pinjore,MAJRA MEHTAB WARD NO 28 CONST OF SC DHARAMSHALA NEAR H/O DR.GURDYAL ANDSOHAN LAL UNDER D PLAN KALKA PINJORE PKL,2025-02-06 12:00,2025-02-13 10:00,18812,,940616,09-02-2025 09:59:49,HRYtenders GOV NICGEP BOT
4,2025_HRY_427990_1,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Jind,PAJU KALAN,CONST OF SUB-HEALTH CENTRE AT VILLAGE PAJU-KALAN SCHEME FFC 2024-25,2025-02-06 11:00,2025-02-11 15:00,125000,,4663703,09-02-2025 10:00:07,HRYtenders GOV NICGEP BOT
5,2025_HRY_428057_1,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Palwal||SDO Panchayati Raj Hodal,ATOHAN,CONSTRUCTION OF BAGHEL CHOPAL AT VILLAGE ATOHAN BLOCK HODAL DISTT PALWAL (DPLAN ),2025-02-05 17:15,2025-02-11 11:00,14300,,718000,09-02-2025 10:00:25,HRYtenders GOV NICGEP BOT
6,2025_HRY_428038_1,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Palwal||SDO Panchayati Raj Hathin,KANOLI,CONST. OF GENERAL CHOUPAL AT VILLAGE KANOLI BLOCK HATHIN DISTT. PALWAL (D PLAN ),2025-02-05 17:00,2025-02-10 17:00,15120,,756000,09-02-2025 10:00:42,HRYtenders GOV NICGEP BOT
7,2025_HRY_428014_1,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Palwal||SDO Panchayati Raj Hathin,MANDKOLA,CONST OF BC CHOUPAL NEAR DUGGLE HOUSE AT VILLAGE MANDKOLA BLOCK HATHIN DISTT. PALWAL (D PLAN ),2025-02-05 17:00,2025-02-10 17:00,15120,,756000,09-02-2025 10:01:08,HRYtenders GOV NICGEP BOT
8,2025_HRY_428038_1,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Palwal||SDO Panchayati Raj Hathin,KANOLI,CONST. OF GENERAL CHOUPAL AT VILLAGE KANOLI BLOCK HATHIN DISTT. PALWAL (D PLAN ),2025-02-05 17:00,2025-02-10 17:00,15120,,756000,09-02-2025 10:01:28,HRYtenders GOV NICGEP BOT
9,2025_HRY_428014_1,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Palwal||SDO Panchayati Raj Hathin,MANDKOLA,CONST OF BC CHOUPAL NEAR DUGGLE HOUSE AT VILLAGE MANDKOLA BLOCK HATHIN DISTT. PALWAL (D PLAN ),2025-02-05 17:00,2025-02-10 17:00,15120,,756000,09-02-2025 10:01:45,HRYtenders GOV NICGEP BOT
10,2025_HRY_427968_1,Haryana Government||Engineer-in-Chief PW(B and R) Department||SE (Elect.) Karnal||EE Elect. Hisar,ARYA NAGAR,4 Lanning of Hisar Balasmand Road (MDR-107) from Hisar Bye Pass to Village Hindwan Mor RD 3.700 to 11.000 in Hisar Distt. (road ID-4873) (Nalwa Constituency) (Pdg. Foundation for 9 Meter Pole and HDPE pipes etc. only).,2025-02-05 13:00,2025-02-18 17:00,71062,,3553134,09-02-2025 10:02:09,HRYtenders GOV NICGEP BOT
11,2025_HRY_427880_1,Haryana Government||Engineer-in-Chief PW(B and R) Department||SE Hort. Chd.||EE Hort. Gurugram,Bawal,DEVELOPMENT OF LANDSCAPING WORK OF GOVT. COLLEGE AT BAWAL IN REWARI DISTRICT1 Provision for clearance of unwanted weeds excavating the earth and plantation of selection no. I grass. 2 Provision for plantation of ornamental tr,2025-02-04 17:00,2025-02-13 17:00,20000,,993786,09-02-2025 10:02:53,HRYtenders GOV NICGEP BOT
12,2025_HRY_427700_1,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Rewari||SDO Panchayati Raj Dahina,BUROLI,"CONSTRUCTION OF HALL NEAR MANDIR IN PANCHAYATI LAND AT VILLAGE BUROLI , BLOCK DAHINA , DISTT. REWARI (SCHEME D.PLAN )",2025-02-04 15:00,2025-02-11 11:00,8400,,420145,09-02-2025 10:03:30,HRYtenders GOV NICGEP BOT
13,2025_HRY_427789_1,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Palwal||SDO Panchayati Raj Hodal,SOUNDHAD,CONST OF HALL RAVIDAS BHAWAN AT VILLLAGE SONDHAD BLOCK HODAL DISTT PALWAL ( D-PLAN ),2025-02-04 14:30,2025-02-10 11:00,17120,,670000,09-02-2025 10:03:54,HRYtenders GOV NICGEP BOT
14,2025_HRY_427658_1,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Charkhi Dadri,SHYAM KALAN,Construction of a Hall in SC choupal at Village Shyam Kalan Block Badhra (VANGY) District Ch. Dadri,2025-02-04 11:00,2025-02-11 15:00,48850,,976040,09-02-2025 10:04:25,HRYtenders GOV NICGEP BOT
15,2025_HRY_427634_1,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Fatehabad,KHARA KHERI,KHARA KHERI - CONSTRUCTION OF ROOM IN JAVAHAR NAVODAYA VIDHYALYA AT VILLAGE- KHARA KHERI BLOCK- FATEHABAD DIST.- FATEHABAD ( D-PLAN ),2025-02-03 17:15,2025-02-10 12:00,32550,,651099,09-02-2025 10:05:17,HRYtenders GOV NICGEP BOT
16,2025_HRY_426926_1,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Rewari||SDO Panchayati Raj Jatusana,PALHAWAS,Palhawas - Const of Park and B/Wall on panchayat Land at Village - Palhawas Block Jatusana Distt Rewari(VAGY),2025-02-03 15:00,2025-02-10 15:00,16760,,838454,09-02-2025 10:06:08,HRYtenders GOV NICGEP BOT
17,2025_HRY_426926_1,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Rewari||SDO Panchayati Raj Jatusana,PALHAWAS,Palhawas - Const of Park and B/Wall on panchayat Land at Village - Palhawas Block Jatusana Distt Rewari(VAGY),2025-02-03 15:00,2025-02-10 15:00,16760,,838454,09-02-2025 10:06:25,HRYtenders GOV NICGEP BOT
18,2025_HRY_426521_2,Haryana Government||Urban Local Bodies||MC Bhuna,MC Office buna,"Ramedation Raclamation of Existing Dumpsite at Kullan road,Buna",2025-02-02 09:00,2025-02-10 09:00,280000,,NA,09-02-2025 10:06:55,HRYtenders GOV NICGEP BOT
19,2025_HRY_427400_1,Haryana Government||Urban Local Bodies||MC Amballa,Ambala City,"Construction of Animal decomposer shed and boundry wall in panchayat land at village liharsa, municipal Corporation, Ambala City, Ward No. 11",2025-02-01 18:55,2025-02-10 12:00,84880,,4243770,09-02-2025 10:07:13,HRYtenders GOV NICGEP BOT
20,2025_HRY_426423_1,Haryana Government||Panchayati Raj Haryana||XEN Panchayati Raj Rewari||SDO Panchayati Raj Bawal,DHULHERA KALAN,Dulhera Kalan Const. of Rasta from School towards BPL Colony and Laying of waste water pipeline in BPL Colony Block Bawal Rewari (PMAGY),2025-01-29 15:00,2025-02-11 09:00,26900,,1344678,09-02-2025 10:08:51,HRYtenders GOV NICGEP BOT
21,2025_HRY_426629_1,Haryana Government||Urban Local Bodies||MC Ambala Sadar,Ambala Sadar,Beautification of land under flyover NH-44 for parking and vending uses MC Ambala sadar,2025-01-29 13:00,2025-02-18 17:00,137920,,6896052,09-02-2025 10:09:08,HRYtenders GOV NICGEP BOT
22,2025_HBC_426155_1,Haryana Board Corporation||HARTRON,Panchkula,Purchase of 01 no Counter Surveillance Kit debugging equpments on behalf of CID Haryana,2025-01-27 10:30,2025-02-13 15:00,200000,,NA,09-02-2025 10:09:58,HRYtenders GOV NICGEP BOT
23,2025_HBC_425836_1,Haryana Board Corporation||Haryana State Agricultural State Marketing Board||Panchkula Elect Circle||Rohtak Elect,BHATTU KALAN,Pdg. AMC and Repair of Mandi Lights at Bhattu Kalan for the year 2025-26,2025-01-24 17:00,2025-02-11 11:00,5600,,281028,09-02-2025 10:10:22,HRYtenders GOV NICGEP BOT
24,2025_HRY_424006_1,Haryana Government||PklMDA||CONSTRUCTION DIVISION-I,Panchkula,Engagement of Consultant for Detailed Study of existing Storm Water Drainage System and Preparation of concept Drainage Plan for Panchkula city with Short term and Long term measures.,2025-01-15 18:00,2025-02-20 15:00,200000,2025-01-23 11:30,NA,09-02-2025 10:11:28,HRYtenders GOV NICGEP BOT
