,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_UAD_404913_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Indore - UAD||Jankarya Vibhaag - I - MC Indore - UAD,INDORE,Cement Concrete Work at Sakina Manzil Main Road Seventh Lane to Drain in Ward No. 02 under Zone No. 15,2025-02-28 18:00,2025-03-24 18:00,15900,,2116001,28-02-2025 19:39:49,Mptenders GOV BOT
1,2025_UAD_404911_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Indore - UAD||Jankarya Vibhaag - I - MC Indore - UAD,INDORE,Cement Concrete Work on Main Road and nearby Lanes at Naya Basera in Ward No. 44 under Zone No. 09,2025-02-28 18:00,2025-03-24 18:00,28600,,3807330,28-02-2025 19:40:40,Mptenders GOV BOT
2,2025_UAD_404918_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Indore - UAD||Jankarya Vibhaag - I - MC Indore - UAD,INDORE,Cement Concrete Work at Jagjivan Ram Nagar behind Housing Building and nearby Triveni Garden House No. 275 Saroj Sharma House and Lanes nearby Gokul Garden in Ward No. 44 under Zone No. 09,2025-02-28 18:00,2025-03-24 18:00,31600,,4209808,28-02-2025 19:40:59,Mptenders GOV BOT
3,2025_UAD_404919_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Indore - UAD||Jankarya Vibhaag - I - MC Indore - UAD,INDORE,"Cement Concrete Work after Widening of Damaged Roads on Lane No. 1, 2, 3 and near Places at Archana Nagar in Ward No. 13 under Zone No. 04",2025-02-28 18:00,2025-03-24 18:00,26500,,3525382,28-02-2025 19:41:23,Mptenders GOV BOT
4,2025_UAD_405528_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Indore - UAD||Jal Yantralaya - MC Indore - UAD,INDORE,Laying a new drainage line on the main road of the colony in place of the demolished drainage line in Beck Lane in Jai Ambe Bagh Colony under Zone no. 22 Ward No. 31.,2025-02-27 18:55,2025-03-26 18:55,18100,,2409306,28-02-2025 19:44:59,Mptenders GOV BOT
5,2025_UAD_405110_1,Directorate Urban Administration and Development||Join Director-Sagar Division - UAD||Sagar-Nagar Palika Makronia Bujurg - UAD,MAKRONIA,Construction of cc road from madan ben to ram milan dubey in ward 15,2025-02-27 10:30,2025-04-02 17:30,8700,,1145550,28-02-2025 19:46:21,Mptenders GOV BOT
6,2025_RES_402691_1,Rural Engineering Service||Chief Engineer-Zone Indore - RES||SE-Circle Ujjain - RES||EE-Division Agar Malwa - RES,Gram Rani Baodd,Shree Elahi Mandir Gram Rani Badod Tehsil Polaykalan District Shajapur,2025-02-27 10:00,2025-03-07 18:00,35600,,1780000,28-02-2025 19:46:46,Mptenders GOV BOT
7,2025_UAD_404869_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation - Rewa - UAD,"OFFICE OF THE MUNICIPAL CORPORATION, REWA (M.P.)","ZONE NO. 04, WARD NO. 43, CONSTRUCTION OF RCC ROAD AND DRAIN FROM PATEL KIRANA SHOP TO RAMMILAN SHUKLA JI HOUSE AT KRISHNA NAGAR UNDER KAYAKALP-2.0.",2025-02-27 09:00,2025-03-26 18:00,50693,,6759000,28-02-2025 19:47:05,Mptenders GOV BOT
8,2025_UAD_404883_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation - Dewas - UAD,Dewas,Cement Concrete Road in different lanes of Nagda Ward no 45 Dewas (M.P.),2025-02-25 18:00,2025-03-13 18:30,8250,,NA,28-02-2025 19:47:23,Mptenders GOV BOT
9,2025_UAD_404276_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Indore - UAD||Jankarya Vibhaag - I - MC Indore - UAD,INDORE,Construction of Bharat Mata Chok on Vacant Land near Maharashtra Charmakar Samaj Bhawan at Harsidhhi in Ward No. 59 under Zone No. 12 Second Call,2025-02-25 14:00,2025-03-07 18:00,2500,,245260,28-02-2025 19:47:42,Mptenders GOV BOT
10,2025_UAD_404280_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Indore - UAD||Jankarya Vibhaag - I - MC Indore - UAD,INDORE,Laying of Storm Water Line for Disposal of Water at Jila Panchayat Bhawan and Middle of Collector Office and Moti Tabela Lane No. 01 in Ward No. 59 under Zone No. 12 Second Call,2025-02-25 14:00,2025-03-07 18:00,6600,,653273,28-02-2025 19:48:00,Mptenders GOV BOT
11,2025_UAD_404276_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Indore - UAD||Jankarya Vibhaag - I - MC Indore - UAD,INDORE,Construction of Bharat Mata Chok on Vacant Land near Maharashtra Charmakar Samaj Bhawan at Harsidhhi in Ward No. 59 under Zone No. 12 Second Call,2025-02-25 14:00,2025-03-07 18:00,2500,,245260,28-02-2025 19:48:19,Mptenders GOV BOT
12,2025_UAD_404276_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Indore - UAD||Jankarya Vibhaag - I - MC Indore - UAD,INDORE,Construction of Bharat Mata Chok on Vacant Land near Maharashtra Charmakar Samaj Bhawan at Harsidhhi in Ward No. 59 under Zone No. 12 Second Call,2025-02-25 14:00,2025-03-07 18:00,2500,,245260,28-02-2025 19:48:37,Mptenders GOV BOT
13,2025_UAD_404861_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Bhopal - UAD||Civil - MC Bhopal- UAD,CONTRUCTION OF BOUNDARY WALL AND RETAINING WALL AT,CONTRUCTION OF BOUNDARY WALL AND RETAINING WALL AT LANDMARK CITY NEAR DANISH NAGAR CULVERT W-54 Z-13,2025-02-25 10:30,2025-03-11 17:30,7784,,778405,28-02-2025 19:49:27,Mptenders GOV BOT
14,2025_UAD_404319_1,Directorate Urban Administration and Development||Join Director-Indore Division - UAD||Khargone-Nagar Palika Khargone - UAD,khargone,Construction of Drain at ward 7 Bajrang Nagar in Madhumilan Gordan to Anila house.,2025-02-22 11:00,2025-03-10 17:30,6250,,625066,28-02-2025 19:50:53,Mptenders GOV BOT
15,2025_MPHID_402125_1,MP Housing and Infrastructure Development Board||MPHIDB-Circle - Indore||MPHIDB-EE Div 01 Indore,Service,"Selection of Architect for Master Planning, Designing and DPR preparation for Residential Towers on Hukumchand Mill Land, Indore, Madhya Pradesh",2025-02-21 17:55,2025-03-13 17:30,510000,,NA,28-02-2025 19:52:13,Mptenders GOV BOT
16,2025_DTCP_403005_1,Directorate of Town And Country Planning||Bhopal Development Authority - Bhopal,Aerocity Ph-1,"Plantation Work at Central Verge and Side Verge of Master plan Roads i/c Additional Work at Aerocity Phase 1 Scheme, Bhopal",2025-02-21 17:30,2025-03-04 17:30,61100,,3055000,28-02-2025 19:52:40,Mptenders GOV BOT
17,2025_UAD_404138_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Indore - UAD||Traffic Department - MC Indore - UAD,INDORE,"Operations, Management and Maintenance of Multistoried Parking Facility Fortune Landmark, Scheme No 54, Vijay Nagar, Indore for a period of 5 years 2ND CALL",2025-02-21 16:00,2025-03-10 17:00,100000,2025-03-03 15:10,3000000,28-02-2025 19:52:59,Mptenders GOV BOT
18,2025_MPRDC_404287_2,Madhya Pradesh Road Development Corporation Limited,Indore,Rehabilitation and Upgradation of Ingoria - Unhel Road in two lane with Paved shoulder in the state of Madhya Pradesh.,2025-02-21 15:30,2025-03-24 15:30,5000000,2025-02-28 15:30,1124000000,28-02-2025 19:53:18,Mptenders GOV BOT
19,2025_MPRDC_404287_2,Madhya Pradesh Road Development Corporation Limited,Indore,Rehabilitation and Upgradation of Ingoria - Unhel Road in two lane with Paved shoulder in the state of Madhya Pradesh.,2025-02-21 15:30,2025-03-24 15:30,5000000,2025-02-28 15:30,1124000000,28-02-2025 19:54:05,Mptenders GOV BOT
20,2025_UAD_403650_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Indore - UAD||Jankarya Vibhaag - I - MC Indore - UAD,INDORE,Cement Concrete Work on Damaged Lanes at Ganesh Nagar in Ward No. 23 under Zone No. 05 Third Call,2025-02-21 15:00,2025-03-05 18:00,36000,,4793862,28-02-2025 19:54:47,Mptenders GOV BOT
21,2025_UAD_403650_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Indore - UAD||Jankarya Vibhaag - I - MC Indore - UAD,INDORE,Cement Concrete Work on Damaged Lanes at Ganesh Nagar in Ward No. 23 under Zone No. 05 Third Call,2025-02-21 15:00,2025-03-05 18:00,36000,,4793862,28-02-2025 19:55:05,Mptenders GOV BOT
22,2025_MPPGC_395722_1,Madhya Pradesh Power Generating Company Limited||Executive Director(Gen.)-Shri Singaji Thermal Power Station-Khandwa - MPPGCL,SE PURCHASE AND WORK SSTPP DONGALIA,"2x660 MW, SSTPP Phase-II Khandwa- Annual General repair and maintenance work of BTG/other auxiliary buildings and BOP buildings viz. Plant water system , FOPH, switch yard, CW System, CHP, AHP and others under Stage-II at SSTPP, MPPGCL, Dongalia",2025-02-20 18:55,2025-03-12 15:30,87500,,4372943,28-02-2025 19:55:50,Mptenders GOV BOT
23,2025_UAD_404251_1,Directorate Urban Administration and Development||Join Director-Ujjain Division - UAD||Mandsaur-Nagar Palika Mandsaur - UAD,nagar palika mandsaur,mushyara kavi sammelan nahar shyyed mela,2025-02-20 18:00,2025-03-03 17:30,10000,,0.00,28-02-2025 19:56:09,Mptenders GOV BOT
24,2025_UAD_403941_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation - Dewas - UAD,Dewas,"Construction of cc Road in narrow lanes behind janta bank, lanes in bherugad and other places in Ward 37",2025-02-20 18:00,2025-03-06 18:30,6000,,NA,28-02-2025 19:56:28,Mptenders GOV BOT
