,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_MPPGC_392254_1,Madhya Pradesh Power Generating Company Limited||Chief Engineer(Gen.)-Sanjay Gandhi Thermal Power Station-Birsinghpur - MPPGCL,SGTPS MPPGCL Birsinghpur,Tender for Annual maintenance of external and internal G.I. pipe line network in colony area office public building etc. at SGTPS MPPGCL Birsinghpur Distt Umariya (MP),2025-02-08 18:00,2025-02-24 15:30,15200,,759000,09-02-2025 15:48:15,Mptenders GOV BOT
1,2025_HED_401047_1,Department of Higher Education||Vidisha - Government Model College Vidisha -M P,Vidisha,Networking and electrification of Smart Class Equipment,2025-02-08 10:00,2025-03-01 17:30,75000,,NA,09-02-2025 15:48:58,Mptenders GOV BOT
2,2025_UAD_399892_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Gwalior - UAD||Water Supply (PHE) Deptt. - MC Gwalior - UAD,PHE DEPARTMENT,"Survey and Design of Distribution network for Providing, Laying, Testing and Commissioning of connect 750 mm water pipeline to 600 mm dia water pipelines to be laid under this contract in different DMAs (District Metering Areas) at Bahodapur AND Ana",2025-01-31 17:30,2025-03-03 17:30,9470,,1262642,09-02-2025 15:49:15,Mptenders GOV BOT
3,2025_UAD_399964_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Gwalior - UAD||Water Supply (PHE) Deptt. - MC Gwalior - UAD,PHE DEPARTMENT,Providing and Replacing Water Pipe Line Network and Providing New House Hold Connection With Labor and Material Site Ward No. 64 Tehlari and Purani Chhawni File No. 127/24X9/1,2025-01-31 17:30,2025-03-03 17:30,9361,,1248122,09-02-2025 15:49:32,Mptenders GOV BOT
4,2025_UAD_399997_1,Directorate Urban Administration and Development||Join Director-Jabalpur Division - UAD||Balaghat-Nagar Palika Balaghat - UAD,NAGAR PALIKA PARISHAD BALAGHAT,Work of Networking maintenance In Nagar palika parishad Balaghat,2025-01-31 17:00,2025-02-17 17:30,5000,,500000,09-02-2025 15:49:50,Mptenders GOV BOT
5,2025_UAD_399642_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Gwalior - UAD||Water Supply (PHE) Deptt. - MC Gwalior - UAD,PHE DEPARTMENT,"Survey and Design of Distribution network for Providing, Laying, Testing and Commissioning of 750 mm dia D.I. pipelines to be laid under this contract in different DMAs (District Metering Areas) at Rakkas Tank to Vranchuri Meter meter",2025-01-30 17:30,2025-03-03 17:30,104021,,20804101,09-02-2025 15:50:07,Mptenders GOV BOT
6,2025_UAD_399701_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Gwalior - UAD||Water Supply (PHE) Deptt. - MC Gwalior - UAD,PHE DEPARTMENT,"Survey and Design of laying of sewar network including Providing, Laying, Testing and Commissioning of sewar lines in uncovered and different Area of Ward No. 56.",2025-01-30 17:30,2025-03-03 17:30,47557,,6340907,09-02-2025 15:50:25,Mptenders GOV BOT
7,2025_UAD_399679_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Gwalior - UAD||Water Supply (PHE) Deptt. - MC Gwalior - UAD,PHE DEPARTMENT,"Survey and Design of Distribution network for water supply including Providing, Laying, Testing and Commissioning of pipelines to be laid From Gole ka Mandir to Airforce Sub Station in different Area of East Vidhansabha.",2025-01-30 17:30,2025-03-03 17:30,22452,,2993630,09-02-2025 15:50:42,Mptenders GOV BOT
8,2025_UAD_399688_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Gwalior - UAD||Water Supply (PHE) Deptt. - MC Gwalior - UAD,PHE DEPARTMENT,"Survey and Design of Distribution network for Providing, Laying, Testing and Commissioning of 110 mm dia AND 160 mm Dia HDPE pipelines to be laid under this contract in different DMAs (District Metering Areas) at Ward no. 56",2025-01-30 17:30,2025-03-03 17:30,45882,,9176302,09-02-2025 15:50:59,Mptenders GOV BOT
9,2025_WRD_394077_1,Engineer-in-Chief - Water Resources Department||Chief engineer Procurement(Bhopal) - WRD,Guna,Construction of Panheti dam and Pressurized Pipe Irrigation Network,2025-01-29 18:15,2025-02-17 17:30,3010000,2025-02-05 15:00,601898000,09-02-2025 15:51:17,Mptenders GOV BOT
10,2025_UAD_399046_1,Directorate Urban Administration and Development||Muncipal Corporations - UAD||Muncipal Corporation-Gwalior - UAD||Water Supply (PHE) Deptt. - MC Gwalior - UAD,PHE Department,"Survey and Design of laying of sewar network including Providing, Laying, Testing and Commissioning of sewar lines in uncovered and different Area of Ward No. 33 in Gwalior Vidhansabha.",2025-01-28 18:00,2025-02-28 17:30,52184,,10436756,09-02-2025 15:51:36,Mptenders GOV BOT
