,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_DLG_134191_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Jalandhar-II,Phillaur,"Providing Tap Connections to consumers, Extension and Augmentation of Water Supply System at Phillaur District Jalandhar for Distribution Network under AMRUT 2.0 Scheme Part 1",2025-02-08 10:00,2025-03-03 15:00,579000,,28928000,10-02-2025 02:47:26,PBTenders GOV NICGEP BOT
1,2025_CEPW_134367_1,CE-PWD(B and R)||Construction Circle No.1-Jalandhar||Construction Division No.2-Jalandhar,Jalandhar,SPECIAL REPAIR OF PLAN ROAD FROM ADAMPUR TO BHOGPUR ROAD (RESTORATION OF ROAD CUT) IN DISTRICT JALANDHAR,2025-02-08 09:00,2025-02-24 11:00,80380,,4019017,10-02-2025 02:48:32,PBTenders GOV NICGEP BOT
2,2025_CEPW_134367_1,CE-PWD(B and R)||Construction Circle No.1-Jalandhar||Construction Division No.2-Jalandhar,Jalandhar,SPECIAL REPAIR OF PLAN ROAD FROM ADAMPUR TO BHOGPUR ROAD (RESTORATION OF ROAD CUT) IN DISTRICT JALANDHAR,2025-02-08 09:00,2025-02-24 11:00,80380,,4019017,10-02-2025 02:49:00,PBTenders GOV NICGEP BOT
3,2025_DLG_134225_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Moga,"EE, PWSSD, MOGA","Providing Tap Connections to consumers, Extension and Augmentation of Water Supply System at Mullanpur Dhaka District Ludhiana for Distribution Network under AMRUT 2.0 Scheme (Part-1)",2025-02-07 13:00,2025-02-24 17:00,940000,2025-02-13 11:00,47007142,10-02-2025 02:49:45,PBTenders GOV NICGEP BOT
4,2025_DHFW_134212_1,Department of Health and Family Welfare||Punjab Health System Corporation||Medical Wing,SAS Nagar Mohali,Glucometer Gluco Strips and Lancetts,2025-02-07 09:00,2025-02-28 15:00,50000,2025-02-12 11:30,1,10-02-2025 02:50:26,PBTenders GOV NICGEP BOT
5,2025_POWER_134091_1,Department of Power||Punjab State Power Corporation Limited||Transmission Systems (TS)||Civil Works Division - Jalandhar,Jalandhar,"Construction of Additional foundations for 1no. 66KV Line bay and allied civil works like trenches, gravel spreading at 66KV s/s Patara and 66KV s/s Daroli Kalan (under op. circle Jalandhar) under RDSS",2025-02-05 15:00,2025-03-05 11:00,9000,,NA,10-02-2025 02:51:30,PBTenders GOV NICGEP BOT
6,2025_DLG_134045_1,Department of Local Government||Director - Local Government||Municipal Corporation - Moga,Moga,Refixing of Grills on MC Land,2025-02-05 09:00,2025-02-19 17:00,11000,,NA,10-02-2025 02:52:08,PBTenders GOV NICGEP BOT
7,2025_CEPW_133989_3,CE-PWD(B and R)||Construction Circle-Amritsar||Provincial Division-Amritsar,Gehri Nariangarh Road,Upgradation andStrengthening of Gehri Nariangarh Road to Jodhanagari via Rana Kalan including 5 Years Maintenance in District Amritsar,2025-02-04 16:00,2025-02-24 17:00,1328756,,66437829,10-02-2025 02:52:59,PBTenders GOV NICGEP BOT
8,2025_DHUD_134027_3,Department of Housing and Urban Development||GMADA||Division - H,PR-9 ROAD FROM AIRPORT ROAD TO LANDRAN BANUR ROAD,MAINTENANCE OF TREES AND SHRUBS ON ROAD SIDES AND CENTRAL VERGE OF PR-9 ROAD FROM AIRPORT ROAD TO LANDRAN BANUR ROAD AT SAHIBZADA AJIT SINGH NAGAR.,2025-02-04 14:20,2025-02-20 12:00,125000,,6218928,10-02-2025 02:53:27,PBTenders GOV NICGEP BOT
9,2025_WR_134019_1,Department of Water Resources||Department of Water Resources||Canal - UBDC Div - Gurdaspur,GURDASPUR,Estimate for fencing of departmental land at Japuwal village Dhariwal,2025-02-04 14:00,2025-02-14 12:00,11353,,567655,10-02-2025 02:53:46,PBTenders GOV NICGEP BOT
10,2025_CEPW_133924_1,CE-PWD(B and R)||Central Works Circle-Chandigarh||Central Works Division-Patiala,Patiala,Patiala Rajpura Road City Section Northern Bypass chowk to BML Canal Patiala via Mall road (4 Lane carriageway) RD 50.700 to RD 62.750 (Length 12.050 KM) under Special Assistance to State Capital Investment 2024-25.,,2025-03-06 12:00,50000,2025-02-21 12:00,188028301,10-02-2025 02:54:03,PBTenders GOV NICGEP BOT
11,2025_DOA_133903_1,Department of Agriculture||Punjab Mandi Board||XEN - Civil - Jalandhar,Jalandhar,Repair of DB Flooring APF at Purchase Centre Parjia Kalan MC Shahkot Distt Jalandhar,2025-02-01 09:00,2025-02-17 10:00,132560,,6628000,10-02-2025 02:55:28,PBTenders GOV NICGEP BOT
12,2025_DOA_133893_1,Department of Agriculture||Punjab Mandi Board||XEN - Elect - Jalandhar,Jalandhar,"SITC of 2000 KVA Transformer, Main VCB and Replacement of Old Existing Earthing, New Main MV Panel in Punjab AGRO Processing Unit in Jahan Khelan Hoshiarpur Distt Hoshiarpur.",2025-02-01 09:00,2025-02-24 10:00,595620,,29781000,10-02-2025 02:55:48,PBTenders GOV NICGEP BOT
13,2025_DOA_133893_1,Department of Agriculture||Punjab Mandi Board||XEN - Elect - Jalandhar,Jalandhar,"SITC of 2000 KVA Transformer, Main VCB and Replacement of Old Existing Earthing, New Main MV Panel in Punjab AGRO Processing Unit in Jahan Khelan Hoshiarpur Distt Hoshiarpur.",2025-02-01 09:00,2025-02-24 10:00,595620,,29781000,10-02-2025 02:56:06,PBTenders GOV NICGEP BOT
14,2025_DOA_133887_1,Department of Agriculture||Punjab Mandi Board||XEN - Elect - Jalandhar,Jalandhar,Providing Solar LED Street Lighting System In Industrial Area Bal Kalan/ Nag Kalan Majitha Road Amritsar Distt Amritsar,2025-01-31 17:15,2025-02-17 10:00,175080,,8754000,10-02-2025 02:56:31,PBTenders GOV NICGEP BOT
15,2025_WR_133818_1,Department of Water Resources||Department of Water Resources||Canal - Ludhiana Canal and GW Div - LDH,2R DISTY,Div. of 1.05 Hec. of land for Project Estimate for modernization/ concrete lining of 2-R Distributary at RD 88000/R of Sidhwan Branch from RD 1050 to 46266,2025-01-31 09:00,2025-02-17 10:00,25000,2025-02-10 10:00,1199700,10-02-2025 02:57:52,PBTenders GOV NICGEP BOT
16,2025_WR_133785_6,Department of Water Resources||Punjab Water Resources Management and Development Corporation||DE - Lining Division No. - 2 - Mansa,Dhanuala Kalan,Estimate for Lining/Relining of W/C at O/L RD 61450/61540-L of Uppli Disty of Village Dhanaula Kalan District Barnala,2025-01-30 14:30,2025-02-10 09:00,32000,2025-02-03 11:00,1600000,10-02-2025 02:58:25,PBTenders GOV NICGEP BOT
17,2025_WR_133674_1,Department of Water Resources||Department of Water Resources||Canal - Ludhiana Canal and GW Div - LDH,Swaddi Kalan,"Estimate for Connecting Existing village pond at Swaddi Kalan with Swaddi Minor RD 6633 under Ludhiana Canal and G.W Division, Ludhiana",2025-01-28 18:00,2025-02-10 12:00,4030,,201483,10-02-2025 02:59:31,PBTenders GOV NICGEP BOT
18,2025_DOA_133646_1,Department of Agriculture||Punjab Mandi Board||XEN - Civil - Barnala,MEHAL KALAN,S R VALR IN MC BHADAUR AND MEHAL KALAN COM OF EARTH 20MM OPEN PC SEAL COAT CULVERTS SIDE DRAIN ROAD STRU MODERNIZATION OF RURAL LINK ROADS IN PUNJAB UNDER PROJECT SPECIAL ASSISTANCE TO STATES FOR CAPITAL INVESTMENT 2024-25 Project 3 T 03 M BNL25003,2025-01-28 15:00,2025-02-19 15:00,1041000,2025-02-14 12:00,52042000,10-02-2025 03:00:08,PBTenders GOV NICGEP BOT
19,2025_DOA_133633_1,Department of Agriculture||Punjab Mandi Board||XEN - Civil - Amritsar,Amritsar,"Repair of Internal Roads of Industrial Area of Bal Kalan and Nag Kalan Majitha Road (From E/W upto Premix Carpet including Const. of culverts, Drains, Ret. Walls and Road Furniture and safety measures) Assembly Attari, MC and Distt. Amritsar.",2025-01-28 12:00,2025-02-18 16:00,1143000,,57143000,10-02-2025 03:00:26,PBTenders GOV NICGEP BOT
20,2025_DLG_133616_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Jalandhar-I,Jalandhar,"Part-B - Survey, Soil Testing, Design, Supply and const., inst. Comm. of 0.50MLD cap. at Dera Sachkhand Ballan Distt. Jalandhar based on Suitable, Sustainable Proven Biological Tech. including other appurtenant works on turnkey basis as per DNIT.",2025-01-27 16:40,2025-02-13 16:00,481760,2025-02-03 11:00,NA,10-02-2025 03:00:58,PBTenders GOV NICGEP BOT
21,2025_DOA_133566_1,Department of Agriculture||Punjab Mandi Board||XEN - Civil - Pathankot,Pathakot,"Uppgradation of Link Road PATHANKOT - MADHOPUR ROAD TO VILL GANDLAN -LAHRI under NABARD RIDF-XXX2024-2025 From earth work upto road Structure including premix carpet, Culverts, Drains and retainingwall etc Distt. Pathankot",2025-01-27 09:00,2025-02-17 17:00,500340,,NA,10-02-2025 03:01:37,PBTenders GOV NICGEP BOT
22,2025_POWER_133500_1,Department of Power||Punjab State Power Corporation Limited||Transmission Systems (TS)||TL Circle - Jalandhar,Alamgir,Laying of tower foundations Erection of towers and stringing and sagging of conductor with earth wire for the construction of 66KV line from 220KV Lalton Kalan to Giaspur T-off for Alamgir Balance work,2025-01-24 17:00,2025-02-10 12:00,50900,,NA,10-02-2025 03:02:42,PBTenders GOV NICGEP BOT
23,2025_DOA_133430_1,Department of Agriculture||Punjab Mandi Board||XEN - Civil - Barnala,MEHAL KALAN,DNIT FOR SR OF VARIOUS WIDENING UPGRADATION OF LR IN MC HALQA MEHAL KALAN COMPA OF EARTH WORK TO 20MM THICK OPEN GRADED PC WITH SEAL COAT AND CONST. OF CULVERTS AND ROAD STRUCTURESDISTT. BARNALA T 09 M (NABARD RIDF 2024-25W BNL25002,2025-01-23 18:00,2025-02-14 15:00,608850,2025-02-10 12:00,30442000,10-02-2025 03:03:17,PBTenders GOV NICGEP BOT
24,2025_DOA_133236_1,Department of Agriculture||Punjab Mandi Board||XEN - Civil - Ludhiana,KHANNA,"Up-gradation of L/R Kaunke kalan to Gurusar in MC Khanna Ludhiana. (Earth Work upto Premix work including Construction of Culverts, side Drain and Road Furniture etc.) Maintenance for 5 year (2nd year to 5thyear)(NABARD RIDF-XXX SCHEME)LDH2025-097",2025-01-23 16:00,2025-02-15 16:00,526000,,25930959,10-02-2025 03:04:22,PBTenders GOV NICGEP BOT
25,2025_DOA_133236_1,Department of Agriculture||Punjab Mandi Board||XEN - Civil - Ludhiana,KHANNA,"Up-gradation of L/R Kaunke kalan to Gurusar in MC Khanna Ludhiana. (Earth Work upto Premix work including Construction of Culverts, side Drain and Road Furniture etc.) Maintenance for 5 year (2nd year to 5thyear)(NABARD RIDF-XXX SCHEME)LDH2025-097",2025-01-23 16:00,2025-02-15 16:00,526000,,25930959,10-02-2025 03:04:40,PBTenders GOV NICGEP BOT
26,2025_DRDP_133354_1,Department of Rural Development and Panchayats||Panchayati Raj (Engineering Wing)||Division - Malerkotla,Malerkotla,Supply of Material and Skilled Labour for Construction of Anganwadi Centre at villages Baurhai Kalan District Malerkotla. (NREGA Convergence Work). (Retender),2025-01-23 11:00,2025-02-11 11:00,14000,,700000,10-02-2025 03:05:23,PBTenders GOV NICGEP BOT
27,2025_CEPW_133243_1,CE-PWD(B and R)||Construction Circle-Sangrur||Construction Division-Malerkotla,Malerkotla,Periodical Renewal of Plan Road Malerkotla to Katron (including Maintenance of Road for 5 Year (One year Defects Liability Period plus Four Year Maintenance Period),2025-01-22 13:00,2025-02-21 13:00,3162571,,158128572,10-02-2025 03:05:41,PBTenders GOV NICGEP BOT
28,2025_WR_133301_1,Department of Water Resources||Department of Water Resources||Drainage - Drg Construction Div - Sangrur,Sangrur,Estimate for Construction of Inlet with gate and gearing arrangement at RD 3900/R of river Ghaggar for drain out Flood/Rain water from depression area into river Ghaggar to save nearby abadies and agriculturable land from potential damage in nearby,2025-01-22 13:00,2025-02-10 11:00,52000,,NA,10-02-2025 03:06:00,PBTenders GOV NICGEP BOT
