,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_DLG_134183_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Jalandhar-II,Begowal,"Providing Tap Connections to consumers, Extension and Augmentation of Water Supply System at Begowal District Kapurthala for Distribution Network, Installation of Tubewell and Construction of 1.0 Lakh Gallon OHSR under AMRUT 2.0 Scheme, Part 1",2025-02-07 10:00,2025-03-03 15:00,684000,,68359000,10-02-2025 03:30:32,PBTenders GOV NICGEP BOT
1,2025_DLG_133983_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Sangrur,DHURI,PROVIDING TAP CONNECTIONS TO CONSUMERS EXTENSION AND AUGEMENTATION OF WATER SUPPLY SYSTEM AT DHURI DISTRICT SANGRUR FOR DISTRIBUTION NETWORK INSTALLATION OF TUBEWELL UNDER AMRUT 2.0 SCHEME PART-1 PHASE-1,2025-02-03 18:00,2025-02-27 17:00,687000,2025-02-10 11:00,68669355,10-02-2025 03:30:55,PBTenders GOV NICGEP BOT
2,2025_DLG_133835_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Ferozpur,Ferozepur,"Providing Tap Connections to consumers, Extension, Augmentation and Rehabilitation of Water Supply System at Mudki District Ferozepur for Distribution Network and Construction of New OHSR 0.5 Lakh Gallon under AMRUT 2.0 Scheme, Part-1, Phase-1",2025-01-31 13:00,2025-03-04 17:00,1152000,,NA,10-02-2025 03:31:13,PBTenders GOV NICGEP BOT
3,2025_DLG_133821_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Bathinda-II,GIDDERBAHA,"Providing Tap Connections to consumers, Extension and Augmentation of Water Supply System at Gidderbaha District Sri Muktsar Sahib for Distribution Network, Construction of 1.5 Lakh Gallon OHSR under AMRUT 2.0 Scheme, Part-1",2025-01-31 09:00,2025-02-27 11:00,1082000,2025-02-05 11:00,108231724,10-02-2025 03:31:31,PBTenders GOV NICGEP BOT
4,2025_DLG_133788_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Moga,"EE, PWSSD, MOGA","Providing Tap Connections to consumers, Extension and Augmentation of Water Supply System at Jagraon District Ludhiana for Distribution Network, Installation of Tube wells and Construction of OHSRs under AMRUT 2.0 Scheme, Part-1, Phase-1",2025-01-30 15:00,2025-03-20 17:00,1214000,2025-03-10 11:00,121400999,10-02-2025 03:31:49,PBTenders GOV NICGEP BOT
5,2025_DLG_133685_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Bathinda-II,BHAGTA BHAIKA,"Providing Tap Connections to consumers, Extension and Augmentation of Water Supply System at Bhagta Bhai Ka District Bathinda for Distribution Network under AMRUT 2.0 Scheme",2025-01-29 09:00,2025-02-27 11:00,1146000,2025-02-04 11:00,114564000,10-02-2025 03:32:08,PBTenders GOV NICGEP BOT
6,2025_DLG_133088_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Sangrur,SANGRUR,PROVIDING TAP CONNECTIONS TO CONSUMERS EXTENSION AND AUGEMENTATION OF WATER SUPPLY SYSTEM AT SANGRUR DISTRICT SANGRUR FOR DISTRIBUTION NETWORK INSTALLATION OF TUBEWELL UNDER AMRUT 2.0 SCHEME PART-1 PHASE-1,2025-01-27 18:55,2025-02-17 17:00,465000,2025-01-31 11:00,23231000,10-02-2025 03:32:25,PBTenders GOV NICGEP BOT
7,2025_DLG_133088_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Sangrur,SANGRUR,PROVIDING TAP CONNECTIONS TO CONSUMERS EXTENSION AND AUGEMENTATION OF WATER SUPPLY SYSTEM AT SANGRUR DISTRICT SANGRUR FOR DISTRIBUTION NETWORK INSTALLATION OF TUBEWELL UNDER AMRUT 2.0 SCHEME PART-1 PHASE-1,2025-01-27 18:55,2025-02-17 17:00,465000,2025-01-31 11:00,23231000,10-02-2025 03:32:43,PBTenders GOV NICGEP BOT
8,2025_DLG_133589_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Ludhiana-I,EE PWSSD LUDHIANA,Prov Tap Connections to consumers Extn. and Aug of W.S at Payal Distt Ludhiana for Distribution Network and Installation of Tubewell under AMRUT 2 scheme Part 1 Phase 1,2025-01-27 13:30,2025-02-17 16:00,327000,,16331269,10-02-2025 03:33:01,PBTenders GOV NICGEP BOT
9,2025_DLG_133516_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Ludhiana-I,PWSSD LUDHIANA,Providing Tap Connections to consumers Extension and Augmentation of Water Supply System at Doraha District Ludhiana for Distribution Network and installation of Tubewell under AMRUT 2.0 Scheme Part-1 Phase-1,2025-01-24 16:10,2025-02-15 16:00,619000,,30956000,10-02-2025 03:33:21,PBTenders GOV NICGEP BOT
10,2025_DLG_133462_1,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Bathinda-II,MALUKA,"Providing Tap Connections to consumers, Extension and Augmentation of Water Supply System at Maluka District Bathinda for Distribution Network under AMRUT 2.0 Scheme (Part-1)",2025-01-24 09:00,2025-02-14 11:00,228000,,11385000,10-02-2025 03:33:39,PBTenders GOV NICGEP BOT
