,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_EICCL_111249_1,EIC-CIVIL||SERNB-CIRCLE-KHURDA,Nayagarh,Improvement of Khandapada Banapur Road from 0.000 km to 11.500 km under State Plan in the District of Nayagarh for the year 2024-25,2025-03-01 13:00,2025-03-17 17:00,484000,,48313367,01-03-2025 18:32:38,Tendersodisha GOV BOT
1,2025_AGRIL_111164_1,Directorate of Agriculture and Food Production||SE Agriculture South Zone||Executive Engineer(Agril) Phulbani,"AT- CDAO Office Campus, Dist- Boudh",Beautification and Landscaping of CDAO Office Campus Boudh,2025-03-01 10:00,2025-03-11 17:30,12600,,1250300,01-03-2025 18:33:50,Tendersodisha GOV BOT
2,2025_EICCL_111057_1,EIC-CIVIL||EIC-CIVIL,In the District of Cuttack,Construction of H. L. Bridge over Chhatisha Nallah at Chainage 4.760km on Old Cuttack Sambalpur Road in the District of Cuttack under State Plan for the year 2024-25,2025-03-01 10:00,2025-03-19 17:00,1523500,,152347258,01-03-2025 18:34:09,Tendersodisha GOV BOT
3,2025_ORULB_110859_4,Municipal Bodies||Sambalpur Municipal Corporation,SAMBALPUR MUNICIPAL CORPORATION,Construction of drain and 3 nos of culvert at Samruddhinagar lane-1 (House no 43 to 37) in ward no-19,2025-02-28 11:00,2025-03-11 17:00,12868,,1286822,01-03-2025 18:34:41,Tendersodisha GOV BOT
4,2025_ORULB_110859_4,Municipal Bodies||Sambalpur Municipal Corporation,SAMBALPUR MUNICIPAL CORPORATION,Construction of drain and 3 nos of culvert at Samruddhinagar lane-1 (House no 43 to 37) in ward no-19,2025-02-28 11:00,2025-03-11 17:00,12868,,1286822,01-03-2025 18:35:14,Tendersodisha GOV BOT
5,2025_OTDC_111191_2,Odisha Tourism Devl. Corp.,"DoT Streetscape, Bhubaneswar","Selection of Consultant for Providing Detailed Project Report for Construction of Pedestrian Pathway, Landscaping, Shifting of Utilities etc. for DoT Streetscape, Bhubaneswar.",2025-02-28 09:00,2025-03-10 17:00,25000,2025-03-04 11:35,30000000,01-03-2025 18:35:35,Tendersodisha GOV BOT
6,2025_IDCO_110976_1,IDCO||IDCO||IDCO,Keonjhar,"Supply, Installation, Testing and Commissioning of Electrical, Electronics and Lan Items work for HMV Driving Training institute at Dhanurjaypur, Keonjhar.",2025-02-24 17:00,2025-03-03 17:00,29000,,2861489,01-03-2025 18:38:07,Tendersodisha GOV BOT
7,2025_ORULB_109888_13,Municipal Bodies||Cuttack Municipal Corporation,CMC,Construction of RCC drain cover slab and upgradation of road from Debendra Mishra lane Samantray res to Narayan Moapatra res and via Guguna Das res at Friends Colony in Ward No.32.,2025-02-22 11:15,2025-03-04 17:00,17000,,1668370,01-03-2025 18:38:32,Tendersodisha GOV BOT
8,2025_OUAT_111049_1,Odisha University of Agriculture and Technology,BHUBANESWAR,Construction of Main gate Parking driveway and landscape at College of Agriculture Bhubaneswar,2025-02-21 18:25,2025-03-07 17:00,130314,,13031332,01-03-2025 18:38:51,Tendersodisha GOV BOT
9,2025_EICCL_110949_1,EIC-CIVIL,Bhubaneswar,Construction of 4 lane road OERC Square to Left Parallel Road via Kanyashram from Km 0.00 to 1.027 Km in the District of Khordha under State Plan for the year 2024-25,2025-02-20 17:00,2025-03-07 16:00,971938,,97193800,01-03-2025 18:40:03,Tendersodisha GOV BOT
