,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_DTP_518872_1,Directorate of Town Panchayats||Theni Zone||Melachokkanathapuram Town Panchayat - Theni,Melachokkanathapuram Town Panchayat,Providing Fencing Arrangements With Tree Plantation at W10 College Nagar Park W12 North Raja Street Park I II W13Sathuragiri Bhavanam Park I II and OSR Land,2025-01-17 11:05,2025-01-20 15:00,4450,2025-01-17 11:05,NA,17-01-2025 11:47:26,Tntenders GOV NIC BOT
1,2025_MAWS_518835_1,MAWS||Bhavani Municipality,"Ward no.19,20 and 27 Bhavani",construction of RCC Culverts at Palanianiandavar kovil street Lane Pasuveshwarar street and Cauvery street in ward no 19 20 and 27,2025-01-15 09:00,2025-01-21 11:00,3500,,350000,17-01-2025 11:48:19,Tntenders GOV NIC BOT
2,2025_MAWS_518527_1,MAWS||Udumalaipettai Municipality,UDUMALPET,Maintenance and Repairs to the Storm Water Drain and Culvert at South side of Kumaran lane in Ward no 23 Udumalpet Municipality,2025-01-14 09:00,2025-01-23 15:00,4900,,490000,17-01-2025 11:48:36,Tntenders GOV NIC BOT
3,2025_MAWS_518521_1,MAWS||Udumalaipettai Municipality,UDUMALPET,Maintenance and Repairs to the Storm Water Drain at Jinnah lane in Ward no 17 in Udumalpet Municipality,2025-01-14 09:00,2025-01-23 15:00,4400,,440000,17-01-2025 11:48:54,Tntenders GOV NIC BOT
4,2025_MAWS_518531_1,MAWS||Udumalaipettai Municipality,UDUMALPET,Maintenance and Repairs to the Storm Water Drain at Jony begum lane in Ward no 25 Udumalpet Municipality,2025-01-14 09:00,2025-01-23 15:00,4900,,490000,17-01-2025 11:49:11,Tntenders GOV NIC BOT
5,2025_MAWS_518524_1,MAWS||Udumalaipettai Municipality,UDUMALPET,Maintenance and Repairs to the Storm Water Drain at Noor lane in Ward no 19 in Udumalpet Municipality,2025-01-14 09:00,2025-01-23 15:00,1600,,160000,17-01-2025 11:49:28,Tntenders GOV NIC BOT
6,2025_MAWS_517564_1,MAWS||Madurai Municipal Corporation,Madurai,Repair Works to Existing UGD Main and Providing CC Road at Thagarakottagai Lane Old Meenakshi Mill Colony in Ward No 75.,2025-01-13 18:55,2025-01-30 15:00,4592,,459231,17-01-2025 11:49:52,Tntenders GOV NIC BOT
7,2025_RDTN_517645_11,"Rural Development and Panchayat Raj Department||Cuddalore,RD,TN",Cuddalore,Strengthening of East Ramapuram to G.N Kuppam (Via) Thalan colony Road of under MGSMT 2025-26 PHASE I Package No.11,2025-01-13 14:00,2025-01-22 15:00,121000,2025-01-14 11:00,12048000,17-01-2025 11:51:37,Tntenders GOV NIC BOT
8,2025_DTP_518577_1,Directorate of Town Panchayats||Tirunelveli Zone||Vasudevanallur Town Panchayat,Vasudevanallur Town Panchayat,"Providing paver block road at ward no7 Kattabomman street south 1st,2nd ,3rd lane in vasudevanallur Town panchayat.",2025-01-13 12:15,2025-01-21 15:00,5500,,550000,17-01-2025 11:52:34,Tntenders GOV NIC BOT
9,2025_MAWS_518479_1,MAWS||Udumalaipettai Municipality,UDUMALPET,Maintenance and Repairs to the Storm Water Drain at Gandhi Lane Main Road 1 2 and Cut Road Sethakadathai Street VOC Street Paver Block and Daas Lane Paver Block Lanes in Ward no 11 in Udumalpet Municipality,2025-01-13 09:00,2025-01-23 15:00,3100,,310000,17-01-2025 11:53:25,Tntenders GOV NIC BOT
10,2025_MAWS_518503_1,MAWS||Udumalaipettai Municipality,Udumalpet,Maintenance and Repairs to the Storm Water Drain at Rasool lane in Ward no 17 in Udumalpet Municipality,2025-01-13 09:00,2025-01-23 15:00,3900,,390000,17-01-2025 11:53:51,Tntenders GOV NIC BOT
11,2025_MAWS_518479_1,MAWS||Udumalaipettai Municipality,UDUMALPET,Maintenance and Repairs to the Storm Water Drain at Gandhi Lane Main Road 1 2 and Cut Road Sethakadathai Street VOC Street Paver Block and Daas Lane Paver Block Lanes in Ward no 11 in Udumalpet Municipality,2025-01-13 09:00,2025-01-23 15:00,3100,,310000,17-01-2025 11:54:08,Tntenders GOV NIC BOT
12,2025_RDTN_518397_1,"Rural Development and Panchayat Raj Department||Vellore,RD,TN||ANAICUT, VELLORE,RD,TN","THE BLOCK DEVELOPMENT OFFICE, ANAICUT",Vellore District Construction of Retaining wall at madigam road Vengatesan Land Near in Melarasam pattu Panchayat Anaicut Block SFC 2024-2025 Package no 07,2025-01-11 16:35,2025-01-28 15:00,6000,,NA,17-01-2025 11:55:44,Tntenders GOV NIC BOT
13,2025_MAWS_518275_25,MAWS||Coimbatore City Municipal Corporation,Central zone,"Renewal of existing damaged UGD pipe line, Reconstruction of existing damaged UGD chamber at Theppakulam Lane 2 From Saradha School to Theppakulam RO Plant JN in ward No. 70",2025-01-11 16:00,2025-01-21 15:00,10000,,1000000,17-01-2025 11:56:29,Tntenders GOV NIC BOT
