,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_CERDD_62902_1,"Chief Engineer, Rural Development Department||Superintending Engineer-1st Circle||Jirania Division",As per DNIT,Construction of road side pucca drain from Abhinash Biswas land to Dasu Sarkar house via Saraswati Sarkar house (W-5) at Tulakuna GP under Old Agartala RD Block (100 M),2025-06-19 18:00,2025-06-26 15:00,8430,,421523,20-06-2025 12:11:43,TripuraTenders GOV NICGEP BOT
1,2025_CEPWD_62849_1,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Second Circle||EE Agartala Division No I",AGARTALA,"AR and MO Govt. Residential buildings during the year 2025 26 SH Repairing of handed over rooms in first floor of old MLA Hostel No 2 located at SP Mukherjee Lane, Agartala for DICA Office, West Tripura and SDICA office, Sadar",2025-06-18 18:00,2025-07-01 15:00,15475,,773751,20-06-2025 12:12:07,TripuraTenders GOV NICGEP BOT
2,2025_CERDD_62768_1,"Chief Engineer, Rural Development Department||Superintending Engineer - 5th Circle||Sonamura Division",Boxanagar,Const of RCC drain from the Harun Miah Pond to PWD road via Rakhal Deb Land at Matinagar GP Word No 3 under Boxanagar RD Block (PWD SoR 2023),2025-06-17 18:00,2025-06-30 15:00,24554,,1227720,20-06-2025 12:12:32,TripuraTenders GOV NICGEP BOT
3,2025_CEWR_62730_1,Chief Engineer PWD (WR)||Additional CE Agartala||EE WR Investigation Div Agartala||EE WRD II Agartala,AGARTALA,Construction of cluster 24 (Twenty four) nos Lift Irrigation schemes in different block areas in Tripura (Job No. TR/03/Special Assistance for Capital Investment /2024-25)/LI scheme at Baniyacherra near the land of Sri Sukumar Sarkar over Gomati Rive,2025-06-17 13:00,2025-06-30 15:00,108162,,5408118,20-06-2025 12:12:50,TripuraTenders GOV NICGEP BOT
4,2025_CEWR_62731_1,Chief Engineer PWD (WR)||Additional CE Agartala||EE WR Investigation Div Agartala||EE WRD II Agartala,AGARTALA,Construction of cluster 24 nos. Lift Irrigation schemes in different block areas in Tripura. (Job No. TR/03/Special Assistance for Capital Investment/2024-25)/LI scheme at Kanyram para of East Takarjala VC over Bhurima Riiver near the land of Sri Bir,2025-06-17 13:00,2025-06-30 15:00,107442,,5372084,20-06-2025 12:13:08,TripuraTenders GOV NICGEP BOT
5,2025_CEWR_62729_1,Chief Engineer PWD (WR)||Additional CE Agartala||EE WR Investigation Div Agartala||EE WRD II Agartala,AGARTALA,Construction of cluster 24 (Twenty four) nos Lift Irrigation schemes in different block areas in Tripura (Job No. TR/03/Special Assistance for Capital Investment/2024-25)/LI scheme at Urmai near the land of Abul Kalam over Gomati River under Mohanbho,2025-06-17 13:00,2025-06-30 15:00,108274,,5413693,20-06-2025 12:13:26,TripuraTenders GOV NICGEP BOT
6,2025_CEWR_62741_1,Chief Engineer PWD (WR)||Additional CE Agartala||EE WR Investigation Div Agartala||EE WRD II Agartala,AGARTALA,Construction of cluster 24 (Twenty four) nos Lift Irrigation schemes in different block areas in Tripura (Job No. TR/03/Special Assistance for Capital Investment/2024-25)/LI scheme at Kamrangatali near the land of Sri Srivas Bhowmik over Gomati River,2025-06-17 13:00,2025-06-30 15:00,108133,,5406636,20-06-2025 12:13:44,TripuraTenders GOV NICGEP BOT
7,2025_CEWR_62734_1,Chief Engineer PWD (WR)||Additional CE Agartala||EE WR Investigation Div Agartala||EE WRD II Agartala,AGARTALA,Construction of cluster 24 (Twenty four) nos Lift Irrigation schemes in different block areas in Tripura (Job No. TR/03/Special Assistance for Capital Investment /2024-25)/LI scheme at Telkajla near the land of Sri Govinda Das over Gomati River under,2025-06-17 13:00,2025-06-30 15:00,108225,,5411265,20-06-2025 12:14:02,TripuraTenders GOV NICGEP BOT
8,2025_CEWR_62738_1,Chief Engineer PWD (WR)||Additional CE Agartala||EE WR Investigation Div Agartala||EE WRD II Agartala,AGARTALA,Construction of cluster 24 (Twenty four) nos Lift Irrigation schemes in different block areas in Tripura (Job No. TR/03/Special Assistance for Capital Investment/2024-25)/LI scheme at Telkajla near the land of Sri Pramode Saha over Gomati River under,2025-06-17 13:00,2025-06-30 15:00,108210,,5410480,20-06-2025 12:14:19,TripuraTenders GOV NICGEP BOT
9,2025_TIADB_61189_1,Project Director- PMU-ADB Project- TIDCL,Nagicherra IE,Land Development Landscaping Water Supply Common Infrastructure Industrial Safety and Security etc at Nagicherra Industrial Estate Tripura PACKAGE 22,2025-05-08 18:00,2025-06-23 15:00,3032000,2025-05-19 15:00,NA,20-06-2025 12:15:53,TripuraTenders GOV NICGEP BOT
10,2025_ARDD_61111_1,Animal Resource Department||ARDD||Directorate of ARDD,"West Tripura, Gomati and Unakoti Districts","e-Tender for Procurement and Installation of 3 nos of medium Liquid Nitrogen Plant along with 100 KVA Voltage Stabilizer for West Tripura, Gomati and Unakoti Districts to strengthen AI Network in Tripura state during the year 2025-2026",2025-05-08 14:00,2025-06-30 17:00,2400000,2025-05-14 12:00,120000000,20-06-2025 12:16:12,TripuraTenders GOV NICGEP BOT
