,tender_id,customer,location,name_of_work,publish_date,submission_date,emd,pbm,e_value,inserted_time,inserted_user_id
0,2025_ZPHD_813536_3,Zilla Parishad||Zilla Parishad||North 24-Parganas||GAIGHATA||JHAWDANGA,ANGRAIL,CONST INSTALLATION OF ARCENIC FREE WATER TREATMENT PLANT FULMALA MAJUMDER LAND SIDE AT ANGRAIL,2025-02-11 14:00,2025-02-18 18:00,13710,,685490,11-02-2025 17:59:13,WBtenders GOV NICGEP BOT
1,2025_WRDD_814474_7,WATER RESOURCES DEV. DTE.||MIDNAPORE (AM) CIRCLE||TAMLUK (AM) DVN,MACHINAN DEPTT. MAJOR RLI SCHEME,REPAIRING OF WTA AND SPOUT CHAMBER AT MACHINAN DEPTT. MAJOR RLI SCHEME UNDER BLOCK - KOLAGHAT IN THE DISTRICT PURBA MEDINIPUR UNDER TAMLUK (A.M) SUB-DIVISION UNDER TAMLUK (A.M) DIVISION UNDER NON-PLAN PROGRAMME 2024-25.,2025-02-11 18:00,2025-02-20 18:00,1400,,68658,11-02-2025 18:00:24,WBtenders GOV NICGEP BOT
2,2025_MAD_814350_3,MUNICIPAL AFFAIRS DEPARTMENT||URBAN LOCAL BODIES||CHANDANNAGAR MC,Chandernagore Municipal Corporation,Improvement of kancha road by concreting and side drain with concreting and side drain with slab at Namarer 3rd lane infront the HO Sourav Ghosh in ward no 23 under CMC,2025-02-11 18:00,2025-02-21 18:00,5479,2025-02-15 15:00,273942,11-02-2025 18:00:50,WBtenders GOV NICGEP BOT
3,2025_WRDD_814474_2,WATER RESOURCES DEV. DTE.||MIDNAPORE (AM) CIRCLE||TAMLUK (AM) DVN,TAMLUK (A-M) DIVISION,REPAIRING OF OFFICE BUILDING ALL SANITARY AND PLUMBING WORKS AT TAMLUK (A-M) DIVISION AND TAMLUK (A-M) SUB-DIVISION UNDER TAMLUK (A-M) DIVISION UNDER NON-PLAN PROGRAMME.,2025-02-11 18:00,2025-02-20 18:00,5000,,247582,11-02-2025 18:01:32,WBtenders GOV NICGEP BOT
4,2025_ZPHD_814219_4,Zilla Parishad||Zilla Parishad||PURBA BARDHAMAN||KATWA - II||SRIBATI,SRIBATI,CONSTRUCTION OF DRAIN FROM ALAM SK HOUSE OF LALAN SK HOUSE AT SRIBATI ID- 109160363,2025-02-11 18:00,2025-02-18 18:00,2600,,125035,11-02-2025 18:01:52,WBtenders GOV NICGEP BOT
5,2025_WRDD_814474_2,WATER RESOURCES DEV. DTE.||MIDNAPORE (AM) CIRCLE||TAMLUK (AM) DVN,TAMLUK (A-M) DIVISION,REPAIRING OF OFFICE BUILDING ALL SANITARY AND PLUMBING WORKS AT TAMLUK (A-M) DIVISION AND TAMLUK (A-M) SUB-DIVISION UNDER TAMLUK (A-M) DIVISION UNDER NON-PLAN PROGRAMME.,2025-02-11 18:00,2025-02-20 18:00,5000,,247582,11-02-2025 18:02:24,WBtenders GOV NICGEP BOT
6,2025_ZPHD_814326_1,Zilla Parishad||Zilla Parishad||Uttar Dinajpur||KALIAGANJ||ANANTAPUR,Pachakandar,Pucca covered drain with sockpit from Culvert to Jadu Barman Land at Pachakandar sansad,2025-02-11 17:00,2025-02-18 18:00,5100,,250999,11-02-2025 18:03:24,WBtenders GOV NICGEP BOT
7,2025_ZPHD_813536_4,Zilla Parishad||Zilla Parishad||North 24-Parganas||GAIGHATA||JHAWDANGA,KAHANKIA,CONST INSTALLATION OF ARCENIC FREE WATER TREATMEN PLANT KAHANKIA TAPAN MONDAL LAND SIDE,2025-02-11 14:00,2025-02-18 18:00,13710,,685490,11-02-2025 18:04:47,WBtenders GOV NICGEP BOT
8,2025_ZPHD_814060_1,Zilla Parishad||Zilla Parishad||Dakshin Dinajpur||KUMARGANJ||JAKIRPUR,"JAKHIRPUR GP,TULAT, VOLANATHPUR, KUMARGANJ, D/D",Installation of submersible and reservour with solar system infront of ALAUDDIN SARKAR land Haripur Dakshinpara at Uthrail,2025-02-11 11:00,2025-02-18 14:00,3795,,189742,11-02-2025 18:06:15,WBtenders GOV NICGEP BOT
9,2025_ZPHD_813478_2,Zilla Parishad||Zilla Parishad||Purba Midnapore||SUTAHATA||GUABERIA,Gopalpur,CONSTRUCTION OF DRAIN FROM DIPANKAR DAS LAND TO TAPAN DAS LAND AT GOPALPUR-89435388,2025-02-11 10:30,2025-02-17 17:30,2900,,145953,11-02-2025 18:06:41,WBtenders GOV NICGEP BOT
10,2025_ZPHD_814090_1,Zilla Parishad||Zilla Parishad||North 24-Parganas||SANDESHKHALI - II||KHULNA,Khulna,Operation and maintenance of community Sanitary Toilet near Khulna Patra Para Shib Durga Milan sangha Under Khulna GP of sandeshkhali II dev block of North 24 Parganas,2025-02-11 10:00,2025-02-21 16:00,6037,,301846,11-02-2025 18:07:22,WBtenders GOV NICGEP BOT
11,2025_ZPHD_814090_1,Zilla Parishad||Zilla Parishad||North 24-Parganas||SANDESHKHALI - II||KHULNA,Khulna,Operation and maintenance of community Sanitary Toilet near Khulna Patra Para Shib Durga Milan sangha Under Khulna GP of sandeshkhali II dev block of North 24 Parganas,2025-02-11 10:00,2025-02-21 16:00,6037,,301846,11-02-2025 18:07:42,WBtenders GOV NICGEP BOT
12,2025_WBPWD_811993_2,PUBLIC WORKS DEPARTMENT||P.W. DIRECTORATE||PWD (NORTH ZONE)||NORTH BENGAL CONSTRUCTION CIRCLE-I||COOCHBEHAR DIVISION,COOCHBEHAR,"Emergent Patch Repair work of Panthasala Road By Lane(VIP Road) under Cooch Behar Sub Division No-I , PWD during the year 2024-25.",2025-02-11 09:30,2025-02-18 18:30,15344,,767193,11-02-2025 18:08:18,WBtenders GOV NICGEP BOT
13,2025_ZPHD_814054_1,Zilla Parishad||Zilla Parishad||South 24-Parganas||MAGRAHAT-I||SHERPUR,SHERPUR,"CONSTRUCTION OF CONCRETE COVER DRAIN WITH SOAKPIT FROM ADITYA DAS HOUSE TO SUJIT DAS LAND AT SANSAD II, ACTIVITY CODE- 67536468, Fund 15th Fc Tied",2025-02-11 18:08,2025-02-19 11:00,3664,2025-02-17 13:00,183184,11-02-2025 18:08:44,WBtenders GOV NICGEP BOT
14,2025_ZPHD_814054_1,Zilla Parishad||Zilla Parishad||South 24-Parganas||MAGRAHAT-I||SHERPUR,SHERPUR,"CONSTRUCTION OF CONCRETE COVER DRAIN WITH SOAKPIT FROM ADITYA DAS HOUSE TO SUJIT DAS LAND AT SANSAD II, ACTIVITY CODE- 67536468, Fund 15th Fc Tied",2025-02-11 09:00,2025-02-19 11:00,3664,2025-02-17 13:00,183184,11-02-2025 18:09:06,WBtenders GOV NICGEP BOT
15,2025_ZPHD_813664_2,Zilla Parishad||Zilla Parishad||Purba Midnapore||MAHISADAL||LAKSHYA I,Chakgajipur,CC road with tile pilling from Ranajay Metya land to Tapan Mondal Pond,2025-02-11 09:00,2025-02-17 17:00,4232,,NA,11-02-2025 18:09:53,WBtenders GOV NICGEP BOT
16,2025_ZPHD_813333_7,Zilla Parishad||Zilla Parishad||Maldah||RATUA-II||SREEPUR-II,PRODHAN SRIPUR-II GRAMPANCHAYAT,CFC BG UT PCC FROM PWD ROAD TO HABIBUR LAND AT BARAIL X Fund 15th FC 2024 25 Id 98102267,2025-02-10 18:55,2025-02-19 15:30,3000,,150000,11-02-2025 18:10:16,WBtenders GOV NICGEP BOT
17,2025_WRDD_813545_1,WATER RESOURCES DEV. DTE.||MIDNAPORE (AM) CIRCLE||MIDNAPORE (AM) DVN,Executive Engineer(A-M)Midnapore(A-M) Division,Construction of Pump House with Internal Wiring at Parulia Major RLI Scheme (Govt owned and Operated) in Narayangarh Block under Kharagpur(A-E) Sub-division under Midnapore (A-M) Division in the District of Paschim Medinipur under Non-Plan 24-25.,2025-02-10 18:00,2025-02-18 14:00,12000,,598314,11-02-2025 18:10:55,WBtenders GOV NICGEP BOT
18,2025_WRDD_813545_1,WATER RESOURCES DEV. DTE.||MIDNAPORE (AM) CIRCLE||MIDNAPORE (AM) DVN,Executive Engineer(A-M)Midnapore(A-M) Division,Construction of Pump House with Internal Wiring at Parulia Major RLI Scheme (Govt owned and Operated) in Narayangarh Block under Kharagpur(A-E) Sub-division under Midnapore (A-M) Division in the District of Paschim Medinipur under Non-Plan 24-25.,2025-02-10 18:00,2025-02-18 14:00,12000,,598314,11-02-2025 18:11:25,WBtenders GOV NICGEP BOT
19,2025_WRDD_813545_1,WATER RESOURCES DEV. DTE.||MIDNAPORE (AM) CIRCLE||MIDNAPORE (AM) DVN,Executive Engineer(A-M)Midnapore(A-M) Division,Construction of Pump House with Internal Wiring at Parulia Major RLI Scheme (Govt owned and Operated) in Narayangarh Block under Kharagpur(A-E) Sub-division under Midnapore (A-M) Division in the District of Paschim Medinipur under Non-Plan 24-25.,2025-02-10 18:00,2025-02-18 14:00,12000,,598314,11-02-2025 18:11:45,WBtenders GOV NICGEP BOT
20,2025_WRDD_813662_5,WATER RESOURCES DEV. DTE.||MIDNAPORE (AM) CIRCLE||TAMLUK (AM) DVN,Tamluk(AM) Sub-Division,Supply of Aluminium Cable and Fuse Wire at Tamluk(A-M) Sub-Divisional Store under Tamluk (A-M) Division under Non-Plan Programme 2024 - 2025.,2025-02-10 17:00,2025-02-20 18:00,7000,,347820,11-02-2025 18:12:22,WBtenders GOV NICGEP BOT
21,2025_WRDD_813662_8,WATER RESOURCES DEV. DTE.||MIDNAPORE (AM) CIRCLE||TAMLUK (AM) DVN,Tamluk(AM) Sub-Division,Supply of Electrical Miscellaneous Materials at Tamluk(A-M) Sub-Divisional Store under Tamluk (A-M) Division under Non-Plan Programme 2024 - 2025.,2025-02-10 18:12,2025-02-20 18:00,8500,,421298,11-02-2025 18:12:39,WBtenders GOV NICGEP BOT
22,2025_WRDD_813662_4,WATER RESOURCES DEV. DTE.||MIDNAPORE (AM) CIRCLE||TAMLUK (AM) DVN,Tamluk(AM) Sub-Division,Supply of U.P.V.C. Pipes at Tamluk(A-M) Sub-Divisional Store under Tamluk (A-M) Division under Non-Plan Programme 2024 - 2025.,2025-02-10 17:00,2025-02-20 18:00,8600,,428760,11-02-2025 18:12:58,WBtenders GOV NICGEP BOT
23,2025_WRDD_813563_3,WATER RESOURCES DEV. DTE.||MIDNAPORE (AM) CIRCLE||TAMLUK (AM) DVN,Contai(AM) Sub-Division,"Supply of Wire Rope, Anchor and others Mechanical Materials at Contai (A-M) Sub-Divisional Store under Tamluk (A-M) Division under Non-Plan Programme 2024 - 2025",2025-02-10 17:00,2025-02-20 18:00,5800,,285845,11-02-2025 18:13:27,WBtenders GOV NICGEP BOT
24,2025_ZPHD_813751_2,Zilla Parishad||Zilla Parishad||Birbhum||SURI-I,Langulia High School Mouza Kustore,"Construction of Concrete Drain at Langulia High School Mouza Kustore, Kh No 327/1, JL No 200, Plot No 95 and 96",2025-02-10 17:00,2025-02-18 17:00,4000,,199989,11-02-2025 18:13:45,WBtenders GOV NICGEP BOT
25,2025_WRDD_813563_6,WATER RESOURCES DEV. DTE.||MIDNAPORE (AM) CIRCLE||TAMLUK (AM) DVN,Contai(AM) Sub-Division,Supply of 140mm dia PVC Pipe and Other PVC Fittings at Contai (A-M) Sub-Divisional Store under Tamluk (A-M) Division under Non-Plan Programme 2024 - 2025.,2025-02-10 17:00,2025-02-20 18:00,3900,,191745,11-02-2025 18:14:03,WBtenders GOV NICGEP BOT
26,2025_ZPHD_813484_5,Zilla Parishad||Zilla Parishad||Purba Midnapore||RAMNAGAR-I||PADIMA-II,dahadaya,Construction of concrete road from Pasupati Shyamal house to Falguni Jana land at Dahadaya.,2025-02-10 17:00,2025-02-21 17:00,4400,,220000,11-02-2025 18:14:20,WBtenders GOV NICGEP BOT
27,2025_MAD_811800_10,MUNICIPAL AFFAIRS DEPARTMENT||URBAN LOCAL BODIES||DUM DUM,Dum Dum Municipal Area,"Renovation of Drain and Improvement of PCC Road of Lane 1 of Bl A of Kalidham Colony, Ward No. 14 under Dum Dum Municipality - 15th FC",2025-02-10 13:00,2025-02-18 14:00,9997,,499867,11-02-2025 18:14:55,WBtenders GOV NICGEP BOT
28,2025_ZPHD_813230_1,Zilla Parishad||Zilla Parishad||Howrah||SANKRAIL||SANKRAIL,"Sankrail, Dargatala, Howrah","Construction of conc.road near at patta land. Mouza -Ramchandrapur, J.L. No.-31,Activity ID-90741989, Fund-15 th F.C",2025-02-10 11:00,2025-02-18 14:00,5000,,250000,11-02-2025 18:15:37,WBtenders GOV NICGEP BOT
29,2025_ZPHD_813227_1,Zilla Parishad||Zilla Parishad||Howrah||SHYAMPUR-I,Baneswarpur,Construction of cover drain with soak pit from Ramesh kayal Land to Gdiara Nasa Canal under Baneswarpur I Gram Panchayat UNDER SHYAMPUR I PANCHAYAT SAMITY UNDER 15 TH FC TIED FUND 24 25 ACTIVITY CODE 117853452,2025-02-08 18:00,2025-02-19 12:00,4500,,225000,11-02-2025 18:18:19,WBtenders GOV NICGEP BOT
30,2025_ZPHD_813044_1,Zilla Parishad||Zilla Parishad||Howrah||AMTA-II||JHIKIRA,"Mouza- Jhikira, Jl. No-65, Sansad No-VI",Construction of Drain with cover slab Pulak Maity house to Mallick land.,2025-02-08 11:00,2025-02-14 17:30,7000,,292034,11-02-2025 18:18:39,WBtenders GOV NICGEP BOT
31,2025_ZPHD_813044_1,Zilla Parishad||Zilla Parishad||Howrah||AMTA-II||JHIKIRA,"Mouza- Jhikira, Jl. No-65, Sansad No-VI",Construction of Drain with cover slab Pulak Maity house to Mallick land.,2025-02-08 11:00,2025-02-14 17:30,7000,,292034,11-02-2025 18:19:01,WBtenders GOV NICGEP BOT
32,2025_ZPHD_812505_4,Zilla Parishad||Zilla Parishad||Hooghly||CHANDITALA-I||KRISHNARAMPUR,KRISHNARAMPUR,Construction of Pucca Drain with Slab from Gaya Adak house to Bagan pukur dhar and Gaya Adak house to Durga Dalan at Sansad No V,2025-02-07 18:00,2025-02-17 11:00,5200,,257703,11-02-2025 18:19:44,WBtenders GOV NICGEP BOT
33,2025_ZPHD_812488_4,Zilla Parishad||Zilla Parishad||Howrah||SHYAMPUR-II||KHARUBERIA,KHARUBERIA GRAM PANCHAYAT,CONSTRUCTION OF COVER DRAIN FROM GOBINDAPUR LIYAKATS HOUSE TO ASGHAR ALIS LAND UNDER 15 TH. C.F.C. TIED FUND (2024-25),2025-02-07 18:00,2025-02-14 14:00,3900,,194946,11-02-2025 18:20:09,WBtenders GOV NICGEP BOT
34,2025_ZPHD_812387_5,Zilla Parishad||Zilla Parishad||Howrah||BAGNAN-II||MUALYAN BENAPUR,Area of Mugkalyan Benapur Gram Panchayat,Road fr Netai Singha land to sanjit middya land at san Twenty Under 15th FC(Untied) Activity Code- 97785253 Of F.Y. 24-25,2025-02-07 18:00,2025-02-21 13:00,6400,,315988,11-02-2025 18:20:27,WBtenders GOV NICGEP BOT
35,2025_WRDD_812482_2,WATER RESOURCES DEV. DTE.||MIDNAPORE (AM) CIRCLE||MIDNAPORE (AM) DVN,Executive Engineer(A-M)Midnapore(A-M) Division,Supply of Centrifugal Water Pump for Midnapore (A-M) Sub-Divisional store in Midnapore (A-M) Sub-Division in the District of Paschim Medinipur under Non-Plan Programme 2024-25.,2025-02-07 18:00,2025-02-18 14:00,17000,,NA,11-02-2025 18:20:49,WBtenders GOV NICGEP BOT
36,2025_WRDD_812465_3,WATER RESOURCES DEV. DTE.||MIDNAPORE (AM) CIRCLE||MIDNAPORE (AM) DVN,Executive Engineer(A-M)Midnapore(A-M) Division,Supply of supply of PVC materials for Midnapore (A-M) Sub-Divisional store in Midnapore (A-M) Sub-Division in the District of Paschim Medinipur under Non-Plan Programme 2024-25.,2025-02-07 18:00,2025-02-18 14:00,5200,,NA,11-02-2025 18:21:09,WBtenders GOV NICGEP BOT
37,2025_ZPHD_812092_1,Zilla Parishad||Zilla Parishad||South 24-Parganas||MAGRAHAT-I||YEARPUR,MAHESWARA-V,"CONSTRUCTION OF CULVERT NEAR MAHESWARA TALBAGAN SURJA NASKAR LAND V, ID- 89380289, 5TH SFC",2025-02-07 18:00,2025-02-18 13:00,3300,,137814,11-02-2025 18:21:37,WBtenders GOV NICGEP BOT
38,2025_ZPHD_812351_2,Zilla Parishad||Zilla Parishad||South 24-Parganas||DIAMOND HARBOUR-II||BHADURA HARIDAS,PANA,T Installation of new tubewell Platform near the Pana Milan Mandir at Pana Sansad-XI ACTIVITY ID-89369704(24-25),2025-02-07 17:00,2025-02-19 11:00,3599,2025-02-07 17:00,179952,11-02-2025 18:22:25,WBtenders GOV NICGEP BOT
39,2025_ZPHD_812732_3,Zilla Parishad||Zilla Parishad||Purba Midnapore||NANDIGRAM-I,Nandigram-I Panchayet Samity,Construction of CC Drain from Kanai Mondal Land to Sagar Mondal Land at Gokulnagar Gram Panchayat under Nandigram-I Panchayat Samity,2025-02-07 17:00,2025-02-21 17:00,7000,,350000,11-02-2025 18:23:00,WBtenders GOV NICGEP BOT
40,2025_ZPHD_812437_9,Zilla Parishad||Zilla Parishad||North 24-Parganas||BONGAON||SUNDARPUR,Bhulot,Construction of Pucca Drain with Cover and Soakpit from Land of Mannan Mondal to Land of Julficar Mondal at Bhulot under Sundarpur GP of Bongaon Block,2025-02-07 17:00,2025-02-13 17:00,5560,,278017,11-02-2025 18:23:33,WBtenders GOV NICGEP BOT
41,2025_ZPHD_812653_3,Zilla Parishad||Zilla Parishad||North 24-Parganas||BASIRHAT - II||CHAMPAPUKUR,CHAMPAPUKUR,Installation of Arsenic free Tube well or water treatment plant with soak pit and platform at Near Sanjay Saha Land Sansad IX,2025-02-07 15:55,2025-02-17 16:30,4200,2025-02-07 15:55,210000,11-02-2025 18:24:25,WBtenders GOV NICGEP BOT
42,2025_MAD_811800_6,MUNICIPAL AFFAIRS DEPARTMENT||URBAN LOCAL BODIES||DUM DUM,Dum Dum Municipal Area,"Renovation of Drain and Improvement of PCC Road of Lane 6 of Bl C of Kalidham Colony, Ward No. 14 under Dum Dum Municipality - 14 th FC",2025-02-07 15:30,2025-02-15 14:00,6556,,327789,11-02-2025 18:25:08,WBtenders GOV NICGEP BOT
43,2025_ZPHD_811996_4,Zilla Parishad||Zilla Parishad||South 24-Parganas||DIAMOND HARBOUR-II||KAMARPOL,KAMARPOLE XXI,U CONSTRUCTION OF C C ROAD WITH BRICK SOLLING WITH BOTH NSIDE TAIL PILLING FROM HOUSE OF MILAN HALDER TO SHOPE OF JAHAR HALDER SANSAD XXI.,2025-02-07 15:00,2025-02-15 11:00,5900,,295003,11-02-2025 18:25:33,WBtenders GOV NICGEP BOT
44,2025_ZPHD_812330_1,Zilla Parishad||Zilla Parishad||South 24-Parganas||JAYNAGAR-I||CHALTABERIA,CHALTABERIA GRAM PANCHAYAT SANSAD NO 10,CONSTRUCTION OF DRAIN WITH CIOVER AND SOAKPIT FROM SUDDAM SEIKH HOUSE TO MAHIUDDIN MISTRY LAND SANSAD NO 10,2025-02-07 11:00,2025-02-14 18:00,2840,,142000,11-02-2025 18:26:17,WBtenders GOV NICGEP BOT
