,Tender ID,Old Submission Date,New Submission Date
0,2023_GSCT_35054_1,2024-01-19 15:00,2025-03-21 14:00
1,2024_BTC_36246_1,2024-03-06 12:30,2025-03-21 14:00
2,2024_PWBNH_37398_1,2024-03-29 14:00,2025-03-21 14:00
3,2024_PCCF_37648_1,2024-07-09 13:00,2025-03-21 14:00
4,2024_DU_37747_1,2024-07-24 17:30,2025-03-21 14:00
5,2024_TDA_37304_1,2025-03-17 14:00,2025-03-21 14:00
6,2024_APGCL_37374_1,2025-03-17 14:00,2025-03-21 14:00
7,2024_PWBNH_37428_1,2025-03-17 14:00,2025-03-21 14:00
8,2024_BTC_37431_1,2025-03-17 14:00,2025-03-21 14:00
9,2024_PWRDW_37627_4,2025-03-17 14:00,2025-03-21 14:00
