,Tender ID,Old Submission Date,New Submission Date
0,2023_CCL_297209_1,2024-01-03 17:00,2025-08-11 17:00
1,2024_SECL_306576_1,2024-04-26 17:00,2025-08-11 17:00
2,2024_SECL_309131_1,2025-08-07 10:00,2025-08-11 17:00
3,2024_CCL_309180_1,2025-08-07 10:00,2025-08-11 17:00
4,2024_BCCL_305194_1,2025-08-07 10:00,2025-08-11 17:00
5,2024_NCL_317986_1,2025-05-12 11:00,2025-08-11 17:00
6,2024_BCCL_318270_1,2025-08-07 10:00,2025-08-11 17:00
7,2024_ECL_311755_1,2025-08-07 10:00,2025-08-11 17:00
8,2024_BCCL_312560_1,2025-05-12 11:00,2025-08-11 17:00
9,2024_BCCL_312127_1,2025-08-07 10:00,2025-08-11 17:00
10,2024_MCL_312656_1,2025-08-07 10:00,2025-08-11 17:00
11,2024_BCCL_312746_1,2025-05-12 11:00,2025-08-11 17:00
12,2024_CCL_312775_1,2025-05-12 11:00,2025-08-11 17:00
13,2024_BCCL_312391_1,2025-05-12 11:00,2025-08-11 17:00
14,2024_CCL_312325_1,2025-08-07 10:00,2025-08-11 17:00
15,2024_CCL_312207_1,2025-08-07 10:00,2025-08-11 17:00
16,2024_CCL_312153_1,2025-08-07 10:00,2025-08-11 17:00
17,2024_CCL_312306_2,2025-08-07 10:00,2025-08-11 17:00
18,2024_BCCL_313044_1,2025-08-07 10:00,2025-08-11 17:00
19,2024_SECL_313227_1,2025-08-07 10:00,2025-08-11 17:00
20,2024_BCCL_313317_1,2025-08-07 10:00,2025-08-11 17:00
21,2024_ECL_313862_1,2025-08-07 10:00,2025-08-11 17:00
22,2024_CCL_314367_1,2025-08-07 10:00,2025-08-11 17:00
23,2024_SECL_314855_1,2025-08-07 10:00,2025-08-11 17:00
24,2024_CCL_315432_1,2025-08-07 10:00,2025-08-11 17:00
25,2024_BCCL_315433_1,2024-09-02 17:00,2025-08-11 17:00
26,2024_CCL_315439_1,2025-08-07 10:00,2025-08-11 17:00
27,2024_BCCL_315209_1,2025-08-07 10:00,2025-08-11 17:00
28,2024_CCL_316015_1,2025-08-07 10:00,2025-08-11 17:00
29,2024_ECL_312947_1,2025-08-07 10:00,2025-08-11 17:00
30,2024_CCL_316145_1,2025-05-12 11:00,2025-08-11 17:00
31,2024_BCCL_316019_1,2024-09-09 17:00,2025-08-11 17:00
32,2024_BCCL_315995_1,2025-08-07 10:00,2025-08-11 17:00
33,2024_BCCL_316110_1,2025-05-12 11:00,2025-08-11 17:00
34,2024_BCCL_311956_1,2024-07-19 18:00,2025-08-11 17:00
35,2024_SECL_313564_1,2025-08-07 10:00,2025-08-11 17:00
36,2024_CCL_318344_1,2025-08-07 10:00,2025-08-11 17:00
37,2024_MCL_309129_1,2025-08-07 10:00,2025-08-11 17:00
38,2024_BCCL_312817_1,2025-08-07 10:00,2025-08-11 17:00
39,2024_ECL_312469_1,2025-08-07 10:00,2025-08-11 17:00
40,2024_BCCL_312946_1,2025-08-07 10:00,2025-08-11 17:00
41,2024_CCL_318171_1,2025-08-07 10:00,2025-08-11 17:00
42,2024_CCL_314881_1,2025-08-07 10:00,2025-08-11 17:00
43,2024_ECL_314932_1,2025-08-07 10:00,2025-08-11 17:00
44,2024_CCL_315062_1,2025-08-07 10:00,2025-08-11 17:00
45,2024_MCL_315543_1,2025-08-07 10:00,2025-08-11 17:00
46,2024_CCL_312566_1,2025-08-07 10:00,2025-08-11 17:00
47,2024_BCCL_315913_1,2025-08-07 10:00,2025-08-11 17:00
48,2024_CCL_315502_1,2025-08-07 10:00,2025-08-11 17:00
49,2024_BCCL_306595_1,2025-08-07 10:00,2025-08-11 17:00
50,2024_ECL_314201_1,2025-08-07 10:00,2025-08-11 17:00
51,2024_BCCL_315664_1,2025-08-07 10:00,2025-08-11 17:00
52,2024_CCL_316166_1,2025-08-07 10:00,2025-08-11 17:00
53,2024_CCL_309945_1,2025-08-07 10:00,2025-08-11 17:00
