,Tender ID,Old Submission Date,New Submission Date
0,2024_MES_669534_1,2024-09-30 18:00,2025-08-18 18:00
1,2024_MES_667868_2,2024-10-03 18:00,2025-08-18 18:00
2,2024_MES_676232_1,2024-11-21 18:00,2025-08-18 18:00
3,2024_MES_669139_1,2024-09-28 18:00,2025-08-18 18:00
4,2024_MES_674595_1,2024-10-07 18:00,2025-08-18 18:00
5,2024_MES_671140_1,2024-10-02 18:00,2025-08-18 18:00
6,2024_MES_647129_3,2025-05-21 18:00,2025-08-18 18:00
7,2024_MES_661569_1,2025-05-21 18:00,2025-08-18 18:00
8,2024_MES_662829_1,2024-07-27 18:00,2025-08-18 18:00
9,2024_MES_654161_1,2025-05-21 18:00,2025-08-18 18:00
10,2024_ARMY_650556_2,2024-07-15 18:00,2025-08-18 18:00
11,2024_BRO_654405_1,2025-05-21 18:00,2025-08-18 18:00
12,2024_MES_663048_1,2024-07-18 18:00,2025-08-18 18:00
13,2024_MES_660056_1,2025-05-21 18:00,2025-08-18 18:00
14,2024_MES_652269_2,2024-07-29 18:00,2025-08-18 18:00
15,2024_MES_661078_1,2024-07-24 18:00,2025-08-18 18:00
16,2024_MES_661062_1,2024-07-18 18:00,2025-08-18 18:00
17,2024_MES_664127_1,2025-05-21 18:00,2025-08-18 18:00
18,2024_MES_661088_1,2025-05-21 18:00,2025-08-18 18:00
19,2024_MES_646359_3,2024-07-29 18:00,2025-08-18 18:00
20,2024_DGDE_665053_1,2025-05-21 18:00,2025-08-18 18:00
21,2024_MES_666174_1,2025-05-21 18:00,2025-08-18 18:00
22,2024_MES_666163_1,2025-05-21 18:00,2025-08-18 18:00
23,2024_MES_665835_1,2025-05-21 18:00,2025-08-18 18:00
24,2024_MES_665694_1,2025-05-21 18:00,2025-08-18 18:00
25,2024_MES_664578_1,2025-05-21 18:00,2025-08-18 18:00
26,2024_MES_666429_1,2025-05-21 18:00,2025-08-18 18:00
27,2024_BRO_665589_1,2025-05-21 18:00,2025-08-18 18:00
28,2024_MES_665799_1,2024-08-03 18:00,2025-08-18 18:00
29,2024_MES_666789_1,2025-05-21 18:00,2025-08-18 18:00
30,2024_MES_667007_1,2025-05-21 18:00,2025-08-18 18:00
31,2024_MES_676229_1,2025-05-21 18:00,2025-08-18 18:00
32,2024_MES_661420_1,2024-07-25 18:00,2025-08-18 18:00
33,2024_MES_664788_1,2025-05-21 18:00,2025-08-18 18:00
34,2024_MES_664671_1,2025-05-21 18:00,2025-08-18 18:00
35,2024_MES_676215_1,2024-11-21 18:00,2025-08-18 18:00
36,2024_MES_676924_1,2025-05-21 18:00,2025-08-18 18:00
37,2024_MES_671340_1,2025-05-21 18:00,2025-08-18 18:00
38,2024_MES_670181_1,2025-05-21 18:00,2025-08-18 18:00
39,2024_MES_673790_2,2025-05-21 18:00,2025-08-18 18:00
40,2024_MES_672364_1,2025-05-21 18:00,2025-08-18 18:00
41,2024_MES_662134_1,2025-05-21 18:00,2025-08-18 18:00
42,2024_MES_657243_1,2025-05-21 18:00,2025-08-18 18:00
43,2024_MES_661026_1,2025-05-21 18:00,2025-08-18 18:00
44,2024_MES_665533_1,2025-05-21 18:00,2025-08-18 18:00
45,2024_MES_666458_1,2025-05-21 18:00,2025-08-18 18:00
46,2024_MES_667063_1,2025-05-21 18:00,2025-08-18 18:00
47,2024_MES_669466_1,2025-05-21 18:00,2025-08-18 18:00
48,2024_MES_665379_1,2025-05-21 18:00,2025-08-18 18:00
49,2024_MES_651898_1,2025-05-21 18:00,2025-08-18 18:00
50,2024_DRDO_665298_1,2025-05-21 18:00,2025-08-18 18:00
