,Tender ID,Old Submission Date,New Submission Date
0,2024_WRD_16328_1,2025-03-27 16:00,2025-03-26 15:00
1,2024_SIDCG_15247_1,2025-03-27 16:00,2025-03-26 15:00
2,2024_MC_15371_1,2025-03-27 16:00,2025-03-26 15:00
3,2024_MC_16099_1,2025-03-27 16:00,2025-03-26 15:00
4,2024_ED_15786_1,2025-03-27 16:00,2025-03-26 15:00
5,2024_ED_16900_1,2025-03-27 16:00,2025-03-26 15:00
6,2024_DRD_16800_1,2025-03-28 15:00,2025-03-26 15:00
7,2025_GU_19537_1,2025-03-27 16:00,2025-03-26 15:00
8,2024_GU_15996_1,2025-03-27 16:00,2025-03-26 15:00
9,2024_ED_16367_1,2025-03-28 15:00,2025-03-26 15:00
10,2024_PWD_16685_1,2025-03-27 16:00,2025-03-26 15:00
