,Tender ID,Old Submission Date,New Submission Date
0,2024_HRY_369942_1,2025-06-02 12:00,2025-06-14 13:00
1,2024_HRY_370765_1,2025-06-02 12:00,2025-06-14 13:00
2,2024_HRY_370749_1,2025-06-02 12:00,2025-06-14 13:00
3,2025_HRY_424766_1,2025-06-02 12:00,2025-06-14 13:00
4,2024_HRY_372190_1,2025-06-02 12:00,2025-06-14 13:00
5,2024_HRY_369340_1,2025-06-02 12:00,2025-06-14 13:00
6,2024_HRY_368880_1,2025-06-02 12:00,2025-06-14 13:00
7,2024_HRY_368652_1,2025-05-30 15:00,2025-06-14 13:00
8,2024_HRY_369020_1,2025-06-02 12:00,2025-06-14 13:00
9,2024_HRY_367844_1,2025-06-02 12:00,2025-06-14 13:00
10,2024_HRY_368974_1,2025-06-02 12:00,2025-06-14 13:00
11,2024_HRY_369624_1,2025-06-02 12:00,2025-06-14 13:00
12,2024_HRY_369636_1,2025-06-02 12:00,2025-06-14 13:00
13,2024_HRY_370356_1,2025-06-02 12:00,2025-06-14 13:00
14,2024_HBC_385333_1,2025-06-02 12:00,2025-06-14 13:00
15,2024_HRY_385177_1,2025-06-02 12:00,2025-06-14 13:00
16,2024_HRY_383890_1,2025-06-02 12:00,2025-06-14 13:00
17,2024_HRY_387047_1,2025-06-02 12:00,2025-06-14 13:00
18,2024_HRY_384582_1,2025-05-30 15:00,2025-06-14 13:00
19,2024_HRY_387165_1,2025-06-02 12:00,2025-06-14 13:00
20,2024_HRY_387501_1,2025-06-02 12:00,2025-06-14 13:00
21,2024_HRY_386428_1,2025-06-02 12:00,2025-06-14 13:00
22,2024_HRY_386945_1,2025-06-02 12:00,2025-06-14 13:00
23,2024_HRY_381353_1,2025-06-02 12:00,2025-06-14 13:00
24,2024_HRY_385458_1,2025-06-02 12:00,2025-06-14 13:00
25,2024_HRY_385948_1,2025-06-02 12:00,2025-06-14 13:00
26,2024_HBC_384995_1,2025-06-02 12:00,2025-06-14 13:00
27,2024_HRY_383388_1,2025-06-02 12:00,2025-06-14 13:00
28,2024_HRY_385505_1,2025-06-02 12:00,2025-06-14 13:00
29,2024_HBC_383577_1,2025-06-02 12:00,2025-06-14 13:00
30,2024_HRY_385283_1,2025-06-02 12:00,2025-06-14 13:00
31,2024_HRY_376274_1,2025-05-30 17:00,2025-06-14 13:00
32,2024_HRY_386125_1,2025-05-30 15:00,2025-06-14 13:00
33,2024_HRY_376271_1,2025-06-02 12:00,2025-06-14 13:00
34,2024_HRY_383954_1,2025-06-02 12:00,2025-06-14 13:00
35,2024_HRY_384049_1,2025-06-02 12:00,2025-06-14 13:00
36,2024_HRY_383960_1,2025-06-02 12:00,2025-06-14 13:00
37,2024_HRY_383973_1,2025-06-02 12:00,2025-06-14 13:00
38,2024_HRY_389610_1,2025-05-27 17:00,2025-06-14 13:00
39,2024_HRY_388961_1,2025-06-02 12:00,2025-06-14 13:00
40,2024_HRY_388932_1,2025-06-02 12:00,2025-06-14 13:00
41,2024_HRY_388203_1,2025-05-30 15:00,2025-06-14 13:00
42,2024_HRY_388632_1,2025-06-02 12:00,2025-06-14 13:00
43,2024_HRY_389792_1,2025-05-30 15:00,2025-06-14 13:00
44,2024_HRY_389884_1,2025-06-02 12:00,2025-06-14 13:00
45,2024_HRY_388580_1,2025-06-02 12:00,2025-06-14 13:00
46,2024_HRY_391519_1,2025-06-02 12:00,2025-06-14 13:00
47,2024_HRY_390821_1,2025-06-02 12:00,2025-06-14 13:00
48,2024_HRY_391057_1,2025-06-02 12:00,2025-06-14 13:00
49,2024_HRY_390762_1,2025-06-02 12:00,2025-06-14 13:00
50,2024_HRY_391136_1,2025-06-02 12:00,2025-06-14 13:00
51,2024_HRY_391336_1,2025-06-02 12:00,2025-06-14 13:00
52,2024_HRY_390596_1,2025-06-02 12:00,2025-06-14 13:00
53,2024_HRY_389554_1,2025-06-02 12:00,2025-06-14 13:00
54,2024_HRY_389511_1,2025-06-02 12:00,2025-06-14 13:00
55,2024_HRY_389493_1,2025-06-02 12:00,2025-06-14 13:00
56,2024_HRY_389581_1,2025-06-02 12:00,2025-06-14 13:00
57,2024_HRY_390952_1,2025-06-02 12:00,2025-06-14 13:00
58,2024_HRY_390700_1,2025-06-02 12:00,2025-06-14 13:00
59,2024_HBC_389227_1,2025-06-02 12:00,2025-06-14 13:00
60,2024_HRY_389589_1,2025-06-02 12:00,2025-06-14 13:00
61,2024_HRY_390466_1,2025-06-02 12:00,2025-06-14 13:00
62,2024_HRY_389583_1,2025-05-30 15:00,2025-06-14 13:00
63,2024_HRY_390542_1,2025-06-02 12:00,2025-06-14 13:00
64,2024_HRY_389758_1,2025-06-02 12:00,2025-06-14 13:00
65,2024_HBC_383248_1,2025-06-02 12:00,2025-06-14 13:00
66,2024_HRY_388478_1,2025-06-02 12:00,2025-06-14 13:00
67,2024_HRY_390215_1,2025-05-30 15:00,2025-06-14 13:00
68,2024_HRY_390152_1,2025-05-30 15:00,2025-06-14 13:00
69,2024_HRY_388576_1,2025-06-02 12:00,2025-06-14 13:00
70,2024_HRY_401683_1,2025-05-30 17:00,2025-06-14 13:00
71,2024_HRY_394903_1,2025-05-30 15:00,2025-06-14 13:00
72,2024_HRY_395437_1,2025-05-30 15:00,2025-06-14 13:00
73,2024_HRY_396061_1,2025-05-21 17:00,2025-06-14 13:00
74,2024_HRY_395293_1,2025-05-27 17:00,2025-06-14 13:00
75,2024_HBC_394959_1,2025-05-27 17:00,2025-06-14 13:00
