,Tender ID,Old Submission Date,New Submission Date
0,2024_PL_174569_1,2024-03-05 15:00,2025-08-21 15:00
1,2024_WRKYL_178765_1,2024-08-06 17:00,2025-08-21 15:00
2,2024_WRVGM_178742_1,2025-06-03 15:30,2025-08-21 15:00
3,2024_IIPM_178803_1,2025-06-03 15:30,2025-08-21 15:00
4,2024_PDR_179333_1,2024-08-13 17:00,2025-08-21 15:00
5,2024_PHBHL_179494_1,2025-06-03 15:30,2025-08-21 15:00
6,2024_PR_180117_1,2025-05-16 18:30,2025-08-21 15:00
7,2024_RND_178542_1,2024-07-15 15:00,2025-08-21 15:00
8,2024_IBPK_182068_1,2025-06-03 15:30,2025-08-21 15:00
9,2025_IIPM_184589_1,2025-05-26 17:00,2025-08-21 15:00
10,2024_PLHO_178416_1,2025-05-16 18:30,2025-08-21 15:00
11,2024_WRVGM_178742_2,2025-05-16 18:30,2025-08-21 15:00
12,2024_WRVAD_178851_1,2025-05-16 18:30,2025-08-21 15:00
13,2024_NRO_179910_1,2025-06-03 15:30,2025-08-21 15:00
