,Tender ID,Old Submission Date,New Submission Date
0,2024_WRD_85397_1,2024-03-27 15:00,2025-05-16 16:00
1,2024_RDSPL_82355_1,2024-02-15 17:00,2025-05-16 16:00
2,2024_UDD_85471_5,2024-03-18 17:00,2025-05-16 16:00
3,2024_UDD_85564_4,2024-03-27 17:00,2025-05-16 16:00
4,2024_CECOM_85628_1,2024-04-12 12:00,2025-05-16 16:00
5,2024_CECOM_85508_1,2024-04-09 12:00,2025-05-16 16:00
6,2024_UDD_87652_1,2024-07-09 15:00,2025-05-16 16:00
7,2024_UDD_87742_5,2024-07-12 17:00,2025-05-16 16:00
8,2024_ZPKHU_87571_1,2024-07-13 17:00,2025-05-16 16:00
9,2024_UDD_87250_1,2024-07-08 17:00,2025-05-16 16:00
10,2024_UDD_88064_2,2024-07-22 17:00,2025-05-16 16:00
11,2024_DWSD_88147_1,2024-07-26 17:00,2025-05-16 16:00
12,2024_UDD_89090_1,2024-08-14 17:00,2025-05-16 16:00
13,2024_UDD_88818_1,2024-08-16 17:00,2025-05-16 16:00
14,2024_UDD_88507_19,2024-08-12 15:00,2025-05-16 16:00
15,2024_UDD_89025_20,2024-08-16 15:00,2025-05-16 16:00
16,2024_CECOM_90836_1,2024-09-05 12:00,2025-05-16 16:00
17,2024_DWSD_87416_1,2024-07-08 17:00,2025-05-16 16:00
18,2024_CECOM_91190_1,2024-09-04 12:30,2025-05-16 16:00
19,2024_CECOM_91546_1,2024-09-26 17:00,2025-05-16 16:00
20,2024_DZPD_91697_1,2024-09-06 17:00,2025-05-16 16:00
21,2024_NREPW_91541_1,2024-09-09 14:00,2025-05-16 16:00
22,2024_NREPW_91357_1,2024-09-09 14:00,2025-05-16 16:00
23,2024_RDSPL_91300_1,2024-09-09 14:00,2025-05-16 16:00
24,2024_UDD_92391_5,2024-09-12 16:25,2025-05-16 16:00
25,2024_WRD_92280_1,2024-09-26 17:00,2025-05-16 16:00
26,2024_RDSPL_92110_2,2024-09-11 17:00,2025-05-16 16:00
27,2024_CECOM_92101_1,2024-09-18 12:00,2025-05-16 16:00
28,2024_UDD_87694_2,2024-07-26 15:00,2025-05-16 16:00
