Tender ID,Name,Customer,Stage,Status,inserted Time,Inserted User ID
2024_IISRM_823732_1,Providing of Networking Services and related Core Infrastructure for New Hostel in IISER Mohali-1675,Indian Institute of Science Education and Research - Mohali,approved,Under Consideration,27-09-2024 12:57:39,Centerl GOV BOT
2024_NITHP_831131_1,"Supply, installation, testing commissioning (SITC) of IP based CCTV Cameras Network (internet) passive items with 03 Years Comprehensive warranty in Student Activity Centre at NIT Hamirpur.",National Institute of Technology Hamirpur||Store Purchse Cell - NITHP,approved,WIP,16-10-2024 22:41:08,Centerl GOV BOT
2024_THDC_831161_1,Supply and installation of CCTV system and Wi-Fi device in Dam gallery at Tehri and Koteshwar,THDC India Limited||Tehri-THDC India Ltd||C and MM-Tehri-THDC India Ltd,approved,Open,18-10-2024 22:15:01,Centerl GOV BOT
2024_TMC_830695_1,Design Supply Installation Testing and Commissioning of State-of the Art IP based surveillance system for HBCH Sangrur Electronic Surveillance System CCTV,Tata Memorial Centre||Homi Bhabha Cancer Hospital and R C Mohali Punjab,approved,WIP,14-10-2024 22:25:00,Centerl GOV BOT
2024_UPPCL_962976_1,IP Based CCTV Surveillance System for the Office of Main Building U P Power Corporation Ltd Ashok Marg Lucknow,Uttar Pradesh Power Corporation Ltd.||SE Civil HQ Shakti Bhawan Extension||EE Civil HQ Attached to CE Civil 2||SE Civil HQ||EE Electrical and Maintenance Unit,approved,Open,08-10-2024 20:35:41,Etenders UP NIC BOT
GEM_2024_B_4736603,"INTERACTIVE PANEL,OPS PC module,PTZ camera,4K Streaming Webcam,Wireless conference speakerphone,Wir",Youth Services and Sports and Technical Education Department Jammu and Kashmir,approved,New-Corrigendum,06-03-2024 13:56:46,GEM BOT
GEM_2024_B_5077102,"24 Port L2 Switch Non POE with 01G SFP support,24 Port L2 Switch Non POE with 10 G SFPplus support,",Ministry of Defence Department of Defence Research & Development,approved,New-Corrigendum,04-08-2024 14:31:47,GEM BOT
GEM_2024_B_5124129,"Server,Layer 2 Access Switch (V2),Desktop Computers,Cat 6 Cable for Indoor Use,Connector Mounting H",Ministry of Defence Department of Military Affairs,approved,New-Corrigendum,27-07-2024 17:33:04,GEM BOT
GEM_2024_B_5151941,Body Worn Camera as per (MHA) (QRs),Home Department Odisha,approved,Open,12-07-2024 13:00:52,GEM BOT
GEM_2024_B_5212036,"40 Channel HD NVR,4 TB Surveillance hard disc storage drive,IP bullet camera,IP PTZ camera,d link R",Ministry of Defence Department of Military Affairs,approved,New-Corrigendum,27-07-2024 15:37:57,GEM BOT
GEM_2024_B_5245051,"Supply & Fixing of Set of ANPR, Camera, POE, Switch, NVR, Outdoor CAT6 Cable",Ministry of Defence Department of Defence Production,approved,New-Corrigendum,04-08-2024 13:25:49,GEM BOT
GEM_2024_B_5247545,"Desktop Computers,Workstation,Online UPS (V2),Cat 6 Cable for Indoor Use,Layer 2 Access Switch (V2)",Ministry of Defence Department of Military Affairs,approved,New-Corrigendum,16-09-2024 16:03:23,GEM BOT
