tender_id,name_of_work,customer,inserted_time,Status,Stage,inserted_user_id
2024_IITR_832369_1,High Speed Camera,Indian Institute of Technology Roorkee||Material Management - IIT Roorkee,19-11-2024 23:09:20,,rejected,Centerl GOV BOT
2024_ITBP_835427_1,"Development of Infrastructure at ITBP BOP (SH Preparation of LOP of 04 Acre land (By Total Station), Soil test by SPT, Carrying out Detailed Architectural and Engineering designin Muling-La Valley of 12th Bn ITB Police, Matli, Uttarkashi (UKD)","DG, Indo-Tibetan Border Police Force||IG, NORTHERN FTR,ITBP||DIG(SHQ),ITBP",19-11-2024 23:18:09,,rejected,Centerl GOV BOT
GEM_2024_B_5625400,Camera for CCTV System (V2),General Administration Department Gujarat,20-11-2024 13:05:02,,FOR UPDATE,GEM BOT
GEM_2024_B_5622322,Unmanned Aerial Vehicle & Payload Systems for Surveillance,Ministry of Defence Department of Military Affairs,21-11-2024 05:19:33,,rejected,GEM BOT
GEM_2024_B_5458692,Spectrum Analyzers and Vector Network Analyzers,Ministry of Defence Department of Defence Research & Development,22-11-2024 05:19:24,,rejected,GEM BOT
GEM_2024_B_5622316,"Solenoid switch,Gasket,Hose,Alternator,Brake booster",Ministry of Defence Department of Military Affairs,21-11-2024 05:22:24,,rejected,GEM BOT
GEM_2024_B_5610827,"Camera for CCTV System (V2),Video Recorder for CCTV System (V2),Layer 2 Access Switch (V2)",Panchayats and Rural Housing Department Gujarat,16-11-2024 05:01:16,,rejected,GEM BOT
GEM_2024_B_5581869,"Indoor Video Wall,55 inch Display,Optical Zoom PTZ Camera,Optical Zoom Tracking Camera,8x8 Matrix S",Ministry of Defence Department of Defence,16-11-2024 05:02:01,Open,approved,GEM BOT
GEM_2024_B_5611367,Unmanned Aerial Vehicle and Payload Systems for Agricultural Spray (V2),Agriculture Department Bihar,16-11-2024 05:11:27,,rejected,GEM BOT
GEM_2024_B_5611969,"Electronic caltrops,Electronic Boom Barrier,Vehical Screening System,Body camera with data storae,H",Ministry of Defence Department of Military Affairs,16-11-2024 05:03:46,,rejected,GEM BOT
GEM_2024_B_5611485,"Barometer Sensor,Buzzer 9 Volt,Battery Clip 9 Volt,Camera Flash Sensor,Dark Sensor,DTMF,IR Sensor,L",Ministry of Home Affairs Central Armed Police Forces,16-11-2024 05:03:35,,rejected,GEM BOT
GEM_2024_B_5476255,"4MP Network Camera,5MP Perimeter Intrusion Camera,Alarm System Integration,2MP IR outdoor PTZ,8TB S",Ministry of Defence Department of Military Affairs,16-11-2024 05:04:22,,pre_approved,GEM BOT
GEM_2024_B_5560650,"08 Channel NVR with SATA slot,2MP IP PTZ camera 30x,Junction Box Pole Mounted IP67 with Inbuilt PDU",Ministry of Defence Department of Military Affairs,16-11-2024 05:04:39,,pre_approved,GEM BOT
GEM_2024_B_5611963,"Speakerphone,Video Conferencing Camera / Web Camera,Professional Large Format Display",Medical Education Department Karnataka,16-11-2024 13:01:59,,rejected,GEM BOT
