Tender ID,Name,Customer,Stage,Status,inserted Time,Inserted User ID
2024_DMER_128846_1,Supply and Installation of CCTV CAMERA and NETWORKING at Govt Medical College Patiala,"Department of Medical Education and Research, Govt Medical College Patiala",approved,Not Submitted,23-10-2024 12:42:21,Gursimran
2024_DMER_128848_1,PURCHASE OF CCTV CAMERAS AND OTHER RELATED ITEMS FOR INSTALLATION OF CCTV AT GOVT RAJINDRA HOSPITAL PATIALA,"Department of Medical Education and Research, Rajindra Hospital - Patiala",rejected,Not Submitted,23-10-2024 12:54:53,Gursimran
2024_TMC_830695_1,Design Supply Installation Testing and Commissioning of State-of the Art IP based surveillance system for HBCH Sangrur Electronic Surveillance System CCTV,Tata Memorial Centre||Homi Bhabha Cancer Hospital and R C Mohali Punjab,approved,Not Submitted,14-10-2024 22:25:00,Centerl GOV BOT
2024_WBPDC_745546_1,"Procurement of pending materials and remaining job of Erection, Installation and Commissioning of 83 nos. CCTV cameras through CAPEX at BKTPS.",THE WEST BENGAL POWER DEVELOPMENT CORPORATION LTD.||BAKRESWAR THERMAL POWER PROJECT (BkTPP),approved,Not Submitted,08-10-2024 20:20:30,WBtenders GOV NICGEP BOT
2024_WBPDC_751698_1,"Supply, Erection, Installation,Commissioning and hand over of 66 nos CCTV cameras under CAPEX at BkTPS.",THE WEST BENGAL POWER DEVELOPMENT CORPORATION LTD.||BAKRESWAR THERMAL POWER PROJECT (BkTPP),approved,Not Submitted,08-10-2024 20:20:12,WBtenders GOV NICGEP BOT
GEM_2024_B_4686884,Digital Mobile Radio Tier II Network,PMO Department of Atomic Energy,rejected,New-Corrigendum,23-03-2024 05:10:45,GEM BOT
GEM_2024_B_4736603,"INTERACTIVE PANEL,OPS PC module,PTZ camera,4K Streaming Webcam,Wireless conference speakerphone,Wir",Youth Services and Sports and Technical Education Department Jammu and Kashmir,approved,Not Submitted,06-03-2024 13:56:46,GEM BOT
GEM_2024_B_4772467,"Blade Server Enclosure with support for dual 1GB Network,Dual 1Gb Network Switches 24 ports includi",Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,14-03-2024 05:10:56,GEM BOT
GEM_2024_B_4967721,Video Recorder for CCTV System (V2),Ministry of Defence Department of Defence Production,rejected,New-Corrigendum,22-05-2024 13:31:48,GEM BOT
GEM_2024_B_5048758,"CAMERA, VIDEO CONFERENCE, 10-15 PERSONS,FIXED CELLULAR TERMINAL(FCT) , GSM BASED",Ministry of Steel Steel Authority of India Limited,rejected,New-Corrigendum,28-06-2024 05:01:46,GEM BOT
